"EG04_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_006.tcf]","Time(h)","F ds1 [EG04_006]","F ds2 [EG04_006]","F ds3 [EG04_006]","F ds4 [EG04_006]","F ds5 [EG04_006]","F ds_weir [EG04_006]","F FC01.01 [EG04_006]","F FC01.02 [EG04_006]","F FC01.03 [EG04_006]","F FC01.04 [EG04_006]","F FC01.05 [EG04_006]","F FC01.06 [EG04_006]","F FC01.07 [EG04_006]","F FC01.08 [EG04_006]","F FC01.09 [EG04_006]","F FC01.12 [EG04_006]","F FC01.13 [EG04_006]","F FC01.14 [EG04_006]","F FC01.15 [EG04_006]","F FC01.16 [EG04_006]","F FC01.17 [EG04_006]","F FC01.18 [EG04_006]","F FC01.19 [EG04_006]","F FC01.1_R [EG04_006]","F FC01.20 [EG04_006]","F FC01.21 [EG04_006]","F FC01.22 [EG04_006]","F FC01.23 [EG04_006]","F FC01.24 [EG04_006]","F FC01.25 [EG04_006]","F FC01.26 [EG04_006]","F FC01.27 [EG04_006]","F FC01.28A [EG04_006]","F FC01.28B [EG04_006]","F FC01.29 [EG04_006]","F FC01.2_R [EG04_006]","F FC01.30 [EG04_006]","F FC01.31 [EG04_006]","F FC01.32 [EG04_006]","F FC01.33 [EG04_006]","F FC01.34 [EG04_006]","F FC01.36 [EG04_006]","F FC01.37 [EG04_006]","F FC01.38 [EG04_006]","F FC01.39 [EG04_006]","F FC01.40 [EG04_006]","F FC02.01 [EG04_006]","F FC02.02 [EG04_006]","F FC02.03 [EG04_006]","F FC02.04 [EG04_006]","F FC02.05 [EG04_006]","F FC02.06 [EG04_006]","F FC_weir1 [EG04_006]","F RD_weir [EG04_006]"
     152,          2.516667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     153,          2.533334,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
     154,          2.550000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
     155,          2.566667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     156,          2.583333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     157,          2.600000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     158,          2.616667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     159,          2.633333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     160,          2.650000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     161,          2.666667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
     162,          2.683333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,,,,,,,,T,,E
     163,          2.700000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     164,          2.716667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,,,,,,,,T,,E
     165,          2.733334,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,,,,,,,,T,,E
     166,          2.750000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     167,          2.766667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     168,          2.783334,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,,,,,,,,T,,E
     169,          2.800000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     170,          2.816667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,,,,,,,,T,,E
     171,          2.833333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     172,          2.850000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     173,          2.866667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     174,          2.883333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     175,          2.900000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     176,          2.916667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     177,          2.933333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,,,,,,,,T,,E
     178,          2.950000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,,,,,,,,T,,E
     179,          2.966667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     180,          2.983334,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
     181,          3.000000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,,,,,,,,T,,E
