"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time(h)","F FC01.1_R [EG15_005]","F FC01.2_R [EG15_005]","F FC04.1_C [EG15_005]","F Pipe0 [EG15_005]","F Pipe1 [EG15_005]","F Pipe10 [EG15_005]","F Pipe11 [EG15_005]","F Pipe12 [EG15_005]","F Pipe13 [EG15_005]","F Pipe14 [EG15_005]","F Pipe15 [EG15_005]","F Pipe16 [EG15_005]","F Pipe17 [EG15_005]","F Pipe19 [EG15_005]","F Pipe2 [EG15_005]","F Pipe3 [EG15_005]","F Pipe4 [EG15_005]","F Pipe5 [EG15_005]","F Pipe6 [EG15_005]","F Pipe7 [EG15_005]","F Pipe8 [EG15_005]","F Pipe9 [EG15_005]","F Pit1 [EG15_005]","F Pit11 [EG15_005]","F Pit12 [EG15_005]","F Pit14 [EG15_005]","F Pit15 [EG15_005]","F Pit16 [EG15_005]","F Pit18 [EG15_005]","F Pit19 [EG15_005]","F Pit2 [EG15_005]","F Pit4 [EG15_005]","F Pit5 [EG15_005]","F Pit6 [EG15_005]","F Pit7 [EG15_005]","F Pit8 [EG15_005]","F Pit9 [EG15_005]"
      98,          1.616667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      99,          1.633333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     100,          1.650000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     101,          1.666667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     102,          1.683333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     103,          1.700000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     104,          1.716667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     105,          1.733333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     106,          1.750000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,R,D,D,D,D
     107,          1.766667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,R,D,D,D
