"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","Q FC01.1_R [EG15_007]","Q FC01.2_R [EG15_007]","Q FC04.1_C [EG15_007]","Q Node20 [EG15_007]","Q Pit10 [EG15_007]","Q Pit11 [EG15_007]","Q Pit13 [EG15_007]","Q Pit15 [EG15_007]","Q Pit18 [EG15_007]","Q Pit19 [EG15_007]","Q Pit2 [EG15_007]","Q Pit4 [EG15_007]","Q Pit5 [EG15_007]","Q Pit6 [EG15_007]","Q Pit7 [EG15_007]","Q Pit9 [EG15_007]"
      83,          1.366667,          46.147,          70.745,           0.211,          -0.614,           0.142,           0.124,           0.062,           0.004,           0.049,           0.056,           0.029,           0.010,           0.030,           0.052,           0.017,           0.039
      84,          1.383333,          46.019,          70.693,           0.205,          -0.592,           0.138,           0.120,           0.057,           0.004,           0.048,           0.055,           0.028,           0.010,           0.028,           0.051,           0.017,           0.036
      85,          1.400000,          45.883,          70.632,           0.199,          -0.570,           0.134,           0.115,           0.051,           0.004,           0.047,           0.054,           0.027,           0.010,           0.027,           0.050,           0.017,           0.034
      86,          1.416667,          45.740,          70.559,           0.194,          -0.550,           0.130,           0.110,           0.046,           0.003,           0.046,           0.054,           0.027,           0.009,           0.026,           0.049,           0.017,           0.032
      87,          1.433333,          45.585,          70.470,           0.188,          -0.531,           0.127,           0.105,           0.041,           0.003,           0.045,           0.053,           0.026,           0.009,           0.025,           0.048,           0.017,           0.031
      88,          1.450000,          45.428,          70.361,           0.183,          -0.513,           0.123,           0.100,           0.036,           0.003,           0.045,           0.052,           0.026,           0.009,           0.024,           0.047,           0.017,           0.031
      89,          1.466667,          45.259,          70.221,           0.178,          -0.496,           0.119,           0.096,           0.032,           0.003,           0.044,           0.051,           0.025,           0.008,           0.024,           0.046,           0.017,           0.030
      90,          1.483333,          45.077,          70.041,           0.173,          -0.479,           0.115,           0.092,           0.028,           0.003,           0.043,           0.051,           0.025,           0.008,           0.023,           0.045,           0.016,           0.030
      91,          1.500000,          44.881,          69.810,           0.169,          -0.463,           0.111,           0.088,           0.024,           0.002,           0.043,           0.050,           0.025,           0.008,           0.022,           0.044,           0.016,           0.030
      92,          1.516667,          44.668,          69.506,           0.165,          -0.447,           0.107,           0.084,           0.021,           0.002,           0.042,           0.049,           0.024,           0.008,           0.021,           0.044,           0.015,           0.029
      93,          1.533333,          44.433,          69.143,           0.161,          -0.433,           0.103,           0.080,           0.019,           0.002,           0.041,           0.049,           0.024,           0.008,           0.021,           0.043,           0.014,           0.029
      94,          1.550000,          44.164,          68.707,           0.157,          -0.420,           0.100,           0.077,           0.017,           0.002,           0.041,           0.048,           0.024,           0.007,           0.020,           0.042,           0.013,           0.028
      95,          1.566667,          43.842,          68.230,           0.153,          -0.409,           0.096,           0.074,           0.016,           0.002,           0.040,           0.048,           0.023,           0.007,           0.020,           0.042,           0.013,           0.028
      96,          1.583333,          43.458,          67.712,           0.149,          -0.398,           0.093,           0.070,           0.015,           0.003,           0.040,           0.047,           0.023,           0.007,           0.019,           0.041,           0.012,           0.027
      97,          1.600000,          43.007,          67.160,           0.146,          -0.386,           0.090,           0.067,           0.014,           0.002,           0.039,           0.047,           0.023,           0.007,           0.018,           0.041,           0.012,           0.026
      98,          1.616667,          42.528,          66.582,           0.142,          -0.373,           0.087,           0.064,           0.013,           0.000,           0.039,           0.046,           0.022,           0.007,           0.018,           0.040,           0.011,           0.026
      99,          1.633333,          42.014,          65.983,           0.139,          -0.364,           0.084,           0.061,           0.012,           0.002,           0.038,           0.045,           0.022,           0.006,           0.017,           0.039,           0.011,           0.025
     100,          1.650000,          41.456,          65.366,           0.136,          -0.351,           0.081,           0.058,           0.012,           0.000,           0.038,           0.045,           0.021,           0.006,           0.017,           0.039,           0.010,           0.025
     101,          1.666667,          40.854,          64.727,           0.133,          -0.344,           0.078,           0.055,           0.011,           0.003,           0.037,           0.044,           0.021,           0.006,           0.016,           0.038,           0.010,           0.024
