"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time(h)","V FC01.1_R [EG15_010]","V FC01.2_R [EG15_010]","V FC04.1_C [EG15_010]","V Pipe0 [EG15_010]","V Pipe1 [EG15_010]","V Pipe10 [EG15_010]","V Pipe11 [EG15_010]","V Pipe12 [EG15_010]","V Pipe13 [EG15_010]","V Pipe14 [EG15_010]","V Pipe15 [EG15_010]","V Pipe16 [EG15_010]","V Pipe17 [EG15_010]","V Pipe19 [EG15_010]","V Pipe2 [EG15_010]","V Pipe3 [EG15_010]","V Pipe4 [EG15_010]","V Pipe5 [EG15_010]","V Pipe6 [EG15_010]","V Pipe7 [EG15_010]","V Pipe8 [EG15_010]","V Pipe9 [EG15_010]","V Pit1 [EG15_010]","V Pit10 [EG15_010]","V Pit11 [EG15_010]","V Pit12 [EG15_010]","V Pit13 [EG15_010]","V Pit15 [EG15_010]","V Pit16 [EG15_010]","V Pit17 [EG15_010]","V Pit18 [EG15_010]","V Pit19 [EG15_010]","V Pit2 [EG15_010]","V Pit3 [EG15_010]","V Pit4 [EG15_010]","V Pit5 [EG15_010]","V Pit6 [EG15_010]","V Pit7 [EG15_010]","V Pit8 [EG15_010]","V Pit9 [EG15_010]"
      33,          0.533333,    3.457,    0.650,    1.126,   -0.004,   -0.031,    0.345,    0.066,    0.164,    0.021,    0.000,    0.052,    0.001,   -0.015,    0.392,    0.008,    0.205,    0.431,    0.186,    0.062,    0.377,    0.639,    0.613,   -0.004,   -0.023,   -0.010,   -0.007,   -0.018,   -0.065,   -0.107,   -0.030,    0.194,    0.254,   -0.020,   -0.012,    0.307,    0.170,    0.005,   -0.140,   -0.094,   -0.051
      34,          0.550000,    3.656,    0.676,    1.132,   -0.008,   -0.040,    0.317,    0.058,    0.147,    0.018,    0.000,    0.042,    0.001,   -0.010,    0.341,    0.000,    0.195,    0.410,    0.158,    0.050,    0.371,    0.625,    0.572,   -0.007,   -0.020,   -0.009,   -0.005,   -0.015,   -0.056,   -0.095,   -0.047,    0.187,    0.249,   -0.024,   -0.045,    0.287,    0.160,    0.000,   -0.133,   -0.088,   -0.046
      35,          0.566667,    4.880,    0.695,    1.137,   -0.012,   -0.050,    0.291,    0.052,    0.133,    0.016,    0.000,    0.031,    0.001,   -0.007,    0.270,   -0.010,    0.187,    0.392,    0.128,    0.039,    0.365,    0.611,    0.528,   -0.011,   -0.018,   -0.008,   -0.003,   -0.011,   -0.046,   -0.082,   -0.063,    0.181,    0.245,   -0.026,   -0.079,    0.269,    0.152,   -0.006,   -0.123,   -0.082,   -0.042
      36,          0.583333,    5.397,    0.746,    1.142,   -0.017,   -0.059,    0.263,    0.045,    0.118,    0.014,    0.001,    0.019,    0.001,   -0.003,    0.218,   -0.022,    0.174,    0.364,    0.092,    0.027,    0.359,    0.597,    0.483,   -0.015,   -0.016,   -0.006,   -0.002,   -0.007,   -0.033,   -0.066,   -0.076,    0.174,    0.240,   -0.028,   -0.111,    0.243,    0.140,   -0.014,   -0.115,   -0.075,   -0.037
      37,          0.600000,    5.877,    0.848,    1.145,   -0.019,   -0.062,    0.230,    0.037,    0.100,    0.011,    0.001,    0.008,    0.000,    0.000,    0.153,   -0.034,    0.154,    0.322,    0.059,    0.015,    0.352,    0.580,    0.437,   -0.015,   -0.013,   -0.005,    0.000,   -0.003,   -0.023,   -0.049,   -0.087,    0.167,    0.236,   -0.027,   -0.124,    0.212,    0.122,   -0.022,   -0.108,   -0.068,   -0.033
      38,          0.616667,    6.293,    0.961,    1.148,   -0.014,   -0.052,    0.200,    0.030,    0.085,    0.008,    0.000,    0.002,    0.000,    0.000,    0.107,   -0.044,    0.129,    0.264,    0.038,    0.009,    0.343,    0.561,    0.393,   -0.011,   -0.011,   -0.004,    0.000,    0.000,   -0.014,   -0.036,   -0.096,    0.159,    0.230,   -0.022,   -0.110,    0.165,    0.100,   -0.027,   -0.101,   -0.060,   -0.028
      39,          0.633333,    6.653,    1.115,    1.150,   -0.011,   -0.040,    0.173,    0.023,    0.071,    0.005,    0.000,    0.000,    0.000,    0.000,    0.068,   -0.051,    0.099,    0.196,    0.023,    0.006,    0.334,    0.539,    0.354,   -0.008,   -0.009,   -0.002,    0.000,    0.001,   -0.008,   -0.023,   -0.101,    0.150,    0.224,   -0.015,   -0.085,    0.114,    0.076,   -0.031,   -0.094,   -0.053,   -0.024
      40,          0.650000,    6.976,    1.290,    1.151,   -0.006,   -0.026,    0.150,    0.019,    0.060,    0.004,    0.000,    0.000,    0.000,    0.000,    0.046,   -0.054,    0.075,    0.139,    0.015,    0.006,    0.323,    0.513,    0.317,   -0.004,   -0.007,   -0.002,    0.001,    0.001,   -0.004,   -0.016,   -0.103,    0.139,    0.217,   -0.010,   -0.058,    0.073,    0.055,   -0.032,   -0.087,   -0.047,   -0.021
      41,          0.666667,    7.275,    1.491,    1.152,   -0.002,   -0.014,    0.132,    0.015,    0.052,    0.003,    0.000,   -0.001,    0.000,    0.000,    0.030,   -0.056,    0.054,    0.095,    0.009,    0.005,    0.311,    0.485,    0.285,   -0.001,   -0.006,   -0.001,    0.000,    0.002,   -0.001,   -0.011,   -0.100,    0.126,    0.209,   -0.006,   -0.040,    0.044,    0.039,   -0.032,   -0.079,   -0.042,   -0.019
      42,          0.683333,    7.552,    1.686,    1.152,   -0.001,   -0.010,    0.114,    0.012,    0.043,    0.002,    0.000,   -0.001,    0.000,    0.000,    0.019,   -0.057,    0.039,    0.065,    0.005,    0.004,    0.298,    0.453,    0.255,   -0.000,   -0.005,   -0.001,    0.000,    0.002,   -0.000,   -0.007,   -0.095,    0.113,    0.200,   -0.004,   -0.027,    0.026,    0.027,   -0.031,   -0.072,   -0.037,   -0.016
