"EG15_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_006.tcf]","Time (h)","H FC01.1_R.1 [EG15_006]","H FC01.1_R.2 [EG15_006]","H FC01.2_R.1 [EG15_006]","H FC01.2_R.2 [EG15_006]","H FC04.1_C.1 [EG15_006]","H FC04.1_C.2 [EG15_006]","H mh1 [EG15_006]","H mh2 [EG15_006]","H mh3 [EG15_006]","H mh4 [EG15_006]","H Pipe16.2 [EG15_006]","H Pit1 [EG15_006]","H Pit1.1 [EG15_006]","H Pit11 [EG15_006]","H Pit11.1 [EG15_006]","H Pit12 [EG15_006]","H Pit12.1 [EG15_006]","H Pit14 [EG15_006]","H Pit14.1 [EG15_006]","H Pit15 [EG15_006]","H Pit15.1 [EG15_006]","H Pit16 [EG15_006]","H Pit16.1 [EG15_006]","H Pit18 [EG15_006]","H Pit18.1 [EG15_006]","H Pit19 [EG15_006]","H Pit19.1 [EG15_006]","H Pit2 [EG15_006]","H Pit2.1 [EG15_006]","H Pit4 [EG15_006]","H Pit4.1 [EG15_006]","H Pit5 [EG15_006]","H Pit5.1 [EG15_006]","H Pit6 [EG15_006]","H Pit6.1 [EG15_006]","H Pit7 [EG15_006]","H Pit7.1 [EG15_006]","H Pit8 [EG15_006]","H Pit8.1 [EG15_006]","H Pit9 [EG15_006]","H Pit9.1 [EG15_006]"
      33,          0.533333,     47.2276,     45.8979,     38.4467,     38.4126,     43.6532,     42.9796,     43.3227,     43.2815,     43.2839,     43.3704,     43.2809,     43.3189,     43.3186,     43.2808,     43.2776,     43.2797,     43.2779,     43.2832,     43.2780,     43.2879,     43.2777,     43.2968,     43.2780,     43.3999,     43.4263,     43.4151,     43.4553,     43.3202,     43.3181,     43.3409,     43.3629,     43.3495,     43.3693,     43.3687,     43.3667,     43.3141,     43.2827,     43.2920,     43.2774,     43.2870,     43.2773
      34,          0.550000,     47.4445,     46.0330,     38.5529,     38.5161,     43.6568,     42.9817,     43.3281,     43.2948,     43.2976,     43.3740,     43.2943,     43.3227,     43.3217,     43.2946,     43.2918,     43.2935,     43.2920,     43.2963,     43.2919,     43.3004,     43.2917,     43.3084,     43.2919,     43.4018,     43.4270,     43.4165,     43.4557,     43.3244,     43.3206,     43.3442,     43.3645,     43.3524,     43.3706,     43.3714,     43.3678,     43.3247,     43.2953,     43.3051,     43.2915,     43.3004,     43.2917
      35,          0.566667,     47.6946,     46.1870,     38.6559,     38.6171,     43.6598,     42.9835,     43.3337,     43.3076,     43.3104,     43.3777,     43.3071,     43.3271,     43.3252,     43.3077,     43.3052,     43.3065,     43.3054,     43.3089,     43.3054,     43.3124,     43.3052,     43.3194,     43.3052,     43.4037,     43.4275,     43.4178,     43.4560,     43.3292,     43.3244,     43.3477,     43.3660,     43.3555,     43.3719,     43.3742,     43.3689,     43.3348,     43.3076,     43.3173,     43.3049,     43.3131,     43.3051
      36,          0.583333,     47.9655,     46.3056,     38.7738,     38.7292,     43.6624,     42.9851,     43.3394,     43.3196,     43.3225,     43.3815,     43.3190,     43.3325,     43.3300,     43.3199,     43.3178,     43.3187,     43.3179,     43.3207,     43.3178,     43.3238,     43.3178,     43.3323,     43.3178,     43.4048,     43.4281,     43.4192,     43.4564,     43.3349,     43.3296,     43.3520,     43.3676,     43.3589,     43.3733,     43.3772,     43.3704,     43.3440,     43.3194,     43.3293,     43.3175,     43.3250,     43.3177
      37,          0.600000,     48.2413,     46.4057,     38.8978,     38.8383,     43.6644,     42.9861,     43.3471,     43.3307,     43.3337,     43.3853,     43.3302,     43.3392,     43.3365,     43.3313,     43.3297,     43.3302,     43.3297,     43.3316,     43.3298,     43.3340,     43.3295,     43.3388,     43.3293,     43.4067,     43.4285,     43.4205,     43.4565,     43.3418,     43.3363,     43.3562,     43.3693,     43.3632,     43.3750,     43.3803,     43.3721,     43.3513,     43.3306,     43.3415,     43.3291,     43.3361,     43.3295
      38,          0.616667,     48.4994,     46.4905,     39.0308,     38.9545,     43.6661,     42.9871,     43.3539,     43.3407,     43.3442,     43.3893,     43.3402,     43.3466,     43.3441,     43.3420,     43.3405,     43.3409,     43.3405,     43.3416,     43.3405,     43.3434,     43.3403,     43.3472,     43.3402,     43.4088,     43.4288,     43.4218,     43.4564,     43.3491,     43.3445,     43.3617,     43.3716,     43.3677,     43.3771,     43.3838,     43.3745,     43.3605,     43.3413,     43.3514,     43.3402,     43.3463,     43.3404
      39,          0.633333,     48.7366,     46.5595,     39.1825,     39.0796,     43.6672,     42.9877,     43.3611,     43.3506,     43.3539,     43.3934,     43.3500,     43.3550,     43.3532,     43.3520,     43.3507,     43.3511,     43.3509,     43.3513,     43.3509,     43.3528,     43.3507,     43.3557,     43.3507,     43.4110,     43.4292,     43.4232,     43.4565,     43.3569,     43.3532,     43.3674,     43.3744,     43.3725,     43.3797,     43.3877,     43.3777,     43.3690,     43.3511,     43.3604,     43.3502,     43.3558,     43.3506
      40,          0.650000,     48.9611,     46.6238,     39.3524,     39.2149,     43.6679,     42.9881,     43.3684,     43.3600,     43.3631,     43.3976,     43.3594,     43.3636,     43.3626,     43.3614,     43.3604,     43.3606,     43.3605,     43.3607,     43.3605,     43.3618,     43.3604,     43.3640,     43.3604,     43.4134,     43.4296,     43.4247,     43.4566,     43.3651,     43.3624,     43.3734,     43.3778,     43.3776,     43.3829,     43.3918,     43.3815,     43.3771,     43.3606,     43.3692,     43.3600,     43.3649,     43.3602
      41,          0.666667,     49.1778,     46.6779,     39.5393,     39.3554,     43.6683,     42.9883,     43.3756,     43.3689,     43.3719,     43.4021,     43.3684,     43.3721,     43.3715,     43.3703,     43.3695,     43.3696,     43.3696,     43.3696,     43.3697,     43.3705,     43.3696,     43.3722,     43.3696,     43.4160,     43.4301,     43.4264,     43.4567,     43.3732,     43.3715,     43.3795,     43.3822,     43.3830,     43.3868,     43.3963,     43.3860,     43.3848,     43.3694,     43.3774,     43.3691,     43.3734,     43.3693
      42,          0.683333,     49.3877,     46.7278,     39.7197,     39.4849,     43.6683,     42.9882,     43.3826,     43.3774,     43.3801,     43.4062,     43.3769,     43.3797,     43.3794,     43.3788,     43.3781,     43.3781,     43.3782,     43.3781,     43.3782,     43.3787,     43.3782,     43.3800,     43.3782,     43.4192,     43.4306,     43.4280,     43.4566,     43.3806,     43.3794,     43.3857,     43.3873,     43.3885,     43.3912,     43.4007,     43.3908,     43.3920,     43.3778,     43.3851,     43.3776,     43.3815,     43.3779
