"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time (h)","H FC01.1_R.1 [EG15_010]","H FC01.1_R.2 [EG15_010]","H FC01.2_R.1 [EG15_010]","H FC01.2_R.2 [EG15_010]","H FC04.1_C.1 [EG15_010]","H FC04.1_C.2 [EG15_010]","H Pipe16.2 [EG15_010]","H Pit1 [EG15_010]","H Pit1.1 [EG15_010]","H Pit10 [EG15_010]","H Pit10.1 [EG15_010]","H Pit11 [EG15_010]","H Pit11.1 [EG15_010]","H Pit12 [EG15_010]","H Pit12.1 [EG15_010]","H Pit13 [EG15_010]","H Pit13.1 [EG15_010]","H Pit15 [EG15_010]","H Pit15.1 [EG15_010]","H Pit16 [EG15_010]","H Pit16.1 [EG15_010]","H Pit17 [EG15_010]","H Pit17.1 [EG15_010]","H Pit18 [EG15_010]","H Pit18.1 [EG15_010]","H Pit19 [EG15_010]","H Pit19.1 [EG15_010]","H Pit2 [EG15_010]","H Pit2.1 [EG15_010]","H Pit3 [EG15_010]","H Pit3.1 [EG15_010]","H Pit4 [EG15_010]","H Pit4.1 [EG15_010]","H Pit5 [EG15_010]","H Pit5.1 [EG15_010]","H Pit6 [EG15_010]","H Pit6.1 [EG15_010]","H Pit7 [EG15_010]","H Pit7.1 [EG15_010]","H Pit8 [EG15_010]","H Pit8.1 [EG15_010]","H Pit9 [EG15_010]","H Pit9.1 [EG15_010]","H Storage_Tank [EG15_010]"
      49,          0.800000,     49.8334,     47.3523,     40.8509,     40.1062,     43.6606,     42.9830,     43.4269,     43.4284,     43.4284,     43.4276,     43.4276,     43.4276,     43.4276,     43.4276,     43.4277,     43.4274,     43.4277,     43.4275,     43.4278,     43.4278,     43.4278,     43.4353,     43.4290,     43.4418,     43.4437,     43.4482,     43.4602,     43.4280,     43.4280,     43.4284,     43.4279,     43.4295,     43.4297,     43.4306,     43.4310,     43.4332,     43.4312,     43.4309,     43.4273,     43.4288,     43.4274,     43.4279,     43.4276,     43.4267
      50,          0.816667,     49.8406,     47.3654,     41.0901,     40.1969,     43.6585,     42.9817,     43.4328,     43.4341,     43.4341,     43.4335,     43.4336,     43.4334,     43.4335,     43.4335,     43.4336,     43.4333,     43.4336,     43.4334,     43.4336,     43.4335,     43.4334,     43.4399,     43.4345,     43.4457,     43.4470,     43.4514,     43.4616,     43.4343,     43.4343,     43.4343,     43.4338,     43.4354,     43.4358,     43.4363,     43.4366,     43.4381,     43.4365,     43.4362,     43.4332,     43.4344,     43.4333,     43.4336,     43.4334,     43.4326
      51,          0.833333,     49.8458,     47.3748,     41.3222,     40.2820,     43.6563,     42.9804,     43.4385,     43.4399,     43.4400,     43.4392,     43.4393,     43.4392,     43.4392,     43.4392,     43.4393,     43.4390,     43.4393,     43.4392,     43.4394,     43.4392,     43.4393,     43.4446,     43.4400,     43.4496,     43.4504,     43.4548,     43.4632,     43.4397,     43.4397,     43.4398,     43.4395,     43.4406,     43.4408,     43.4415,     43.4417,     43.4430,     43.4418,     43.4413,     43.4389,     43.4398,     43.4391,     43.4392,     43.4391,     43.4384
      52,          0.850000,     49.8497,     47.3818,     41.5265,     40.3547,     43.6537,     42.9785,     43.4439,     43.4449,     43.4449,     43.4445,     43.4446,     43.4445,     43.4446,     43.4446,     43.4446,     43.4444,     43.4446,     43.4444,     43.4446,     43.4444,     43.4444,     43.4489,     43.4451,     43.4533,     43.4537,     43.4579,     43.4648,     43.4449,     43.4450,     43.4450,     43.4448,     43.4459,     43.4461,     43.4467,     43.4468,     43.4476,     43.4467,     43.4461,     43.4441,     43.4449,     43.4443,     43.4444,     43.4445,     43.4437
      53,          0.866667,     49.8522,     47.3865,     41.6961,     40.4140,     43.6510,     42.9767,     43.4489,     43.4499,     43.4499,     43.4496,     43.4496,     43.4496,     43.4496,     43.4496,     43.4496,     43.4495,     43.4497,     43.4495,     43.4497,     43.4495,     43.4495,     43.4532,     43.4500,     43.4570,     43.4572,     43.4610,     43.4666,     43.4501,     43.4501,     43.4498,     43.4497,     43.4506,     43.4506,     43.4514,     43.4516,     43.4520,     43.4514,     43.4509,     43.4493,     43.4498,     43.4495,     43.4495,     43.4496,     43.4488
      54,          0.883333,     49.8540,     47.3896,     41.8364,     40.4605,     43.6481,     42.9748,     43.4537,     43.4548,     43.4549,     43.4545,     43.4545,     43.4544,     43.4544,     43.4545,     43.4545,     43.4543,     43.4545,     43.4543,     43.4545,     43.4544,     43.4544,     43.4574,     43.4547,     43.4607,     43.4609,     43.4642,     43.4687,     43.4547,     43.4547,     43.4548,     43.4547,     43.4554,     43.4556,     43.4560,     43.4561,     43.4564,     43.4560,     43.4554,     43.4541,     43.4545,     43.4543,     43.4544,     43.4544,     43.4536
      55,          0.900000,     49.8554,     47.3919,     41.9542,     40.4971,     43.6450,     42.9728,     43.4585,     43.4594,     43.4595,     43.4591,     43.4591,     43.4591,     43.4591,     43.4591,     43.4592,     43.4590,     43.4592,     43.4590,     43.4592,     43.4591,     43.4591,     43.4615,     43.4594,     43.4643,     43.4644,     43.4674,     43.4709,     43.4594,     43.4595,     43.4593,     43.4592,     43.4599,     43.4600,     43.4605,     43.4606,     43.4607,     43.4605,     43.4598,     43.4588,     43.4591,     43.4590,     43.4590,     43.4591,     43.4583
      56,          0.916667,     49.8566,     47.3939,     42.0563,     40.5266,     43.6419,     42.9709,     43.4630,     43.4639,     43.4640,     43.4636,     43.4636,     43.4636,     43.4636,     43.4637,     43.4637,     43.4635,     43.4637,     43.4635,     43.4637,     43.4636,     43.4636,     43.4656,     43.4638,     43.4680,     43.4681,     43.4707,     43.4734,     43.4640,     43.4641,     43.4637,     43.4638,     43.4638,     43.4636,     43.4646,     43.4648,     43.4649,     43.4649,     43.4641,     43.4633,     43.4635,     43.4635,     43.4636,     43.4636,     43.4628
      57,          0.933333,     49.8576,     47.3954,     42.1446,     40.5503,     43.6385,     42.9687,     43.4672,     43.4679,     43.4679,     43.4678,     43.4678,     43.4678,     43.4678,     43.4678,     43.4678,     43.4677,     43.4679,     43.4678,     43.4679,     43.4678,     43.4678,     43.4694,     43.4678,     43.4715,     43.4715,     43.4738,     43.4759,     43.4679,     43.4680,     43.4680,     43.4680,     43.4686,     43.4687,     43.4688,     43.4688,     43.4688,     43.4688,     43.4681,     43.4675,     43.4677,     43.4677,     43.4677,     43.4678,     43.4671
      58,          0.950000,     49.8577,     47.3961,     42.2236,     40.5700,     43.6350,     42.9667,     43.4712,     43.4719,     43.4720,     43.4718,     43.4719,     43.4718,     43.4718,     43.4718,     43.4719,     43.4717,     43.4719,     43.4717,     43.4719,     43.4718,     43.4718,     43.4731,     43.4719,     43.4749,     43.4750,     43.4768,     43.4783,     43.4719,     43.4719,     43.4720,     43.4718,     43.4727,     43.4729,     43.4725,     43.4725,     43.4725,     43.4725,     43.4719,     43.4715,     43.4717,     43.4717,     43.4718,     43.4718,     43.4710
      59,          0.966667,     49.8576,     47.3961,     42.2940,     40.5865,     43.6315,     42.9649,     43.4750,     43.4758,     43.4758,     43.4757,     43.4757,     43.4756,     43.4757,     43.4757,     43.4757,     43.4755,     43.4757,     43.4756,     43.4757,     43.4756,     43.4757,     43.4764,     43.4755,     43.4781,     43.4782,     43.4797,     43.4808,     43.4758,     43.4758,     43.4757,     43.4758,     43.4762,     43.4763,     43.4763,     43.4763,     43.4763,     43.4763,     43.4755,     43.4753,     43.4755,     43.4755,     43.4756,     43.4756,     43.4749
      60,          0.983333,     49.8572,     47.3957,     42.3577,     40.6006,     43.6277,     42.9638,     43.4786,     43.4796,     43.4796,     43.4793,     43.4793,     43.4793,     43.4793,     43.4793,     43.4794,     43.4792,     43.4793,     43.4792,     43.4793,     43.4793,     43.4794,     43.4800,     43.4793,     43.4814,     43.4815,     43.4827,     43.4836,     43.4796,     43.4796,     43.4793,     43.4793,     43.4793,     43.4792,     43.4800,     43.4802,     43.4800,     43.4800,     43.4792,     43.4791,     43.4792,     43.4793,     43.4793,     43.4793,     43.4785
      61,          1.000000,     49.8568,     47.3951,     42.4158,     40.6129,     43.6242,     42.9637,     43.4822,     43.4830,     43.4830,     43.4829,     43.4829,     43.4828,     43.4829,     43.4829,     43.4829,     43.4827,     43.4829,     43.4828,     43.4829,     43.4829,     43.4829,     43.4835,     43.4829,     43.4848,     43.4849,     43.4860,     43.4867,     43.4829,     43.4829,     43.4827,     43.4827,     43.4827,     43.4826,     43.4834,     43.4835,     43.4835,     43.4835,     43.4828,     43.4827,     43.4828,     43.4828,     43.4828,     43.4828,     43.4821
      62,          1.016667,     49.8561,     47.3941,     42.4691,     40.6238,     43.6199,     42.9651,     43.4855,     43.4862,     43.4862,     43.4862,     43.4862,     43.4862,     43.4862,     43.4862,     43.4863,     43.4861,     43.4862,     43.4861,     43.4862,     43.4862,     43.4862,     43.4866,     43.4861,     43.4877,     43.4878,     43.4888,     43.4893,     43.4862,     43.4863,     43.4860,     43.4860,     43.4862,     43.4860,     43.4868,     43.4869,     43.4865,     43.4865,     43.4860,     43.4859,     43.4861,     43.4861,     43.4861,     43.4862,     43.4854
      63,          1.033333,     49.8543,     47.3921,     42.5182,     40.6335,     43.6162,     42.9690,     43.4887,     43.4893,     43.4894,     43.4893,     43.4894,     43.4894,     43.4894,     43.4894,     43.4894,     43.4893,     43.4894,     43.4892,     43.4893,     43.4893,     43.4893,     43.4896,     43.4892,     43.4905,     43.4906,     43.4914,     43.4917,     43.4893,     43.4893,     43.4892,     43.4892,     43.4894,     43.4893,     43.4896,     43.4896,     43.4895,     43.4895,     43.4890,     43.4891,     43.4893,     43.4893,     43.4893,     43.4893,     43.4886
      64,          1.050000,     49.8522,     47.3892,     42.5634,     40.6430,     43.6122,     42.9758,     43.4917,     43.4923,     43.4923,     43.4923,     43.4924,     43.4923,     43.4923,     43.4924,     43.4924,     43.4922,     43.4924,     43.4922,     43.4923,     43.4922,     43.4922,     43.4925,     43.4922,     43.4933,     43.4934,     43.4941,     43.4943,     43.4924,     43.4924,     43.4923,     43.4923,     43.4927,     43.4925,     43.4925,     43.4926,     43.4925,     43.4925,     43.4921,     43.4921,     43.4923,     43.4923,     43.4923,     43.4923,     43.4916
      65,          1.066667,     49.8497,     47.3857,     42.6044,     40.6523,     43.6082,     42.9857,     43.4946,     43.4952,     43.4952,     43.4952,     43.4952,     43.4952,     43.4952,     43.4952,     43.4953,     43.4951,     43.4952,     43.4951,     43.4952,     43.4951,     43.4951,     43.4954,     43.4952,     43.4962,     43.4962,     43.4969,     43.4970,     43.4953,     43.4953,     43.4954,     43.4954,     43.4957,     43.4956,     43.4954,     43.4954,     43.4955,     43.4955,     43.4950,     43.4950,     43.4951,     43.4951,     43.4952,     43.4952,     43.4945
      66,          1.083333,     49.8472,     47.3821,     42.6412,     40.6643,     43.6042,     42.9986,     43.4974,     43.4980,     43.4980,     43.4980,     43.4980,     43.4980,     43.4980,     43.4980,     43.4980,     43.4979,     43.4981,     43.4979,     43.4979,     43.4979,     43.4979,     43.4981,     43.4980,     43.4989,     43.4989,     43.4995,     43.4996,     43.4981,     43.4982,     43.4981,     43.4981,     43.4982,     43.4980,     43.4982,     43.4983,     43.4983,     43.4983,     43.4978,     43.4978,     43.4979,     43.4979,     43.4980,     43.4980,     43.4973
      67,          1.100000,     49.8442,     47.3779,     42.6732,     40.6794,     43.6002,     43.0128,     43.5001,     43.5006,     43.5006,     43.5007,     43.5007,     43.5006,     43.5007,     43.5007,     43.5007,     43.5006,     43.5007,     43.5005,     43.5006,     43.5004,     43.5005,     43.5005,     43.5004,     43.5012,     43.5012,     43.5017,     43.5018,     43.5006,     43.5006,     43.5004,     43.5004,     43.5005,     43.5004,     43.5010,     43.5011,     43.5009,     43.5008,     43.5004,     43.5004,     43.5006,     43.5006,     43.5006,     43.5007,     43.5000
      68,          1.116667,     49.8387,     47.3712,     42.7004,     40.6967,     43.5962,     43.0273,     43.5026,     43.5031,     43.5031,     43.5032,     43.5032,     43.5032,     43.5032,     43.5032,     43.5032,     43.5031,     43.5032,     43.5031,     43.5031,     43.5031,     43.5031,     43.5031,     43.5031,     43.5037,     43.5037,     43.5042,     43.5042,     43.5031,     43.5032,     43.5030,     43.5029,     43.5028,     43.5026,     43.5033,     43.5033,     43.5032,     43.5032,     43.5029,     43.5029,     43.5031,     43.5031,     43.5032,     43.5032,     43.5025
      69,          1.133333,     49.8325,     47.3620,     42.7233,     40.7142,     43.5920,     43.0410,     43.5050,     43.5056,     43.5056,     43.5056,     43.5056,     43.5055,     43.5056,     43.5056,     43.5056,     43.5055,     43.5056,     43.5055,     43.5056,     43.5055,     43.5055,     43.5056,     43.5056,     43.5061,     43.5061,     43.5064,     43.5064,     43.5056,     43.5056,     43.5054,     43.5054,     43.5049,     43.5047,     43.5057,     43.5059,     43.5056,     43.5057,     43.5054,     43.5055,     43.5055,     43.5055,     43.5056,     43.5056,     43.5049
      70,          1.150000,     49.8249,     47.3516,     42.7421,     40.7306,     43.5881,     43.0532,     43.5073,     43.5080,     43.5080,     43.5079,     43.5080,     43.5079,     43.5079,     43.5079,     43.5079,     43.5078,     43.5079,     43.5078,     43.5079,     43.5078,     43.5079,     43.5079,     43.5079,     43.5085,     43.5085,     43.5088,     43.5088,     43.5080,     43.5081,     43.5077,     43.5077,     43.5072,     43.5070,     43.5079,     43.5082,     43.5081,     43.5081,     43.5077,     43.5078,     43.5078,     43.5079,     43.5079,     43.5079,     43.5072
      71,          1.166667,     49.8169,     47.3401,     42.7571,     40.7449,     43.5842,     43.0626,     43.5096,     43.5103,     43.5103,     43.5102,     43.5102,     43.5101,     43.5102,     43.5102,     43.5102,     43.5101,     43.5102,     43.5101,     43.5101,     43.5103,     43.5103,     43.5101,     43.5100,     43.5106,     43.5107,     43.5109,     43.5110,     43.5102,     43.5102,     43.5100,     43.5101,     43.5097,     43.5098,     43.5103,     43.5104,     43.5103,     43.5103,     43.5100,     43.5100,     43.5101,     43.5102,     43.5102,     43.5102,     43.5095
      72,          1.183333,     49.8086,     47.3279,     42.7685,     40.7566,     43.5802,     43.0690,     43.5117,     43.5122,     43.5122,     43.5123,     43.5123,     43.5123,     43.5123,     43.5123,     43.5123,     43.5122,     43.5123,     43.5122,     43.5123,     43.5124,     43.5124,     43.5121,     43.5121,     43.5126,     43.5126,     43.5128,     43.5128,     43.5122,     43.5122,     43.5121,     43.5122,     43.5125,     43.5127,     43.5123,     43.5123,     43.5123,     43.5123,     43.5121,     43.5121,     43.5123,     43.5123,     43.5123,     43.5123,     43.5117
      73,          1.200000,     49.7996,     47.3147,     42.7767,     40.7657,     43.5763,     43.0733,     43.5137,     43.5144,     43.5144,     43.5143,     43.5143,     43.5143,     43.5143,     43.5143,     43.5143,     43.5143,     43.5143,     43.5143,     43.5144,     43.5144,     43.5144,     43.5142,     43.5142,     43.5146,     43.5146,     43.5149,     43.5149,     43.5143,     43.5144,     43.5144,     43.5144,     43.5150,     43.5153,     43.5143,     43.5141,     43.5143,     43.5143,     43.5142,     43.5142,     43.5142,     43.5143,     43.5143,     43.5143,     43.5137
      74,          1.216667,     49.7902,     47.3005,     42.7820,     40.7722,     43.5725,     43.0756,     43.5157,     43.5164,     43.5164,     43.5162,     43.5162,     43.5162,     43.5163,     43.5162,     43.5163,     43.5162,     43.5163,     43.5162,     43.5163,     43.5162,     43.5162,     43.5162,     43.5163,     43.5165,     43.5165,     43.5168,     43.5168,     43.5164,     43.5164,     43.5164,     43.5164,     43.5168,     43.5168,     43.5164,     43.5163,     43.5164,     43.5164,     43.5162,     43.5162,     43.5162,     43.5162,     43.5162,     43.5162,     43.5156
      75,          1.233333,     49.7804,     47.2857,     42.7847,     40.7762,     43.5688,     43.0757,     43.5176,     43.5181,     43.5182,     43.5182,     43.5182,     43.5181,     43.5182,     43.5182,     43.5182,     43.5181,     43.5182,     43.5181,     43.5182,     43.5180,     43.5180,     43.5183,     43.5183,     43.5184,     43.5184,     43.5188,     43.5188,     43.5182,     43.5182,     43.5182,     43.5182,     43.5178,     43.5176,     43.5184,     43.5185,     43.5182,     43.5182,     43.5181,     43.5181,     43.5181,     43.5181,     43.5181,     43.5181,     43.5175
      76,          1.250000,     49.7703,     47.2703,     42.7854,     40.7780,     43.5651,     43.0737,     43.5194,     43.5199,     43.5199,     43.5200,     43.5200,     43.5200,     43.5200,     43.5201,     43.5201,     43.5199,     43.5200,     43.5199,     43.5200,     43.5199,     43.5200,     43.5198,     43.5198,     43.5202,     43.5202,     43.5205,     43.5205,     43.5200,     43.5200,     43.5198,     43.5200,     43.5193,     43.5192,     43.5199,     43.5201,     43.5200,     43.5200,     43.5199,     43.5199,     43.5200,     43.5200,     43.5200,     43.5200,     43.5194
      77,          1.266667,     49.7598,     47.2545,     42.7840,     40.7778,     43.5615,     43.0700,     43.5212,     43.5218,     43.5218,     43.5218,     43.5218,     43.5217,     43.5217,     43.5217,     43.5217,     43.5217,     43.5217,     43.5217,     43.5217,     43.5218,     43.5218,     43.5216,     43.5216,     43.5218,     43.5218,     43.5221,     43.5221,     43.5217,     43.5217,     43.5216,     43.5217,     43.5219,     43.5221,     43.5217,     43.5217,     43.5217,     43.5217,     43.5216,     43.5216,     43.5217,     43.5217,     43.5218,     43.5218,     43.5211
      78,          1.283333,     49.7475,     47.2365,     42.7808,     40.7758,     43.5580,     43.0650,     43.5228,     43.5235,     43.5235,     43.5234,     43.5234,     43.5234,     43.5234,     43.5234,     43.5234,     43.5233,     43.5234,     43.5234,     43.5235,     43.5235,     43.5235,     43.5233,     43.5234,     43.5235,     43.5235,     43.5239,     43.5239,     43.5234,     43.5234,     43.5235,     43.5234,     43.5240,     43.5242,     43.5235,     43.5233,     43.5234,     43.5234,     43.5233,     43.5233,     43.5234,     43.5234,     43.5234,     43.5234,     43.5228
      79,          1.300000,     49.7339,     47.2159,     42.7761,     40.7722,     43.5546,     43.0585,     43.5244,     43.5250,     43.5250,     43.5250,     43.5250,     43.5250,     43.5250,     43.5250,     43.5251,     43.5250,     43.5250,     43.5250,     43.5250,     43.5250,     43.5250,     43.5250,     43.5250,     43.5252,     43.5252,     43.5257,     43.5257,     43.5251,     43.5251,     43.5249,     43.5250,     43.5248,     43.5247,     43.5252,     43.5252,     43.5251,     43.5251,     43.5250,     43.5250,     43.5250,     43.5250,     43.5250,     43.5250,     43.5244
      80,          1.316667,     49.7194,     47.1929,     42.7702,     40.7675,     43.5513,     43.0524,     43.5260,     43.5267,     43.5267,     43.5266,     43.5266,     43.5266,     43.5266,     43.5267,     43.5267,     43.5266,     43.5266,     43.5266,     43.5266,     43.5266,     43.5266,     43.5266,     43.5266,     43.5268,     43.5268,     43.5272,     43.5272,     43.5266,     43.5266,     43.5266,     43.5267,     43.5262,     43.5261,     43.5267,     43.5268,     43.5267,     43.5267,     43.5265,     43.5266,     43.5266,     43.5266,     43.5266,     43.5266,     43.5260
      81,          1.333333,     49.7041,     47.1687,     42.7627,     40.7616,     43.5482,     43.0427,     43.5276,     43.5282,     43.5282,     43.5282,     43.5282,     43.5282,     43.5282,     43.5282,     43.5282,     43.5281,     43.5282,     43.5281,     43.5282,     43.5282,     43.5282,     43.5280,     43.5281,     43.5282,     43.5282,     43.5286,     43.5287,     43.5282,     43.5282,     43.5282,     43.5282,     43.5286,     43.5288,     43.5280,     43.5280,     43.5281,     43.5281,     43.5281,     43.5281,     43.5281,     43.5281,     43.5282,     43.5282,     43.5276
      82,          1.350000,     49.6879,     47.1431,     42.7536,     40.7544,     43.5451,     43.0330,     43.5291,     43.5296,     43.5296,     43.5296,     43.5297,     43.5296,     43.5297,     43.5297,     43.5297,     43.5296,     43.5297,     43.5296,     43.5297,     43.5296,     43.5296,     43.5296,     43.5296,     43.5297,     43.5297,     43.5301,     43.5301,     43.5296,     43.5296,     43.5296,     43.5296,     43.5299,     43.5298,     43.5296,     43.5297,     43.5297,     43.5297,     43.5295,     43.5295,     43.5296,     43.5296,     43.5296,     43.5296,     43.5290
      83,          1.366667,     49.6712,     47.1164,     42.7431,     40.7463,     43.5421,     43.0221,     43.5305,     43.5311,     43.5311,     43.5310,     43.5311,     43.5311,     43.5311,     43.5311,     43.5311,     43.5310,     43.5311,     43.5310,     43.5311,     43.5310,     43.5310,     43.5310,     43.5310,     43.5312,     43.5312,     43.5316,     43.5316,     43.5311,     43.5311,     43.5310,     43.5311,     43.5306,     43.5304,     43.5311,     43.5312,     43.5311,     43.5311,     43.5310,     43.5310,     43.5310,     43.5310,     43.5310,     43.5310,     43.5304
      84,          1.383333,     49.6534,     47.0879,     42.7310,     40.7373,     43.5391,     43.0107,     43.5319,     43.5325,     43.5325,     43.5325,     43.5325,     43.5324,     43.5324,     43.5325,     43.5325,     43.5324,     43.5325,     43.5324,     43.5325,     43.5325,     43.5325,     43.5324,     43.5324,     43.5326,     43.5326,     43.5330,     43.5330,     43.5325,     43.5325,     43.5325,     43.5325,     43.5329,     43.5330,     43.5325,     43.5325,     43.5325,     43.5325,     43.5324,     43.5324,     43.5324,     43.5325,     43.5324,     43.5325,     43.5318
      85,          1.400000,     49.6347,     47.0584,     42.7177,     40.7275,     43.5362,     42.9977,     43.5333,     43.5339,     43.5339,     43.5338,     43.5338,     43.5338,     43.5338,     43.5338,     43.5338,     43.5338,     43.5339,     43.5338,     43.5339,     43.5339,     43.5339,     43.5339,     43.5339,     43.5338,     43.5338,     43.5343,     43.5343,     43.5339,     43.5339,     43.5338,     43.5338,     43.5341,     43.5340,     43.5338,     43.5339,     43.5338,     43.5338,     43.5337,     43.5337,     43.5338,     43.5338,     43.5338,     43.5338,     43.5332
      86,          1.416667,     49.6151,     47.0272,     42.7030,     40.7170,     43.5334,     42.9843,     43.5346,     43.5351,     43.5351,     43.5352,     43.5352,     43.5352,     43.5352,     43.5352,     43.5352,     43.5351,     43.5352,     43.5351,     43.5351,     43.5351,     43.5351,     43.5351,     43.5351,     43.5352,     43.5352,     43.5356,     43.5356,     43.5351,     43.5351,     43.5351,     43.5352,     43.5346,     43.5345,     43.5351,     43.5353,     43.5351,     43.5351,     43.5351,     43.5351,     43.5351,     43.5351,     43.5351,     43.5351,     43.5346
      87,          1.433333,     49.5939,     46.9951,     42.6870,     40.7061,     43.5307,     42.9707,     43.5359,     43.5364,     43.5364,     43.5364,     43.5365,     43.5364,     43.5364,     43.5364,     43.5365,     43.5364,     43.5364,     43.5364,     43.5365,     43.5365,     43.5365,     43.5364,     43.5364,     43.5365,     43.5365,     43.5370,     43.5370,     43.5364,     43.5364,     43.5364,     43.5364,     43.5369,     43.5370,     43.5363,     43.5363,     43.5365,     43.5365,     43.5364,     43.5364,     43.5364,     43.5364,     43.5365,     43.5365,     43.5358
      88,          1.450000,     49.5725,     46.9632,     42.6697,     40.6949,     43.5281,     42.9571,     43.5371,     43.5378,     43.5378,     43.5377,     43.5377,     43.5377,     43.5377,     43.5377,     43.5377,     43.5376,     43.5377,     43.5376,     43.5377,     43.5376,     43.5376,     43.5377,     43.5377,     43.5376,     43.5375,     43.5380,     43.5380,     43.5377,     43.5378,     43.5377,     43.5378,     43.5376,     43.5375,     43.5379,     43.5379,     43.5378,     43.5378,     43.5376,     43.5376,     43.5376,     43.5377,     43.5376,     43.5376,     43.5371
      89,          1.466667,     49.5495,     46.9321,     42.6507,     40.6839,     43.5255,     42.9434,     43.5384,     43.5389,     43.5389,     43.5389,     43.5389,     43.5389,     43.5389,     43.5389,     43.5389,     43.5389,     43.5390,     43.5389,     43.5389,     43.5389,     43.5389,     43.5388,     43.5388,     43.5389,     43.5389,     43.5390,     43.5390,     43.5390,     43.5390,     43.5390,     43.5390,     43.5388,     43.5389,     43.5390,     43.5390,     43.5389,     43.5389,     43.5389,     43.5389,     43.5389,     43.5389,     43.5389,     43.5389,     43.5383
      90,          1.483333,     49.5248,     46.9008,     42.6300,     40.6734,     43.5231,     42.9302,     43.5396,     43.5401,     43.5401,     43.5401,     43.5401,     43.5401,     43.5401,     43.5402,     43.5402,     43.5401,     43.5402,     43.5401,     43.5402,     43.5402,     43.5402,     43.5401,     43.5401,     43.5401,     43.5401,     43.5402,     43.5402,     43.5401,     43.5401,     43.5401,     43.5401,     43.5405,     43.5405,     43.5400,     43.5400,     43.5402,     43.5402,     43.5401,     43.5401,     43.5401,     43.5401,     43.5402,     43.5402,     43.5396
      91,          1.500000,     49.4985,     46.8681,     42.6074,     40.6639,     43.5207,     42.9183,     43.5408,     43.5414,     43.5414,     43.5413,     43.5413,     43.5413,     43.5413,     43.5413,     43.5413,     43.5413,     43.5413,     43.5413,     43.5413,     43.5413,     43.5413,     43.5413,     43.5414,     43.5414,     43.5414,     43.5414,     43.5414,     43.5414,     43.5414,     43.5413,     43.5413,     43.5409,     43.5408,     43.5414,     43.5415,     43.5413,     43.5413,     43.5412,     43.5412,     43.5413,     43.5413,     43.5413,     43.5413,     43.5407
      92,          1.516667,     49.4698,     46.8362,     42.5825,     40.6561,     43.5184,     42.9075,     43.5419,     43.5423,     43.5423,     43.5424,     43.5424,     43.5424,     43.5424,     43.5424,     43.5424,     43.5424,     43.5424,     43.5424,     43.5424,     43.5425,     43.5425,     43.5424,     43.5424,     43.5425,     43.5426,     43.5426,     43.5426,     43.5424,     43.5424,     43.5425,     43.5425,     43.5429,     43.5429,     43.5424,     43.5424,     43.5425,     43.5425,     43.5424,     43.5424,     43.5424,     43.5424,     43.5424,     43.5424,     43.5419
      93,          1.533333,     49.4385,     46.8063,     42.5550,     40.6487,     43.5162,     42.8979,     43.5430,     43.5437,     43.5437,     43.5435,     43.5435,     43.5435,     43.5435,     43.5436,     43.5436,     43.5435,     43.5436,     43.5435,     43.5436,     43.5436,     43.5436,     43.5435,     43.5435,     43.5436,     43.5436,     43.5436,     43.5436,     43.5436,     43.5436,     43.5436,     43.5436,     43.5435,     43.5434,     43.5437,     43.5437,     43.5435,     43.5435,     43.5435,     43.5435,     43.5435,     43.5436,     43.5435,     43.5435,     43.5430
      94,          1.550000,     49.4027,     46.7811,     42.5251,     40.6431,     43.5141,     42.8921,     43.5441,     43.5446,     43.5446,     43.5447,     43.5447,     43.5447,     43.5447,     43.5447,     43.5447,     43.5446,     43.5447,     43.5446,     43.5447,     43.5446,     43.5447,     43.5446,     43.5446,     43.5447,     43.5447,     43.5448,     43.5448,     43.5446,     43.5446,     43.5447,     43.5447,     43.5446,     43.5447,     43.5446,     43.5446,     43.5446,     43.5446,     43.5446,     43.5446,     43.5447,     43.5447,     43.5447,     43.5447,     43.5441
      95,          1.566667,     49.3602,     46.7573,     42.4930,     40.6372,     43.5120,     42.8888,     43.5452,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5458,     43.5458,     43.5457,     43.5457,     43.5458,     43.5458,     43.5459,     43.5459,     43.5457,     43.5457,     43.5457,     43.5457,     43.5458,     43.5458,     43.5458,     43.5458,     43.5458,     43.5458,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5457,     43.5451
      96,          1.583333,     49.3100,     46.7436,     42.4586,     40.6310,     43.5100,     42.8867,     43.5462,     43.5468,     43.5468,     43.5468,     43.5468,     43.5468,     43.5468,     43.5468,     43.5468,     43.5467,     43.5468,     43.5467,     43.5468,     43.5467,     43.5468,     43.5468,     43.5468,     43.5469,     43.5469,     43.5469,     43.5469,     43.5469,     43.5469,     43.5468,     43.5468,     43.5466,     43.5467,     43.5469,     43.5469,     43.5468,     43.5468,     43.5468,     43.5468,     43.5468,     43.5468,     43.5468,     43.5468,     43.5462
