"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time (h)","SQ Pipe7 [EG15_010]","SQ Pipe6 [EG15_010]","SQ Pipe5 [EG15_010]","SQ Pipe19 [EG15_010]","SQ Pipe3 [EG15_010]","SQ Pipe2 [EG15_010]","SQ Pipe1 [EG15_010]","SQ Pipe0 [EG15_010]","SQ Pipe17 [EG15_010]","SQ Pipe16 [EG15_010]","SQ Pipe15 [EG15_010]","SQ Pipe14 [EG15_010]","SQ Pipe13 [EG15_010]","SQ Pipe12 [EG15_010]","SQ Pipe11 [EG15_010]","SQ Pipe10 [EG15_010]","SQ Pipe9 [EG15_010]","SQ Pipe8 [EG15_010]","SQ Pipe4 [EG15_010]","SQ FC04.1_C [EG15_010]","SQ FC01.2_R [EG15_010]","SQ FC01.1_R [EG15_010]"
      40,          0.650000,      0.0914,      0.0017,      0.0042,      0.0131,      0.0211,     -0.0153,     -0.0074,     -0.0017,      0.0000,      0.0003,      0.0000,      0.0000,      0.0012,      0.0170,      0.0054,      0.0424,      0.0895,      0.1451,      0.0394,      0.5507,     18.5766,     40.6856
      41,          0.666667,      0.0878,      0.0014,      0.0025,      0.0086,      0.0153,     -0.0158,     -0.0041,     -0.0006,      0.0000,      0.0003,     -0.0002,      0.0000,      0.0008,      0.0146,      0.0043,      0.0374,      0.0804,      0.1371,      0.0269,      0.5522,     21.4770,     42.4257
      42,          0.683333,      0.0842,      0.0011,      0.0014,      0.0054,      0.0110,     -0.0160,     -0.0028,     -0.0003,      0.0000,      0.0002,     -0.0004,      0.0000,      0.0005,      0.0120,      0.0033,      0.0322,      0.0720,      0.1281,      0.0183,      0.5522,     24.2754,     44.0427
      43,          0.700000,      0.0792,      0.0009,      0.0008,      0.0037,      0.0079,     -0.0162,     -0.0014,      0.0000,      0.0000,      0.0002,     -0.0006,      0.0000,      0.0002,      0.0094,      0.0024,      0.0267,      0.0610,      0.1174,      0.0124,      0.5512,     26.8133,     45.2932
      44,          0.716667,      0.0740,      0.0008,      0.0004,      0.0025,      0.0059,     -0.0156,     -0.0010,      0.0000,      0.0000,      0.0002,     -0.0006,      0.0000,      0.0000,      0.0075,      0.0016,      0.0220,      0.0521,      0.1065,      0.0089,      0.5493,     29.3572,     46.1095
      45,          0.733333,      0.0685,      0.0008,      0.0003,      0.0017,      0.0044,     -0.0148,     -0.0005,      0.0000,      0.0000,      0.0002,     -0.0006,      0.0000,      0.0000,      0.0058,      0.0011,      0.0181,      0.0443,      0.0958,      0.0066,      0.5467,     31.6756,     46.6173
      46,          0.750000,      0.0617,      0.0007,      0.0000,      0.0013,      0.0034,     -0.0128,     -0.0002,      0.0000,      0.0000,      0.0002,     -0.0007,      0.0000,      0.0000,      0.0043,      0.0006,      0.0145,      0.0368,      0.0823,      0.0051,      0.5434,     34.0174,     46.9292
      47,          0.766667,      0.0550,      0.0007,      0.0000,      0.0005,      0.0025,     -0.0109,     -0.0000,      0.0000,      0.0000,      0.0002,     -0.0006,      0.0000,      0.0000,      0.0029,      0.0002,      0.0111,      0.0300,      0.0699,      0.0039,      0.5388,     36.5767,     47.1262
      48,          0.783333,      0.0487,      0.0005,      0.0000,      0.0004,      0.0018,     -0.0089,      0.0000,      0.0000,      0.0000,      0.0002,     -0.0006,      0.0000,      0.0000,      0.0019,      0.0000,      0.0085,      0.0241,      0.0586,      0.0029,      0.5332,     39.5962,     47.2381
      49,          0.800000,      0.0418,      0.0007,      0.0000,      0.0001,      0.0014,     -0.0072,      0.0000,      0.0000,      0.0000,      0.0002,     -0.0005,      0.0000,      0.0000,      0.0012,      0.0000,      0.0064,      0.0192,      0.0484,      0.0020,      0.5272,     43.2302,     47.3054
      50,          0.816667,      0.0353,      0.0006,      0.0000,      0.0005,      0.0008,     -0.0055,      0.0000,      0.0000,      0.0000,      0.0002,     -0.0006,      0.0000,      0.0000,      0.0007,      0.0000,      0.0045,      0.0151,      0.0396,      0.0021,      0.5204,     47.3427,     47.3557
      51,          0.833333,      0.0294,      0.0007,      0.0000,      0.0000,      0.0007,     -0.0042,      0.0000,      0.0000,      0.0000,      0.0002,     -0.0005,      0.0000,      0.0000,      0.0003,      0.0000,      0.0032,      0.0119,      0.0321,      0.0010,      0.5134,     51.0924,     47.3923
      52,          0.850000,      0.0242,      0.0005,      0.0000,      0.0001,      0.0005,     -0.0030,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0005,      0.0000,      0.0000,      0.0000,      0.0000,      0.0021,      0.0092,      0.0256,      0.0011,      0.5052,     54.2307,     47.4204
      53,          0.866667,      0.0195,      0.0005,      0.0000,      0.0000,      0.0007,     -0.0022,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0005,      0.0000,      0.0000,      0.0000,      0.0000,      0.0014,      0.0068,      0.0203,      0.0006,      0.4965,     56.7279,     47.4377
      54,          0.883333,      0.0156,      0.0005,      0.0000,      0.0000,      0.0001,     -0.0014,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0004,      0.0000,      0.0000,      0.0000,      0.0000,      0.0008,      0.0053,      0.0161,      0.0004,      0.4875,     58.7651,     47.4500
      55,          0.900000,      0.0122,      0.0004,      0.0000,      0.0000,      0.0002,     -0.0008,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0005,      0.0000,      0.0000,      0.0000,      0.0000,      0.0005,      0.0039,      0.0123,      0.0003,      0.4780,     60.4754,     47.4599
      56,          0.916667,      0.0094,      0.0005,      0.0000,      0.0000,      0.0007,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0004,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,      0.0030,      0.0097,      0.0000,      0.4683,     61.9664,     47.4686
      57,          0.933333,      0.0074,      0.0005,      0.0000,      0.0000,      0.0000,     -0.0001,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0004,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0021,      0.0075,      0.0002,      0.4582,     63.2604,     47.4754
      58,          0.950000,      0.0053,      0.0004,      0.0000,      0.0000,      0.0000,     -0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0004,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0015,      0.0056,      0.0006,      0.4477,     64.4253,     47.4766
      59,          0.966667,      0.0040,      0.0004,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0010,      0.0044,      0.0000,      0.4371,     65.4691,     47.4754
      60,          0.983333,      0.0029,      0.0003,      0.0000,      0.0000,      0.0005,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0006,      0.0033,      0.0000,      0.4262,     66.4123,     47.4730
      61,          1.000000,      0.0023,      0.0004,      0.0000,      0.0000,      0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0005,      0.0026,      0.0000,      0.4160,     67.2740,     47.4699
      62,          1.016667,      0.0017,      0.0003,      0.0000,      0.0000,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0002,      0.0019,      0.0000,      0.4036,     68.0615,     47.4648
      63,          1.033333,      0.0011,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0013,      0.0000,      0.3933,     68.7825,     47.4526
      64,          1.050000,      0.0006,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0009,      0.0000,      0.3820,     69.4299,     47.4374
      65,          1.066667,      0.0005,      0.0002,      0.0000,      0.0000,     -0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0007,      0.0000,      0.3710,     70.0015,     47.4204
      66,          1.083333,      0.0003,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0006,      0.0000,      0.3603,     70.4464,     47.4026
      67,          1.100000,      0.0002,      0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0005,      0.0000,      0.3495,     70.7469,     47.3812
      68,          1.116667,      0.0001,      0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,      0.0000,      0.3389,     70.9229,     47.3428
      69,          1.133333,      0.0000,      0.0002,      0.0000,      0.0000,      0.0006,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0000,      0.3281,     71.0172,     47.2994
      70,          1.150000,      0.0000,      0.0002,      0.0000,      0.0000,      0.0007,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0001,      0.3181,     71.0594,     47.2452
      71,          1.166667,      0.0000,      0.0002,      0.0000,      0.0000,      0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,      0.0000,      0.3082,     71.0724,     47.1892
      72,          1.183333,      0.0000,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.2984,     71.0668,     47.1305
      73,          1.200000,      0.0000,      0.0002,      0.0000,      0.0000,     -0.0005,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0002,      0.2889,     71.0513,     47.0664
      74,          1.216667,      0.0000,      0.0002,      0.0000,      0.0000,     -0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.2798,     71.0302,     46.9997
      75,          1.233333,      0.0000,      0.0001,      0.0000,      0.0000,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.2709,     71.0081,     46.9302
      76,          1.250000,      0.0000,      0.0001,      0.0000,      0.0000,      0.0004,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0003,      0.2624,     70.9872,     46.8585
      77,          1.266667,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.2541,     70.9663,     46.7835
      78,          1.283333,      0.0000,      0.0002,      0.0000,      0.0000,     -0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0002,      0.2461,     70.9460,     46.6954
      79,          1.300000,      0.0000,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.2385,     70.9257,     46.5987
      80,          1.316667,      0.0000,      0.0001,      0.0000,      0.0000,      0.0003,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0000,      0.2313,     70.9050,     46.4946
      81,          1.333333,      0.0000,      0.0002,      0.0000,      0.0000,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0001,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.2244,     70.8771,     46.3843
      82,          1.350000,      0.0000,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.2178,     70.8428,     46.2681
      83,          1.366667,      0.0000,      0.0001,      0.0000,      0.0000,      0.0004,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0001,      0.2115,     70.8001,     46.1470
      84,          1.383333,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0001,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.2053,     70.7458,     46.0186
      85,          1.400000,      0.0000,      0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     -0.0002,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.1994,     70.6842,     45.8827
