"EG15_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_004.tcf]","Time (h)","Q FC01.1_R [EG15_004]","Q FC01.2_R [EG15_004]","Q FC04.1_C [EG15_004]","Q Pipe0 [EG15_004]","Q Pipe1 [EG15_004]","Q Pipe10 [EG15_004]","Q Pipe11 [EG15_004]","Q Pipe12 [EG15_004]","Q Pipe13 [EG15_004]","Q Pipe14 [EG15_004]","Q Pipe15 [EG15_004]","Q Pipe16 [EG15_004]","Q Pipe17 [EG15_004]","Q Pipe19 [EG15_004]","Q Pipe2 [EG15_004]","Q Pipe3 [EG15_004]","Q Pipe4 [EG15_004]","Q Pipe5 [EG15_004]","Q Pipe6 [EG15_004]","Q Pipe7 [EG15_004]","Q Pipe8 [EG15_004]","Q Pipe9 [EG15_004]","Q Pit1 [EG15_004]","Q Pit11 [EG15_004]","Q Pit12 [EG15_004]","Q Pit14 [EG15_004]","Q Pit15 [EG15_004]","Q Pit16 [EG15_004]","Q Pit18 [EG15_004]","Q Pit19 [EG15_004]","Q Pit2 [EG15_004]","Q Pit4 [EG15_004]","Q Pit5 [EG15_004]","Q Pit6 [EG15_004]","Q Pit7 [EG15_004]","Q Pit8 [EG15_004]","Q Pit9 [EG15_004]"
      47,          0.766667,          47.126,          36.577,           0.539,           0.000,          -0.001,           0.017,           0.001,           0.005,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.018,           0.002,           0.003,           0.000,           0.000,           0.051,           0.060,           0.040,           0.000,           0.000,           0.001,           0.001,           0.000,          -0.001,           0.009,           0.051,          -0.001,           0.001,           0.002,          -0.018,          -0.025,          -0.012,          -0.005
      48,          0.783333,          47.238,          39.596,           0.533,           0.000,          -0.000,           0.013,           0.001,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.015,           0.002,           0.002,           0.000,           0.000,           0.045,           0.050,           0.034,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.001,           0.005,           0.045,          -0.000,           0.000,           0.002,          -0.015,          -0.021,          -0.009,          -0.003
      49,          0.800000,          47.305,          43.230,           0.527,           0.000,          -0.000,           0.010,           0.001,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.012,           0.001,           0.002,           0.000,           0.000,           0.039,           0.040,           0.028,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.000,           0.002,           0.039,          -0.000,           0.001,           0.001,          -0.012,          -0.017,          -0.007,          -0.002
      50,          0.816667,          47.356,          47.343,           0.520,           0.000,           0.000,           0.008,           0.001,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.010,           0.001,           0.001,           0.000,           0.000,           0.033,           0.033,           0.022,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.000,           0.000,           0.033,           0.000,           0.000,           0.001,          -0.010,          -0.014,          -0.006,          -0.001
      51,          0.833333,          47.392,          51.092,           0.513,           0.000,           0.000,           0.006,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.008,           0.000,           0.001,           0.000,           0.000,           0.027,           0.026,           0.018,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,          -0.001,           0.027,           0.000,           0.000,           0.000,          -0.008,          -0.012,          -0.005,          -0.001
      52,          0.850000,          47.420,          54.231,           0.505,           0.000,           0.000,           0.004,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.006,           0.001,           0.001,           0.000,           0.000,           0.022,           0.021,           0.014,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.022,           0.000,           0.001,           0.001,          -0.006,          -0.010,          -0.003,          -0.000
      53,          0.866667,          47.438,          56.728,           0.497,           0.000,           0.000,           0.003,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.005,           0.000,           0.000,           0.000,           0.000,           0.018,           0.016,           0.011,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.018,           0.000,          -0.000,           0.001,          -0.005,          -0.008,          -0.002,           0.000
      54,          0.883333,          47.450,          58.765,           0.487,           0.000,           0.000,           0.002,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.004,           0.000,           0.001,           0.000,           0.000,           0.014,           0.012,           0.008,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.014,           0.000,           0.001,           0.000,          -0.004,          -0.006,          -0.002,           0.000
      55,          0.900000,          47.460,          60.475,           0.478,           0.000,           0.000,           0.001,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.003,           0.001,           0.000,           0.000,           0.000,           0.011,           0.009,           0.006,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.011,           0.000,          -0.000,           0.001,          -0.002,          -0.005,          -0.001,           0.000
      56,          0.916667,          47.469,          61.966,           0.468,           0.000,           0.000,           0.001,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.000,           0.000,           0.000,           0.000,           0.008,           0.007,           0.005,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.009,           0.000,           0.000,           0.000,          -0.002,          -0.004,          -0.001,           0.000
