"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time(h)","F FC01.1_R [EG15_008]","F FC01.2_R [EG15_008]","F FC04.1_C [EG15_008]","F Node20 [EG15_008]","F Node21 [EG15_008]","F Pipe10 [EG15_008]","F Pipe11 [EG15_008]","F Pipe12 [EG15_008]","F Pipe13 [EG15_008]","F Pipe14 [EG15_008]","F Pipe15 [EG15_008]","F Pipe16 [EG15_008]","F Pipe17 [EG15_008]","F Pipe19 [EG15_008]","F Pipe5 [EG15_008]","F Pipe6 [EG15_008]","F Pipe9 [EG15_008]","F Pit10 [EG15_008]","F Pit11 [EG15_008]","F Pit12 [EG15_008]","F Pit13 [EG15_008]","F Pit14 [EG15_008]","F Pit15 [EG15_008]","F Pit16 [EG15_008]","F Pit18 [EG15_008]","F Pit19 [EG15_008]","F Pit2 [EG15_008]","F Pit3 [EG15_008]","F Pit4 [EG15_008]","F Pit5 [EG15_008]","F Pit6 [EG15_008]","F Pit7 [EG15_008]","F Pit8 [EG15_008]","F Pit9 [EG15_008]"
      76,          1.250000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      77,          1.266667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      78,          1.283333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      79,          1.300000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      80,          1.316667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      81,          1.333333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      82,          1.350000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      83,          1.366667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      84,          1.383333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      85,          1.400000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      86,          1.416667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      87,          1.433333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      88,          1.450000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      89,          1.466667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      90,          1.483333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      91,          1.500000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      92,          1.516667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
