"EG15_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_006.tcf]","Time(h)","V FC01.1_R [EG15_006]","V FC01.2_R [EG15_006]","V FC04.1_C [EG15_006]","V Pipe0 [EG15_006]","V Pipe1 [EG15_006]","V Pipe10 [EG15_006]","V Pipe11 [EG15_006]","V Pipe12 [EG15_006]","V Pipe13 [EG15_006]","V Pipe14 [EG15_006]","V Pipe15 [EG15_006]","V Pipe16 [EG15_006]","V Pipe17 [EG15_006]","V Pipe19 [EG15_006]","V Pipe2 [EG15_006]","V Pipe3 [EG15_006]","V Pipe4 [EG15_006]","V Pipe5 [EG15_006]","V Pipe6 [EG15_006]","V Pipe7 [EG15_006]","V Pipe8 [EG15_006]","V Pipe9 [EG15_006]","V Pit1 [EG15_006]","V Pit11 [EG15_006]","V Pit12 [EG15_006]","V Pit14 [EG15_006]","V Pit15 [EG15_006]","V Pit16 [EG15_006]","V Pit18 [EG15_006]","V Pit19 [EG15_006]","V Pit2 [EG15_006]","V Pit4 [EG15_006]","V Pit5 [EG15_006]","V Pit6 [EG15_006]","V Pit7 [EG15_006]","V Pit8 [EG15_006]","V Pit9 [EG15_006]"
      36,          0.583333,    5.397,    0.746,    1.142,   -0.031,   -0.096,    0.290,    0.037,    0.128,    0.034,    0.008,    0.009,    0.000,   -0.004,    0.271,   -0.083,    0.176,    0.367,    0.120,    0.045,    0.371,    0.625,    0.541,   -0.027,   -0.013,   -0.005,   -0.018,   -0.039,   -0.077,    0.188,    0.250,   -0.043,    0.252,    0.143,   -0.052,   -0.129,   -0.086,   -0.047
      37,          0.600000,    5.877,    0.848,    1.145,   -0.034,   -0.102,    0.268,    0.032,    0.114,    0.029,    0.007,    0.005,    0.000,   -0.000,    0.202,   -0.101,    0.146,    0.306,    0.084,    0.028,    0.361,    0.601,    0.499,   -0.028,   -0.011,   -0.003,   -0.012,   -0.029,   -0.061,    0.177,    0.243,   -0.042,    0.204,    0.117,   -0.062,   -0.120,   -0.080,   -0.042
      38,          0.616667,    6.293,    0.961,    1.148,   -0.032,   -0.090,    0.240,    0.028,    0.101,    0.025,    0.006,    0.004,    0.000,    0.000,    0.144,   -0.115,    0.116,    0.237,    0.057,    0.018,    0.349,    0.574,    0.458,   -0.024,   -0.010,   -0.002,   -0.007,   -0.020,   -0.045,    0.165,    0.235,   -0.034,    0.149,    0.091,   -0.069,   -0.114,   -0.072,   -0.038
      39,          0.633333,    6.653,    1.115,    1.150,   -0.022,   -0.070,    0.215,    0.023,    0.088,    0.020,    0.004,    0.004,    0.000,    0.000,    0.100,   -0.123,    0.088,    0.172,    0.037,    0.011,    0.338,    0.547,    0.422,   -0.015,   -0.008,   -0.001,   -0.003,   -0.013,   -0.032,    0.153,    0.227,   -0.026,    0.100,    0.068,   -0.072,   -0.108,   -0.066,   -0.034
      40,          0.650000,    6.976,    1.290,    1.151,   -0.013,   -0.046,    0.192,    0.019,    0.077,    0.016,    0.003,    0.003,    0.000,    0.001,    0.070,   -0.128,    0.065,    0.119,    0.024,    0.006,    0.325,    0.516,    0.387,   -0.008,   -0.007,   -0.001,   -0.001,   -0.009,   -0.024,    0.140,    0.218,   -0.017,    0.061,    0.048,   -0.072,   -0.102,   -0.060,   -0.030
      41,          0.666667,    7.275,    1.491,    1.152,   -0.007,   -0.028,    0.171,    0.016,    0.067,    0.013,    0.002,    0.002,    0.000,    0.001,    0.047,   -0.127,    0.047,    0.079,    0.015,    0.003,    0.311,    0.485,    0.356,   -0.004,   -0.005,    0.000,    0.000,   -0.006,   -0.017,    0.126,    0.209,   -0.011,    0.034,    0.034,   -0.069,   -0.096,   -0.054,   -0.027
      42,          0.683333,    7.552,    1.686,    1.152,   -0.004,   -0.019,    0.151,    0.013,    0.058,    0.010,    0.001,    0.002,    0.000,    0.002,    0.031,   -0.122,    0.033,    0.053,    0.008,    0.001,    0.297,    0.449,    0.325,   -0.002,   -0.004,    0.001,    0.001,   -0.003,   -0.011,    0.110,    0.199,   -0.008,    0.020,    0.023,   -0.065,   -0.091,   -0.048,   -0.023
      43,          0.700000,    7.766,    1.862,    1.151,   -0.002,   -0.012,    0.135,    0.011,    0.051,    0.008,    0.001,    0.002,    0.000,    0.002,    0.020,   -0.113,    0.024,    0.035,    0.004,    0.000,    0.279,    0.407,    0.295,   -0.001,   -0.004,    0.001,    0.001,   -0.002,   -0.008,    0.094,    0.188,   -0.005,    0.011,    0.016,   -0.059,   -0.083,   -0.044,   -0.021
      44,          0.716667,    7.906,    2.039,    1.150,   -0.001,   -0.009,    0.119,    0.008,    0.044,    0.006,    0.000,    0.002,    0.000,    0.001,    0.013,   -0.098,    0.018,    0.025,    0.002,    0.000,    0.257,    0.362,    0.269,   -0.000,   -0.003,    0.001,    0.001,   -0.000,   -0.006,    0.075,    0.172,   -0.003,    0.006,    0.012,   -0.051,   -0.074,   -0.039,   -0.018
      45,          0.733333,    7.993,    2.200,    1.149,    0.000,   -0.005,    0.096,    0.006,    0.034,    0.004,    0.000,    0.002,    0.000,    0.001,    0.010,   -0.088,    0.013,    0.018,    0.001,    0.000,    0.232,    0.310,    0.221,    0.000,   -0.002,    0.001,    0.001,   -0.000,   -0.004,    0.055,    0.155,   -0.002,    0.004,    0.008,   -0.046,   -0.065,   -0.032,   -0.014
