"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow","PF01 Status","PF01 Trigger","PF01 Orifice Height","PF01 Orifice Width","PF01 Flow"
      98,          1.616667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   41.156,             41.156,"Closed      ",          48.635448,    0.000,    0.000,              0.000
      99,          1.633333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   39.441,             39.441,"Closed      ",          48.568314,    0.000,    0.000,              0.000
     100,          1.650000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   37.846,             37.846,"Closed      ",          48.504276,    0.000,    0.000,              0.000
     101,          1.666667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   36.356,             36.356,"Closed      ",          48.443005,    0.000,    0.000,              0.000
     102,          1.683333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   34.956,             34.956,"Closed      ",          48.384071,    0.000,    0.000,              0.000
     103,          1.700000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   33.613,             33.613,"Closed      ",          48.326145,    0.000,    0.000,              0.000
     104,          1.716667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   32.305,             32.305,"Closed      ",          48.268421,    0.000,    0.000,              0.000
     105,          1.733333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   31.022,             31.022,"Closed      ",          48.210449,    0.000,    0.000,              0.000
     106,          1.750000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   29.765,             29.765,"Closed      ",          48.152206,    0.000,    0.000,              0.000
     107,          1.766667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   28.519,             28.519,"Closed      ",          48.093071,    0.000,    0.000,              0.000
     108,          1.783333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   27.382,             27.382,"Closed      ",          48.037766,    0.000,    0.000,              0.000
     109,          1.800000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   26.378,             26.378,"Closed      ",          47.987816,    0.000,    0.000,              0.000
     110,          1.816667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   25.472,             25.472,"Closed      ",          47.941757,    0.000,    0.000,              0.000
     111,          1.833333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   24.659,             24.659,"Closed      ",          47.899555,    0.000,    0.000,              0.000
     112,          1.850000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   23.910,             23.910,"Closed      ",          47.859974,    0.000,    0.000,              0.000
     113,          1.866667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   23.233,             23.233,"Closed      ",          47.823540,    0.000,    0.000,              0.000
     114,          1.883333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   22.614,             22.614,"Closed      ",          47.789680,    0.000,    0.000,              0.000
     115,          1.900000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   22.048,             22.048,"Closed      ",          47.758240,    0.000,    0.000,              0.000
     116,          1.916667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   21.538,             21.538,"Closed      ",          47.729500,    0.000,    0.000,              0.000
     117,          1.933333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   21.048,             21.048,"Closed      ",          47.701485,    0.000,    0.000,              0.000
     118,          1.950000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   20.591,             20.591,"Closed      ",          47.675041,    0.000,    0.000,              0.000
     119,          1.966667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   20.176,             20.176,"Closed      ",          47.650703,    0.000,    0.000,              0.000
     120,          1.983333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   19.798,             19.798,"Closed      ",          47.628304,    0.000,    0.000,              0.000
     121,          2.000000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   19.446,             19.446,"Closed      ",          47.607185,    0.000,    0.000,              0.000
     122,          2.016667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   19.113,             19.113,"Closed      ",          47.586967,    0.000,    0.000,              0.000
     123,          2.033334,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   18.774,             18.774,"Closed      ",          47.566204,    0.000,    0.000,              0.000
     124,          2.050000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   18.419,             18.419,"Closed      ",          47.544197,    0.000,    0.000,              0.000
     125,          2.066667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   18.056,             18.056,"Closed      ",          47.521423,    0.000,    0.000,              0.000
     126,          2.083333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   17.676,             17.676,"Closed      ",          47.497375,    0.000,    0.000,              0.000
     127,          2.100000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   17.286,             17.286,"Closed      ",          47.472275,    0.000,    0.000,              0.000
     128,          2.116667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   16.869,             16.869,"Closed      ",          47.445122,    0.000,    0.000,              0.000
     129,          2.133333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   16.420,             16.420,"Closed      ",          47.415398,    0.000,    0.000,              0.000
     130,          2.150000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   15.950,             15.950,"Closed      ",          47.383785,    0.000,    0.000,              0.000
     131,          2.166667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   15.453,             15.453,"Closed      ",          47.349739,    0.000,    0.000,              0.000
     132,          2.183333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   14.938,             14.938,"Closed      ",          47.313828,    0.000,    0.000,              0.000
     133,          2.200000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   14.458,             14.458,"Closed      ",          47.279694,    0.000,    0.000,              0.000
     134,          2.216667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   14.049,             14.049,"Closed      ",          47.250076,    0.000,    0.000,              0.000
     135,          2.233333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   13.693,             13.693,"Closed      ",          47.223919,    0.000,    0.000,              0.000
     136,          2.250000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   13.376,             13.376,"Closed      ",          47.200260,    0.000,    0.000,              0.000
     137,          2.266667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   13.092,             13.092,"Closed      ",          47.178802,    0.000,    0.000,              0.000
     138,          2.283334,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   12.828,             12.828,"Closed      ",          47.158585,    0.000,    0.000,              0.000
     139,          2.300000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   12.560,             12.560,"Closed      ",          47.137787,    0.000,    0.000,              0.000
     140,          2.316667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   12.294,             12.294,"Closed      ",          47.116875,    0.000,    0.000,              0.000
     141,          2.333333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   12.033,             12.033,"Closed      ",          47.096134,    0.000,    0.000,              0.000
     142,          2.350000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   11.772,             11.772,"Closed      ",          47.075134,    0.000,    0.000,              0.000
     143,          2.366667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   11.524,             11.524,"Closed      ",          47.054874,    0.000,    0.000,              0.000
     144,          2.383333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   11.295,             11.295,"Closed      ",          47.036011,    0.000,    0.000,              0.000
     145,          2.400000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   11.086,             11.086,"Closed      ",          47.018532,    0.000,    0.000,              0.000
     146,          2.416667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   10.884,             10.884,"Closed      ",          47.001526,    0.000,    0.000,              0.000
