"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow"
     154,          2.550000,"Fully Open  ",          46.852478,    7.000,   15.000,    1.000,    0.000,    9.211,              9.211
     155,          2.566667,"Fully Open  ",          46.829453,    7.000,   15.000,    1.000,    0.000,    8.967,              8.967
     156,          2.583333,"Fully Open  ",          46.805973,    7.000,   15.000,    1.000,    0.000,    8.722,              8.722
     157,          2.600000,"Fully Open  ",          46.782066,    7.000,   15.000,    1.000,    0.000,    8.476,              8.476
     158,          2.616667,"Fully Open  ",          46.759472,    7.000,   15.000,    1.000,    0.000,    8.248,              8.248
     159,          2.633333,"Fully Open  ",          46.737453,    7.000,   15.000,    1.000,    0.000,    8.029,              8.029
     160,          2.650000,"Fully Open  ",          46.715908,    7.000,   15.000,    1.000,    0.000,    7.818,              7.818
     161,          2.666667,"Fully Open  ",          46.694618,    7.000,   15.000,    1.000,    0.000,    7.613,              7.613
     162,          2.683333,"Fully Open  ",          46.674187,    7.000,   15.000,    1.000,    0.000,    7.419,              7.419
     163,          2.700000,"Fully Open  ",          46.653801,    7.000,   15.000,    1.000,    0.000,    7.228,              7.228
     164,          2.716667,"Fully Open  ",          46.633095,    7.000,   15.000,    1.000,    0.000,    7.038,              7.038
     165,          2.733334,"Fully Open  ",          46.613396,    7.000,   15.000,    1.000,    0.000,    6.859,              6.859
     166,          2.750000,"Fully Open  ",          46.589333,    7.000,   15.000,    1.000,    0.000,    6.645,              6.645
     167,          2.766667,"Fully Open  ",          46.565788,    7.000,   15.000,    1.000,    0.000,    6.439,              6.439
     168,          2.783334,"Fully Open  ",          46.540611,    7.000,   15.000,    1.000,    0.000,    6.222,              6.222
     169,          2.800000,"Fully Open  ",          46.514179,    7.000,   15.000,    1.000,    0.000,    6.000,              6.000
     170,          2.816667,"Fully Open  ",          46.485741,    7.000,   15.000,    1.000,    0.000,    5.766,              5.766
     171,          2.833333,"Fully Open  ",          46.457115,    7.000,   15.000,    1.000,    0.000,    5.536,              5.536
     172,          2.850000,"Fully Open  ",          46.427235,    7.000,   15.000,    1.000,    0.000,    5.301,              5.301
     173,          2.866667,"Fully Open  ",          46.395714,    7.000,   15.000,    1.000,    0.000,    5.060,              5.060
     174,          2.883333,"Fully Open  ",          46.364021,    7.000,   15.000,    1.000,    0.000,    4.824,              4.824
     175,          2.900000,"Fully Open  ",          46.335346,    7.000,   15.000,    1.000,    0.000,    4.616,              4.616
     176,          2.916667,"Fully Open  ",          46.304020,    7.000,   15.000,    1.000,    0.000,    4.395,              4.395
     177,          2.933333,"Fully Open  ",          46.271049,    7.000,   15.000,    1.000,    0.000,    4.169,              4.169
     178,          2.950000,"Fully Open  ",          46.238571,    7.000,   15.000,    1.000,    0.000,    3.953,              3.953
     179,          2.966667,"Fully Open  ",          46.206833,    7.000,   15.000,    1.000,    0.000,    3.748,              3.748
     180,          2.983334,"Fully Open  ",          46.175854,    7.000,   15.000,    1.000,    0.000,    3.554,              3.554
     181,          3.000000,"Fully Open  ",          46.145958,    7.000,   15.000,    1.000,    0.000,    3.372,              3.372
