"EG02_010","Location","Flow","Flow","Water Level","Velocity","Water Level","Velocity","Flow into Region","Flow out of Region","Volume"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_010.tcf","Time","PO_01","PO_02","PO_01","PO_01","PO_02","PO_02","PO_Vol1","PO_Vol1","PO_Vol1"
,        2.416667,         13.2107,         15.8759,         42.8611,          0.1073,         38.8393,          0.5240,         11.1200,         15.1762,      80331.6016
,        2.433333,         12.9197,         15.5623,         42.8586,          0.1054,         38.8249,          0.5193,         10.9539,         14.8790,      80094.1719
,        2.450000,         12.6800,         15.2591,         42.8561,          0.1038,         38.8107,          0.5148,         10.7719,         14.5908,      79863.4062
,        2.466667,         12.4801,         14.9607,         42.8537,          0.1023,         38.7966,          0.5101,         10.7550,         14.3135,      79643.1562
,        2.483333,         12.2541,         14.6736,         42.8512,          0.1009,         38.7828,          0.5057,         10.5325,         14.0528,      79427.2734
,        2.500000,         11.9783,         14.4048,         42.8489,          0.0990,         38.7694,          0.5017,         10.2263,         13.7907,      79212.8750
,        2.516667,         11.7103,         14.1585,         42.8465,          0.0971,         38.7566,          0.4982,          9.9526,         13.5301,      78999.8516
,        2.533333,         11.5473,         13.8828,         42.8443,          0.0959,         38.7429,          0.4937,          9.7397,         13.2717,      78789.1719
,        2.550000,         11.3909,         13.6290,         42.8420,          0.0947,         38.7295,          0.4897,          9.4998,         13.0566,      78578.6094
,        2.566667,         11.1577,         13.3821,         42.8398,          0.0931,         38.7163,          0.4856,          9.2503,         12.8255,      78366.6172
,        2.583333,         10.9022,         13.1535,         42.8376,          0.0913,         38.7033,          0.4821,          9.0296,         12.5887,      78152.6797
,        2.600000,         10.7027,         12.9201,         42.8354,          0.0898,         38.6905,          0.4780,          8.7820,         12.3566,      77937.9375
,        2.616667,         10.4987,         12.6851,         42.8332,          0.0883,         38.6778,          0.4738,          8.5373,         12.1327,      77722.9141
,        2.633333,         10.3780,         12.4595,         42.8312,          0.0875,         38.6653,          0.4698,          8.3741,         11.9140,      77508.6016
,        2.650000,         10.1239,         12.2647,         42.8290,          0.0854,         38.6535,          0.4665,          8.1390,         11.7092,      77294.5234
,        2.666667,          9.8209,         12.0565,         42.8268,          0.0833,         38.6428,          0.4621,          7.9449,         11.4897,      77080.6016
,        2.683333,          9.5317,         11.8203,         42.8246,          0.0811,         38.6294,          0.4575,          7.7347,         11.2589,      76867.8906
,        2.700000,          9.3958,         11.5991,         42.8224,          0.0800,         38.6162,          0.4533,          7.5515,         11.0351,      76657.7031
,        2.716667,          9.2165,         11.3810,         42.8202,          0.0786,         38.6029,          0.4492,          7.3456,         10.8228,      76448.7500
,        2.733333,          9.0053,         11.1626,         42.8180,          0.0769,         38.5895,          0.4450,          7.1259,         10.6122,      76240.0234
,        2.750000,          8.7534,         10.9495,         42.8159,          0.0751,         38.5761,          0.4410,          6.9280,         10.4050,      76031.0547
,        2.766667,          8.5312,         10.7367,         42.8137,          0.0734,         38.5625,          0.4370,          6.7124,         10.1907,      75822.4922
,        2.783333,          8.3503,         10.5379,         42.8114,          0.0718,         38.5489,          0.4333,          6.4831,          9.9844,      75613.2656
,        2.800000,          8.1142,         10.3210,         42.8092,          0.0702,         38.5350,          0.4289,          6.2536,          9.7771,      75402.3438
,        2.816667,          7.9157,         10.1166,         42.8070,          0.0685,         38.5209,          0.4249,          6.0272,          9.5718,      75190.3516
,        2.833333,          7.6659,          9.9186,         42.8047,          0.0666,         38.5067,          0.4211,          5.8085,          9.3658,      74977.2188
,        2.850000,          7.4687,          9.7125,         42.8025,          0.0650,         38.4914,          0.4173,          5.5956,          9.1583,      74763.6016
,        2.866667,          7.2478,          9.5143,         42.8002,          0.0633,         38.4762,          0.4135,          5.3912,          8.9528,      74549.7031
,        2.883333,          7.0593,          9.3503,         42.7979,          0.0618,         38.4611,          0.4112,          5.1995,          8.7502,      74336.4922
,        2.900000,          6.8392,          9.1320,         42.7956,          0.0600,         38.4450,          0.4065,          5.0210,          8.5483,      74124.0312
,        2.916667,          6.6569,          8.9672,         42.7934,          0.0586,         38.4274,          0.4047,          4.8425,          8.3473,      73913.0547
,        2.933333,          6.4640,          8.7347,         42.7911,          0.0570,         38.4102,          0.3993,          4.6641,          8.1512,      73703.2188
,        2.950000,          6.2669,          8.5332,         42.7888,          0.0554,         38.3929,          0.3954,          4.4953,          7.9547,      73494.9141
,        2.966667,          6.0562,          8.3386,         42.7865,          0.0538,         38.3756,          0.3916,          4.3314,          7.7594,      73288.3438
,        2.983333,          5.8665,          8.1600,         42.7842,          0.0522,         38.3583,          0.3886,          4.1690,          7.5846,      73083.1250
,        3.000000,          5.7069,          7.9707,         42.7819,          0.0509,         38.3408,          0.3848,          4.0100,          7.3939,      72879.0625

