"","Time","OC_999 Status","OC_999 Trigger","OC_999 Period_no_change","OC_999 Delay","OC_999 Gate Opening","OC_999 Flow"
     131,          2.166667,"Fully Open  ",          42.103722,           0.066472,           0.150000,  100.000,             66.301
     132,          2.183333,"Fully Open  ",          42.025475,           0.083139,           0.150000,  100.000,             65.224
     133,          2.200000,"Fully Open  ",          41.968735,           0.099807,           0.150000,  100.000,             56.677
     134,          2.216667,"Fully Open  ",          41.952610,           0.116473,           0.150000,  100.000,             56.823
     135,          2.233333,"Fully Open  ",          42.063194,           0.133139,           0.150000,  100.000,             33.692
     136,          2.250000,"Fully Open  ",          41.933929,           0.149808,           0.150000,  100.000,              7.650
     137,          2.266667,"Fully Open  ",          42.015450,           0.016562,           0.150000,  100.000,              0.000
     138,          2.283334,"Fully Open  ",          42.058800,           0.033226,           0.150000,  100.000,             33.416
     139,          2.300000,"Fully Open  ",          42.023117,           0.049893,           0.150000,  100.000,              8.542
     140,          2.316667,"Fully Open  ",          41.924202,           0.066562,           0.150000,  100.000,              0.000
     141,          2.333333,"Fully Open  ",          41.937786,           0.083122,           0.150000,  100.000,             48.817
     142,          2.350000,"Fully Open  ",          42.021431,           0.099789,           0.150000,  100.000,              8.542
     143,          2.366667,"Fully Open  ",          42.018284,           0.116456,           0.150000,  100.000,              8.535
     144,          2.383333,"Fully Open  ",          42.010826,           0.133122,           0.150000,  100.000,              7.047
     145,          2.400000,"Fully Open  ",          41.975391,           0.149789,           0.150000,  100.000,              0.000
     146,          2.416667,"Closing     ",          41.988098,           0.016354,           0.150000,   93.437,              5.770
     147,          2.433333,"Closing     ",          41.979656,           0.033021,           0.150000,   86.770,              0.000
     148,          2.450000,"Closing     ",          42.000824,           0.049687,           0.150000,   80.103,              0.000
     149,          2.466667,"Closing     ",          41.990128,           0.066354,           0.150000,   73.436,             19.983
     150,          2.483333,"Closing     ",          41.990669,           0.083021,           0.150000,   66.768,              0.000
     151,          2.500000,"Closing     ",          41.994743,           0.099792,           0.150000,   60.060,              0.000
     152,          2.516667,"Closing     ",          42.014931,           0.116458,           0.150000,   53.394,              4.935
     153,          2.533334,"Closing     ",          42.021469,           0.133125,           0.150000,   46.727,              4.941
     154,          2.550000,"Closing     ",          42.017807,           0.149791,           0.150000,   40.061,              4.938
     155,          2.566667,"Closing     ",          41.996273,           0.016354,           0.150000,   33.395,              0.510
     156,          2.583333,"Closing     ",          41.994209,           0.032917,           0.150000,   26.770,             11.964
     157,          2.600000,"Closing     ",          42.015728,           0.049583,           0.150000,   20.103,             10.698
     158,          2.616667,"Closing     ",          42.009445,           0.066250,           0.150000,   13.436,              8.314
     159,          2.633333,"Closing     ",          42.021858,           0.082917,           0.150000,    6.770,              4.457
     160,          2.650000,"Closing     ",          42.036259,           0.099583,           0.150000,    0.103,              0.126
     161,          2.666667,"Closed      ",          42.048317,           0.116249,           0.150000,    0.000,              0.000
     162,          2.683333,"Closed      ",          42.061367,           0.132915,           0.150000,    0.000,              0.000
     163,          2.700000,"Closed      ",          42.075623,           0.149582,           0.150000,    0.000,              0.000
     164,          2.716667,"Opening     ",          42.080879,           0.016152,           0.150000,    6.481,              4.271
     165,          2.733334,"Opening     ",          42.079769,           0.032922,           0.150000,   13.189,              8.726
     166,          2.750000,"Opening     ",          42.071163,           0.049588,           0.150000,   19.856,             13.035
     167,          2.766667,"Steady      ",          42.064762,           0.066255,           0.150000,   20.000,             13.152
     168,          2.783334,"Steady      ",          42.056252,           0.082922,           0.150000,   20.000,             13.129
     169,          2.800000,"Steady      ",          42.046120,           0.099588,           0.150000,   20.000,             13.101
     170,          2.816667,"Steady      ",          42.035130,           0.116258,           0.150000,   20.000,             13.071
     171,          2.833333,"Steady      ",          42.024433,           0.132820,           0.150000,   20.000,             13.041
     172,          2.850000,"Steady      ",          42.013126,           0.149487,           0.150000,   20.000,             13.010
     173,          2.866667,"Opening     ",          41.993328,           0.016146,           0.150000,   26.479,             12.834
     174,          2.883333,"Opening     ",          42.022823,           0.032812,           0.150000,   33.146,              4.944
     175,          2.900000,"Opening     ",          41.974030,           0.049479,           0.150000,   39.812,              9.464
     176,          2.916667,"Steady      ",          41.986870,           0.066146,           0.150000,   40.000,              0.000
     177,          2.933333,"Steady      ",          41.998627,           0.082812,           0.150000,   40.000,              0.000
     178,          2.950000,"Steady      ",          41.998749,           0.099479,           0.150000,   40.000,             11.711
     179,          2.966667,"Steady      ",          41.982292,           0.116250,           0.150000,   40.000,              2.713
     180,          2.983334,"Steady      ",          42.000225,           0.132916,           0.150000,   40.000,              0.008
     181,          3.000000,"Steady      ",          41.975227,           0.149514,           0.150000,   40.000,              0.000
