"","Time","OC_001 Status","OC_001 Hup","OC_001 SGate1_Status","OC_001 Flow","SGate1 Status","SGate1 t","SGate1 Gate Opening","SGate1 Flow"
     147,          2.433333,"Off         ",          42.766998,           5.000000,              0.000,"Steady      ",           2.433429,    0.500,             26.404
     148,          2.450000,"Off         ",          42.752457,           5.000000,              0.000,"Steady      ",           2.450097,    0.500,             26.295
     149,          2.466667,"Off         ",          42.737587,           5.000000,              0.000,"Steady      ",           2.466764,    0.500,             26.182
     150,          2.483333,"Off         ",          42.722458,           5.000000,              0.000,"Steady      ",           2.483430,    0.500,             26.067
     151,          2.500000,"Off         ",          42.707069,           5.000000,              0.000,"Steady      ",           2.500194,    0.500,             25.950
     152,          2.516667,"Off         ",          42.691425,           5.000000,              0.000,"Steady      ",           2.516860,    0.500,             25.830
     153,          2.533334,"Off         ",          42.675571,           5.000000,              0.000,"Steady      ",           2.533527,    0.500,             25.708
     154,          2.550000,"Off         ",          42.659481,           5.000000,              0.000,"Steady      ",           2.550194,    0.500,             25.584
     155,          2.566667,"Off         ",          42.643131,           5.000000,              0.000,"Steady      ",           2.566860,    0.500,             25.457
     156,          2.583333,"Off         ",          42.626850,           5.000000,              0.000,"Steady      ",           2.583431,    0.500,             25.330
     157,          2.600000,"Off         ",          42.609985,           5.000000,              0.000,"Steady      ",           2.600098,    0.500,             25.198
     158,          2.616667,"Off         ",          42.592781,           5.000000,              0.000,"Steady      ",           2.616765,    0.500,             25.062
     159,          2.633333,"Off         ",          42.575291,           5.000000,              0.000,"Steady      ",           2.633431,    0.500,             24.923
     160,          2.650000,"Off         ",          42.557610,           5.000000,              0.000,"Steady      ",           2.650098,    0.500,             24.782
     161,          2.666667,"Off         ",          42.539505,           5.000000,              0.000,"Steady      ",           2.666765,    0.500,             24.637
     162,          2.683333,"Off         ",          42.521202,           5.000000,              0.000,"Steady      ",           2.683431,    0.500,             24.490
     163,          2.700000,"Off         ",          42.502411,           5.000000,              0.000,"Steady      ",           2.700099,    0.500,             24.337
     164,          2.716667,"Off         ",          42.483337,           5.000000,              0.000,"Steady      ",           2.716766,    0.500,             24.182
     165,          2.733334,"Off         ",          42.463814,           5.000000,              0.000,"Steady      ",           2.733532,    0.500,             24.021
     166,          2.750000,"Off         ",          42.444084,           5.000000,              0.000,"Steady      ",           2.750198,    0.500,             23.858
     167,          2.766667,"Off         ",          42.423988,           5.000000,              0.000,"Steady      ",           2.766865,    0.500,             23.691
     168,          2.783334,"Off         ",          42.403568,           5.000000,              0.000,"Steady      ",           2.783532,    0.500,             23.519
     169,          2.800000,"Off         ",          42.382843,           5.000000,              0.000,"Steady      ",           2.800201,    0.500,             23.344
     170,          2.816667,"Off         ",          42.361782,           5.000000,              0.000,"Steady      ",           2.816868,    0.500,             23.165
     171,          2.833333,"Off         ",          42.340446,           5.000000,              0.000,"Steady      ",           2.833434,    0.500,             22.982
     172,          2.850000,"Off         ",          42.318573,           5.000000,              0.000,"Steady      ",           2.850101,    0.500,             22.793
     173,          2.866667,"Off         ",          42.296410,           5.000000,              0.000,"Steady      ",           2.866767,    0.500,             22.600
     174,          2.883333,"Off         ",          42.273773,           5.000000,              0.000,"Steady      ",           2.883435,    0.500,             22.401
     175,          2.900000,"Off         ",          42.250717,           5.000000,              0.000,"Steady      ",           2.900102,    0.500,             22.196
     176,          2.916667,"Off         ",          42.227276,           5.000000,              0.000,"Steady      ",           2.916768,    0.500,             21.986
     177,          2.933333,"Off         ",          42.203445,           5.000000,              0.000,"Steady      ",           2.933435,    0.500,             21.771
     178,          2.950000,"Off         ",          42.179062,           5.000000,              0.000,"Steady      ",           2.950102,    0.500,             21.548
     179,          2.966667,"Off         ",          42.154022,           5.000000,              0.000,"Steady      ",           2.966872,    0.500,             21.317
     180,          2.983334,"Off         ",          42.128609,           5.000000,              0.000,"Steady      ",           2.983539,    0.500,             21.080
     181,          3.000000,"Off         ",          42.102852,           4.000000,              0.000,"Closing     ",           3.000139,    0.499,             20.822
