"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWh1 Loc1_P [EG05_018]","GWh1 Loc8_P [EG05_018]","GWh1 Loc10_P [EG05_018]","GWh1 Loc4_P [EG05_018]"
         232,      -68.150002,         38.8089,         35.9714,         42.2559,         40.4115
         233,      -68.133331,         38.8089,         35.9714,         42.2559,         40.4115
         234,      -68.116669,         38.8089,         35.9714,         42.2559,         40.4115
         235,      -68.099998,         38.8089,         35.9714,         42.2559,         40.4115
         236,      -68.083336,         38.8089,         35.9714,         42.2559,         40.4115
         237,      -68.066666,         38.8089,         35.9714,         42.2559,         40.4115
         238,      -68.050003,         38.8089,         35.9714,         42.2559,         40.4115
         239,      -68.033333,         38.8089,         35.9714,         42.2559,         40.4115
         240,      -68.016670,         38.8089,         35.9714,         42.2559,         40.4115
         241,      -68.000000,         38.8089,         35.9714,         42.2559,         40.4115
         242,      -67.983330,         38.8089,         35.9714,         42.2559,         40.4115
         243,      -67.966667,         38.8089,         35.9714,         42.2559,         40.4115
         244,      -67.949997,         38.8089,         35.9714,         42.2559,         40.4115
         245,      -67.933334,         38.8089,         35.9714,         42.2559,         40.4115
         246,      -67.916664,         38.8089,         35.9714,         42.2559,         40.4115
         247,      -67.900002,         38.8089,         35.9714,         42.2559,         40.4115
         248,      -67.883331,         38.8089,         35.9714,         42.2559,         40.4115
         249,      -67.866669,         38.8089,         35.9714,         42.2559,         40.4115
         250,      -67.849998,         38.8089,         35.9714,         42.2559,         40.4115
         251,      -67.833336,         38.8089,         35.9714,         42.2559,         40.4115
         252,      -67.816666,         38.8089,         35.9714,         42.2559,         40.4115
         253,      -67.800003,         38.8089,         35.9714,         42.2559,         40.4115
         254,      -67.783333,         38.8089,         35.9714,         42.2559,         40.4115
         255,      -67.766670,         38.8089,         35.9714,         42.2559,         40.4115
         256,      -67.750000,         38.8089,         35.9714,         42.2559,         40.4115
         257,      -67.733330,         38.8089,         35.9714,         42.2559,         40.4115
         258,      -67.716667,         38.8089,         35.9714,         42.2559,         40.4115
         259,      -67.699997,         38.8089,         35.9714,         42.2559,         40.4115
         260,      -67.683334,         38.8089,         35.9714,         42.2559,         40.4115
         261,      -67.666664,         38.8089,         35.9714,         42.2559,         40.4115
         262,      -67.650002,         38.8089,         35.9714,         42.2559,         40.4115
         263,      -67.633331,         38.8089,         35.9714,         42.2559,         40.4115
         264,      -67.616669,         38.8089,         35.9714,         42.2559,         40.4115
         265,      -67.599998,         38.8089,         35.9714,         42.2559,         40.4115
         266,      -67.583336,         38.8089,         35.9714,         42.2559,         40.4115
         267,      -67.566666,         38.8089,         35.9714,         42.2559,         40.4115
         268,      -67.550003,         38.8089,         35.9714,         42.2559,         40.4115
         269,      -67.533333,         38.8089,         35.9714,         42.2559,         40.4115
         270,      -67.516670,         38.8089,         35.9714,         42.2559,         40.4115
         271,      -67.500000,         38.8089,         35.9714,         42.2559,         40.4115
         272,      -67.483330,         38.8089,         35.9714,         42.2559,         40.4115
         273,      -67.466667,         38.8089,         35.9714,         42.2559,         40.4115
         274,      -67.449997,         38.8089,         35.9714,         42.2559,         40.4115
         275,      -67.433334,         38.8089,         35.9714,         42.2559,         40.4115
         276,      -67.416664,         38.8089,         35.9714,         42.2559,         40.4115
         277,      -67.400002,         38.8089,         35.9714,         42.2559,         40.4115
         278,      -67.383331,         38.8089,         35.9714,         42.2559,         40.4115
         279,      -67.366669,         38.8089,         35.9714,         42.2559,         40.4115
         280,      -67.349998,         38.8089,         35.9714,         42.2559,         40.4115
         281,      -67.333336,         38.8089,         35.9714,         42.2559,         40.4115
         282,      -67.316666,         38.8089,         35.9714,         42.2559,         40.4115
         283,      -67.300003,         38.8089,         35.9714,         42.2559,         40.4115
         284,      -67.283333,         38.8089,         35.9714,         42.2559,         40.4115
         285,      -67.266670,         38.8089,         35.9714,         42.2559,         40.4115
         286,      -67.250000,         38.8089,         35.9714,         42.2559,         40.4115
         287,      -67.233330,         38.8089,         35.9714,         42.2559,         40.4115
         288,      -67.216667,         38.8089,         35.9714,         42.2559,         40.4115
         289,      -67.199997,         38.8089,         35.9714,         42.2559,         40.4115
         290,      -67.183334,         38.8089,         35.9714,         42.2559,         40.4115
         291,      -67.166664,         38.8089,         35.9714,         42.2559,         40.4115
         292,      -67.150002,         38.8089,         35.9714,         42.2559,         40.4115
         293,      -67.133331,         38.8089,         35.9714,         42.2559,         40.4115
         294,      -67.116669,         38.8089,         35.9714,         42.2559,         40.4115
         295,      -67.099998,         38.8089,         35.9714,         42.2559,         40.4115
         296,      -67.083336,         38.8089,         35.9714,         42.2559,         40.4115
         297,      -67.066666,         38.8089,         35.9714,         42.2559,         40.4115
         298,      -67.050003,         38.8089,         35.9714,         42.2559,         40.4115
         299,      -67.033333,         38.8089,         35.9714,         42.2559,         40.4115
         300,      -67.016670,         38.8089,         35.9714,         42.2559,         40.4115
         301,      -67.000000,         38.8089,         35.9714,         42.2559,         40.4115
         302,      -66.983330,         38.8089,         35.9714,         42.2559,         40.4115
         303,      -66.966667,         38.8089,         35.9714,         42.2559,         40.4115
         304,      -66.949997,         38.8089,         35.9714,         42.2559,         40.4115
         305,      -66.933334,         38.8089,         35.9714,         42.2559,         40.4115
         306,      -66.916664,         38.8089,         35.9714,         42.2559,         40.4115
         307,      -66.900002,         38.8089,         35.9714,         42.2559,         40.4115
