"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWd1 Loc1_P [EG05_018]","GWd1 Loc8_P [EG05_018]","GWd1 Loc10_P [EG05_018]","GWd1 Loc4_P [EG05_018]"
         271,      -67.500000,          0.0000,          0.0000,  0.000    ,          0.0000
         272,      -67.483330,          0.0000,          0.0000,  0.000    ,          0.0000
         273,      -67.466667,          0.0000,          0.0000,  0.000    ,          0.0000
         274,      -67.449997,          0.0000,          0.0000,  0.000    ,          0.0000
         275,      -67.433334,          0.0000,          0.0000,  0.000    ,          0.0000
         276,      -67.416664,          0.0000,          0.0000,  0.000    ,          0.0000
         277,      -67.400002,          0.0000,          0.0000,  0.000    ,          0.0000
         278,      -67.383331,          0.0000,          0.0000,  0.000    ,          0.0000
         279,      -67.366669,          0.0000,          0.0000,  0.000    ,          0.0000
         280,      -67.349998,          0.0000,          0.0000,  0.000    ,          0.0000
         281,      -67.333336,          0.0000,          0.0000,  0.000    ,          0.0000
         282,      -67.316666,          0.0000,          0.0000,  0.000    ,          0.0000
         283,      -67.300003,          0.0000,          0.0000,  0.000    ,          0.0000
         284,      -67.283333,          0.0000,          0.0000,  0.000    ,          0.0000
         285,      -67.266670,          0.0000,          0.0000,  0.000    ,          0.0000
         286,      -67.250000,          0.0000,          0.0000,  0.000    ,          0.0000
         287,      -67.233330,          0.0000,          0.0000,  0.000    ,          0.0000
         288,      -67.216667,          0.0000,          0.0000,  0.000    ,          0.0000
         289,      -67.199997,          0.0000,          0.0000,  0.000    ,          0.0000
         290,      -67.183334,          0.0000,          0.0000,  0.000    ,          0.0000
         291,      -67.166664,          0.0000,          0.0000,  0.000    ,          0.0000
         292,      -67.150002,          0.0000,          0.0000,  0.000    ,          0.0000
         293,      -67.133331,          0.0000,          0.0000,  0.000    ,          0.0000
         294,      -67.116669,          0.0000,          0.0000,  0.000    ,          0.0000
         295,      -67.099998,          0.0000,          0.0000,  0.000    ,          0.0000
         296,      -67.083336,          0.0000,          0.0000,  0.000    ,          0.0000
         297,      -67.066666,          0.0000,          0.0000,  0.000    ,          0.0000
         298,      -67.050003,          0.0000,          0.0000,  0.000    ,          0.0000
         299,      -67.033333,          0.0000,          0.0000,  0.000    ,          0.0000
         300,      -67.016670,          0.0000,          0.0000,  0.000    ,          0.0000
         301,      -67.000000,          0.0000,          0.0000,  0.000    ,          0.0000
         302,      -66.983330,          0.0000,          0.0000,  0.000    ,          0.0000
         303,      -66.966667,          0.0000,          0.0000,  0.000    ,          0.0000
         304,      -66.949997,          0.0000,          0.0000,  0.000    ,          0.0000
         305,      -66.933334,          0.0000,          0.0000,  0.000    ,          0.0000
         306,      -66.916664,          0.0000,          0.0000,  0.000    ,          0.0000
         307,      -66.900002,          0.0000,          0.0000,  0.000    ,          0.0000
         308,      -66.883331,          0.0000,          0.0000,  0.000    ,          0.0000
         309,      -66.866669,          0.0000,          0.0000,  0.000    ,          0.0000
         310,      -66.849998,          0.0000,          0.0000,  0.000    ,          0.0000
         311,      -66.833336,          0.0000,          0.0000,  0.000    ,          0.0000
         312,      -66.816666,          0.0000,          0.0000,  0.000    ,          0.0000
         313,      -66.800003,          0.0000,          0.0000,  0.000    ,          0.0000
         314,      -66.783333,          0.0000,          0.0000,  0.000    ,          0.0000
         315,      -66.766670,          0.0000,          0.0000,  0.000    ,          0.0000
         316,      -66.750000,          0.0000,          0.0000,  0.000    ,          0.0000
         317,      -66.733330,          0.0000,          0.0000,  0.000    ,          0.0000
         318,      -66.716667,          0.0000,          0.0000,  0.000    ,          0.0000
         319,      -66.699997,          0.0000,          0.0000,  0.000    ,          0.0000
         320,      -66.683334,          0.0000,          0.0000,  0.000    ,          0.0000
         321,      -66.666664,          0.0000,          0.0000,  0.000    ,          0.0000
         322,      -66.650002,          0.0000,          0.0000,  0.000    ,          0.0000
         323,      -66.633331,          0.0000,          0.0000,  0.000    ,          0.0000
         324,      -66.616669,          0.0000,          0.0000,  0.000    ,          0.0000
         325,      -66.599998,          0.0000,          0.0000,  0.000    ,          0.0000
         326,      -66.583336,          0.0000,          0.0000,  0.000    ,          0.0000
         327,      -66.566666,          0.0000,          0.0000,  0.000    ,          0.0000
         328,      -66.550003,          0.0000,          0.0000,  0.000    ,          0.0000
         329,      -66.533333,          0.0000,          0.0000,  0.000    ,          0.0000
         330,      -66.516670,          0.0000,          0.0000,  0.000    ,          0.0000
         331,      -66.500000,          0.0000,          0.0000,  0.000    ,          0.0000
         332,      -66.483330,          0.0000,          0.0000,  0.000    ,          0.0000
         333,      -66.466667,          0.0000,          0.0000,  0.000    ,          0.0000
         334,      -66.449997,          0.0000,          0.0000,  0.000    ,          0.0000
         335,      -66.433334,          0.0000,          0.0000,  0.000    ,          0.0000
         336,      -66.416664,          0.0000,          0.0000,  0.000    ,          0.0000
         337,      -66.400002,          0.0000,          0.0000,  0.000    ,          0.0000
         338,      -66.383331,          0.0000,          0.0000,  0.000    ,          0.0000
         339,      -66.366669,          0.0000,          0.0000,  0.000    ,          0.0000
         340,      -66.349998,          0.0000,          0.0000,  0.000    ,          0.0000
         341,      -66.333336,          0.0000,          0.0000,  0.000    ,          0.0000
         342,      -66.316666,          0.0000,          0.0000,  0.000    ,          0.0000
         343,      -66.300003,          0.0000,          0.0000,  0.000    ,          0.0000
         344,      -66.283333,          0.0000,          0.0000,  0.000    ,          0.0000
         345,      -66.266670,          0.0000,          0.0000,  0.000    ,          0.0000
         346,      -66.250000,          0.0000,          0.0000,  0.000    ,          0.0000
         347,      -66.233330,          0.0000,          0.0000,  0.000    ,          0.0000
         348,      -66.216667,          0.0000,          0.0000,  0.000    ,          0.0000
         349,      -66.199997,          0.0000,          0.0000,  0.000    ,          0.0000
         350,      -66.183334,          0.0000,          0.0000,  0.000    ,          0.0000
         351,      -66.166664,          0.0000,          0.0000,  0.000    ,          0.0000
         352,      -66.150002,          0.0000,          0.0000,  0.000    ,          0.0000
         353,      -66.133331,          0.0000,          0.0000,  0.000    ,          0.0000
         354,      -66.116669,          0.0000,          0.0000,  0.000    ,          0.0000
         355,      -66.099998,          0.0000,          0.0000,  0.000    ,          0.0000
         356,      -66.083336,          0.0000,          0.0000,  0.000    ,          0.0000
         357,      -66.066666,          0.0000,          0.0000,  0.000    ,          0.0000
         358,      -66.050003,          0.0000,          0.0000,  0.000    ,          0.0000
         359,      -66.033333,          0.0000,          0.0000,  0.000    ,          0.0000
         360,      -66.016670,          0.0000,          0.0000,  0.000    ,          0.0000
         361,      -66.000000,          0.0000,          0.0000,  0.000    ,          0.0000
         362,      -65.983330,          0.0000,          0.0000,  0.000    ,          0.0000
         363,      -65.966667,          0.0000,          0.0000,  0.000    ,          0.0000
         364,      -65.949997,          0.0000,          0.0000,  0.000    ,          0.0000
         365,      -65.933334,          0.0000,          0.0000,  0.000    ,          0.0000
         366,      -65.916664,          0.0000,          0.0000,  0.000    ,          0.0000
         367,      -65.900002,          0.0000,          0.0000,  0.000    ,          0.0000
         368,      -65.883331,          0.0000,          0.0000,  0.000    ,          0.0000
         369,      -65.866669,          0.0000,          0.0000,  0.000    ,          0.0000
         370,      -65.849998,          0.0000,          0.0000,  0.000    ,          0.0000
         371,      -65.833336,          0.0000,          0.0000,  0.000    ,          0.0000
         372,      -65.816666,          0.0000,          0.0000,  0.000    ,          0.0000
         373,      -65.800003,          0.0000,          0.0000,  0.000    ,          0.0000
         374,      -65.783333,          0.0000,          0.0000,  0.000    ,          0.0000
         375,      -65.766670,          0.0000,          0.0000,  0.000    ,          0.0000
         376,      -65.750000,          0.0000,          0.0000,  0.000    ,          0.0000
         377,      -65.733330,          0.0000,          0.0000,  0.000    ,          0.0000
         378,      -65.716667,          0.0000,          0.0000,  0.000    ,          0.0000
         379,      -65.699997,          0.0000,          0.0000,  0.000    ,          0.0000
         380,      -65.683334,          0.0000,          0.0000,  0.000    ,          0.0000
         381,      -65.666664,          0.0000,          0.0000,  0.000    ,          0.0000
         382,      -65.650002,          0.0000,          0.0000,  0.000    ,          0.0000
         383,      -65.633331,          0.0000,          0.0000,  0.000    ,          0.0000
         384,      -65.616669,          0.0000,          0.0000,  0.000    ,          0.0000
