 RORBWin Batch Run Summary
 *************************
 
 Program version 6.52 (last updated 1st June 2023)
 Copyright Monash University and Hydrology and Risk Consulting
 
 Date run: 08 Aug 2026 22:32

 Catchment file   : E:\Library\Automation\ryan-tools\tests\test_data\RORB\Fig6_7.catg
 Rainfall location: User defined
 Temporal pattern : ARR2016 areal temporal patterns, 200 km² standard area
 Spatial pattern  : Uniform
 Areal Red. Fact. : Based on ARR 2016 (Book 2 Chapter 4)
 Loss factors     : Constant with ARI
 

 Parameters:  kc =    10.00    m = 0.80

 Loss parameters     Initial loss (mm)   Cont. loss (mm/h)
                           12.00              1.90

 Peak  Description
   01  Calculated hydrograph:
 
 Run        Duration             AEP   TPat  Rain(mm)     ARF  PbDepth  Peak0001
  35        144 hour              5%      7    149.00    0.97     0.00   28.0087 
  35        144 hour              5%      8    149.00    0.97     0.00   165.490 
  35        144 hour              5%      9    149.00    0.97     0.00   109.780 
  35        144 hour              5%     10    149.00    0.97     0.00   44.0807 
  36        168 hour              5%      1    149.00    0.97     0.00   11.0707 
  36        168 hour              5%      2    149.00    0.97     0.00   99.7785 
  36        168 hour              5%      3    149.00    0.97     0.00   44.1754 
  36        168 hour              5%      4    149.00    0.97     0.00   26.3355 
  36        168 hour              5%      5    149.00    0.97     0.00   39.2109 
  36        168 hour              5%      6    149.00    0.97     0.00   59.8921 
  36        168 hour              5%      7    149.00    0.97     0.00   12.9640 
  36        168 hour              5%      8    149.00    0.97     0.00   116.566 
  36        168 hour              5%      9    149.00    0.97     0.00   51.8016 
  36        168 hour              5%     10    149.00    0.97     0.00   28.6798 
  37         48 hour              2%      1    145.00    0.96     0.00   176.996 
  37         48 hour              2%      2    145.00    0.96     0.00   172.093 
  37         48 hour              2%      3    145.00    0.96     0.00   108.025 
  37         48 hour              2%      4    145.00    0.96     0.00   325.204 
  37         48 hour              2%      5    145.00    0.96     0.00   98.5301 
  37         48 hour              2%      6    145.00    0.96     0.00   119.182 
  37         48 hour              2%      7    145.00    0.96     0.00   193.130 
  37         48 hour              2%      8    145.00    0.96     0.00   217.532 
  37         48 hour              2%      9    145.00    0.96     0.00   153.597 
  37         48 hour              2%     10    145.00    0.96     0.00   214.423 
  38         72 hour              2%      1    161.00    0.96     0.00   201.127 
  38         72 hour              2%      2    161.00    0.96     0.00   135.327 
  38         72 hour              2%      3    161.00    0.96     0.00   105.364 
  38         72 hour              2%      4    161.00    0.96     0.00   93.0380 
  38         72 hour              2%      5    161.00    0.96     0.00   100.188 
  38         72 hour              2%      6    161.00    0.96     0.00   182.872 
  38         72 hour              2%      7    161.00    0.96     0.00   241.426 
  38         72 hour              2%      8    161.00    0.96     0.00   157.314 
  38         72 hour              2%      9    161.00    0.96     0.00   100.287 
  38         72 hour              2%     10    161.00    0.96     0.00   136.705 
  39         96 hour              2%      1    170.00    0.97     0.00   221.770 
  39         96 hour              2%      2    170.00    0.97     0.00   107.063 
  39         96 hour              2%      3    170.00    0.97     0.00   95.7650 
  39         96 hour              2%      4    170.00    0.97     0.00   221.309 
  39         96 hour              2%      5    170.00    0.97     0.00   170.696 
  39         96 hour              2%      6    170.00    0.97     0.00   114.080 
  39         96 hour              2%      7    170.00    0.97     0.00   223.364 
  39         96 hour              2%      8    170.00    0.97     0.00   213.906 
  39         96 hour              2%      9    170.00    0.97     0.00   190.951 
  39         96 hour              2%     10    170.00    0.97     0.00   448.656 
  40        120 hour              2%      1    174.00    0.97     0.00   182.087 
