"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time (h)","Q FC01.1_R [EG14_003]","Q FC01.2_R [EG14_003]","Q FC04.1_C [EG14_003]","Q Pipe0 [EG14_003]","Q Pipe1 [EG14_003]","Q Pipe10 [EG14_003]","Q Pipe11 [EG14_003]","Q Pipe12 [EG14_003]","Q Pipe13 [EG14_003]","Q Pipe14 [EG14_003]","Q Pipe15 [EG14_003]","Q Pipe16 [EG14_003]","Q Pipe17 [EG14_003]","Q Pipe19 [EG14_003]","Q Pipe2 [EG14_003]","Q Pipe3 [EG14_003]","Q Pipe4 [EG14_003]","Q Pipe5 [EG14_003]","Q Pipe6 [EG14_003]","Q Pipe7 [EG14_003]","Q Pipe8 [EG14_003]","Q Pipe9 [EG14_003]","Q Pit1 [EG14_003]","Q Pit10 [EG14_003]","Q Pit11 [EG14_003]","Q Pit12 [EG14_003]","Q Pit13 [EG14_003]","Q Pit14 [EG14_003]","Q Pit15 [EG14_003]","Q Pit16 [EG14_003]","Q Pit17 [EG14_003]","Q Pit18 [EG14_003]","Q Pit19 [EG14_003]","Q Pit2 [EG14_003]","Q Pit3 [EG14_003]","Q Pit4 [EG14_003]","Q Pit5 [EG14_003]","Q Pit6 [EG14_003]","Q Pit7 [EG14_003]","Q Pit8 [EG14_003]","Q Pit9 [EG14_003]"
      56,          0.916667,          47.451,          59.729,           0.000,           0.006,           0.015,           0.040,           0.006,           0.016,           0.001,           0.000,           0.001,           0.000,           0.000,           0.031,          -0.024,           0.000,          -0.001,           0.012,           0.004,           0.058,           0.092,           0.080,          -0.063,          -0.025,          -0.022,          -0.020,          -0.021,          -0.023,          -0.029,          -0.039,          -0.079,          -0.058,          -0.033,          -0.059,          -0.052,          -0.046,          -0.046,          -0.070,          -0.061,          -0.044,          -0.031
      57,          0.933333,          47.459,          61.081,           0.000,           0.005,           0.013,           0.035,           0.005,           0.014,           0.001,           0.000,           0.000,           0.000,           0.000,           0.027,          -0.022,           0.000,          -0.001,           0.010,           0.003,           0.053,           0.082,           0.073,          -0.060,          -0.023,          -0.020,          -0.019,          -0.020,          -0.022,          -0.027,          -0.036,          -0.074,          -0.058,          -0.034,          -0.057,          -0.050,          -0.045,          -0.043,          -0.066,          -0.057,          -0.040,          -0.029
      58,          0.950000,          47.461,          62.254,           0.000,           0.004,           0.012,           0.030,           0.004,           0.012,           0.001,           0.000,           0.000,           0.000,           0.000,           0.025,          -0.020,           0.000,          -0.001,           0.009,           0.003,           0.048,           0.072,           0.065,          -0.058,          -0.022,          -0.019,          -0.019,          -0.019,          -0.021,          -0.025,          -0.034,          -0.070,          -0.058,          -0.034,          -0.054,          -0.048,          -0.043,          -0.041,          -0.062,          -0.053,          -0.037,          -0.027
      59,          0.966667,          47.460,          63.291,           0.000,           0.004,           0.010,           0.026,           0.003,           0.010,           0.000,           0.000,           0.000,           0.000,           0.000,           0.022,          -0.019,           0.000,          -0.001,           0.008,           0.002,           0.043,           0.064,           0.058,          -0.055,          -0.020,          -0.018,          -0.018,          -0.018,          -0.019,          -0.024,          -0.032,          -0.066,          -0.058,          -0.035,          -0.052,          -0.045,          -0.040,          -0.039,          -0.058,          -0.050,          -0.033,          -0.024
      60,          0.983333,          47.458,          64.224,           0.000,           0.003,           0.009,           0.022,           0.002,           0.008,           0.000,           0.000,           0.000,           0.000,           0.000,           0.020,          -0.017,           0.000,          -0.001,           0.007,           0.002,           0.039,           0.056,           0.051,          -0.052,          -0.019,          -0.017,          -0.017,          -0.016,          -0.018,          -0.022,          -0.030,          -0.062,          -0.057,          -0.035,          -0.050,          -0.042,          -0.038,          -0.037,          -0.054,          -0.046,          -0.030,          -0.022
      61,          1.000000,          47.455,          65.089,           0.000,           0.002,           0.007,           0.019,           0.002,           0.007,           0.000,           0.000,           0.000,           0.000,           0.000,           0.018,          -0.016,           0.000,          -0.001,           0.006,           0.001,           0.034,           0.048,           0.044,          -0.050,          -0.017,          -0.016,          -0.016,          -0.015,          -0.017,          -0.020,          -0.028,          -0.058,          -0.055,          -0.035,          -0.047,          -0.040,          -0.036,          -0.035,          -0.050,          -0.041,          -0.028,          -0.021
      62,          1.016667,          47.451,          65.866,           0.000,           0.002,           0.007,           0.017,           0.001,           0.006,           0.000,           0.000,           0.000,           0.000,           0.000,           0.018,          -0.015,           0.000,          -0.001,           0.006,           0.001,           0.031,           0.044,           0.041,          -0.049,          -0.017,          -0.015,          -0.015,          -0.015,          -0.017,          -0.020,          -0.027,          -0.056,          -0.056,          -0.037,          -0.046,          -0.039,          -0.035,          -0.034,          -0.049,          -0.040,          -0.027,          -0.020
      63,          1.033333,          47.440,          66.575,           0.000,           0.002,           0.007,           0.016,           0.001,           0.006,           0.000,           0.000,           0.000,           0.000,           0.000,           0.018,          -0.014,           0.000,          -0.001,           0.006,           0.001,           0.028,           0.041,           0.039,          -0.049,          -0.016,          -0.015,          -0.015,          -0.015,          -0.017,          -0.020,          -0.027,          -0.055,          -0.055,          -0.039,          -0.046,          -0.039,          -0.035,          -0.034,          -0.048,          -0.038,          -0.026,          -0.020
      64,          1.050000,          47.425,          67.239,           0.000,           0.002,           0.007,           0.015,           0.001,           0.005,           0.000,           0.000,           0.000,           0.000,           0.000,           0.017,          -0.013,           0.000,          -0.001,           0.006,           0.001,           0.026,           0.037,           0.038,          -0.048,          -0.016,          -0.015,          -0.015,          -0.015,          -0.016,          -0.020,          -0.026,          -0.054,          -0.055,          -0.041,          -0.045,          -0.038,          -0.034,          -0.033,          -0.046,          -0.037,          -0.025,          -0.019
      65,          1.066667,          47.408,          67.930,           0.000,           0.002,           0.007,           0.015,           0.001,           0.005,           0.000,           0.000,           0.000,           0.000,           0.000,           0.017,          -0.012,           0.000,          -0.001,           0.006,           0.001,           0.023,           0.035,           0.036,          -0.048,          -0.016,          -0.015,          -0.015,          -0.015,          -0.016,          -0.019,          -0.026,          -0.053,          -0.055,          -0.043,          -0.045,          -0.038,          -0.034,          -0.033,          -0.045,          -0.036,          -0.025,          -0.019
      66,          1.083333,          47.391,          68.585,           0.000,           0.002,           0.007,           0.014,           0.001,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.017,          -0.011,           0.000,          -0.001,           0.006,           0.001,           0.021,           0.032,           0.034,          -0.047,          -0.015,          -0.015,          -0.015,          -0.015,          -0.016,          -0.019,          -0.026,          -0.052,          -0.054,          -0.044,          -0.044,          -0.037,          -0.034,          -0.033,          -0.044,          -0.035,          -0.024,          -0.018
      67,          1.100000,          47.370,          69.154,           0.000,           0.002,           0.006,           0.013,           0.001,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.016,          -0.011,           0.000,          -0.001,           0.005,           0.001,           0.019,           0.030,           0.032,          -0.047,          -0.015,          -0.014,          -0.014,          -0.014,          -0.016,          -0.019,          -0.025,          -0.051,          -0.054,          -0.045,          -0.044,          -0.037,          -0.033,          -0.032,          -0.043,          -0.034,          -0.023,          -0.018
      68,          1.116667,          47.332,          69.677,           0.000,           0.002,           0.006,           0.012,           0.001,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.016,          -0.010,           0.000,          -0.001,           0.005,           0.001,           0.017,           0.027,           0.031,          -0.046,          -0.015,          -0.014,          -0.014,          -0.014,          -0.015,          -0.018,          -0.025,          -0.050,          -0.053,          -0.047,          -0.043,          -0.037,          -0.033,          -0.032,          -0.042,          -0.033,          -0.023,          -0.017
      69,          1.133333,          47.287,          70.127,           0.000,           0.001,           0.006,           0.012,           0.001,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.016,          -0.009,           0.000,          -0.001,           0.005,           0.001,           0.015,           0.025,           0.030,          -0.046,          -0.015,          -0.014,          -0.014,          -0.014,          -0.015,          -0.018,          -0.025,          -0.049,          -0.053,          -0.048,          -0.042,          -0.036,          -0.033,          -0.031,          -0.041,          -0.032,          -0.022,          -0.017
      70,          1.150000,          47.234,          70.476,           0.000,           0.001,           0.006,           0.011,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.015,          -0.009,           0.000,          -0.001,           0.005,           0.001,           0.013,           0.023,           0.029,          -0.045,          -0.014,          -0.014,          -0.014,          -0.014,          -0.015,          -0.018,          -0.024,          -0.048,          -0.052,          -0.048,          -0.042,          -0.036,          -0.032,          -0.031,          -0.040,          -0.031,          -0.022,          -0.017
      71,          1.166667,          47.179,          70.702,           0.000,           0.001,           0.006,           0.011,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.015,          -0.008,           0.000,          -0.001,           0.005,           0.001,           0.012,           0.022,           0.028,          -0.044,          -0.014,          -0.014,          -0.014,          -0.014,          -0.015,          -0.018,          -0.024,          -0.047,          -0.051,          -0.049,          -0.041,          -0.035,          -0.032,          -0.031,          -0.039,          -0.031,          -0.021,          -0.016
      72,          1.183333,          47.121,          70.841,           0.000,           0.001,           0.006,           0.010,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.015,          -0.008,           0.000,          -0.001,           0.005,           0.001,           0.011,           0.020,           0.027,          -0.044,          -0.014,          -0.014,          -0.014,          -0.013,          -0.014,          -0.017,          -0.023,          -0.046,          -0.051,          -0.049,          -0.041,          -0.035,          -0.031,          -0.030,          -0.038,          -0.030,          -0.021,          -0.016
      73,          1.200000,          47.057,          70.916,           0.000,           0.001,           0.005,           0.010,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.014,          -0.008,           0.000,          -0.001,           0.005,           0.001,           0.010,           0.019,           0.026,          -0.043,          -0.014,          -0.013,          -0.013,          -0.013,          -0.014,          -0.017,          -0.023,          -0.045,          -0.050,          -0.050,          -0.040,          -0.034,          -0.031,          -0.030,          -0.037,          -0.029,          -0.020,          -0.016
      74,          1.216667,          46.991,          70.947,           0.000,           0.001,           0.005,           0.009,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.014,          -0.007,           0.000,          -0.001,           0.005,           0.001,           0.009,           0.018,           0.025,          -0.043,          -0.013,          -0.013,          -0.013,          -0.013,          -0.014,          -0.017,          -0.023,          -0.044,          -0.050,          -0.050,          -0.040,          -0.034,          -0.031,          -0.029,          -0.037,          -0.029,          -0.020,          -0.015
      75,          1.233333,          46.921,          70.953,           0.000,           0.001,           0.005,           0.009,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.014,          -0.007,           0.000,          -0.001,           0.004,           0.001,           0.008,           0.017,           0.024,          -0.042,          -0.013,          -0.013,          -0.013,          -0.013,          -0.014,          -0.017,          -0.022,          -0.043,          -0.049,          -0.050,          -0.039,          -0.033,          -0.030,          -0.029,          -0.036,          -0.028,          -0.019,          -0.015
      76,          1.250000,          46.850,          70.943,           0.000,           0.001,           0.005,           0.009,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.014,          -0.007,           0.000,          -0.001,           0.004,           0.001,           0.007,           0.016,           0.023,          -0.042,          -0.013,          -0.013,          -0.013,          -0.013,          -0.014,          -0.016,          -0.022,          -0.042,          -0.049,          -0.050,          -0.039,          -0.033,          -0.030,          -0.028,          -0.035,          -0.027,          -0.019,          -0.015
      77,          1.266667,          46.774,          70.927,           0.000,           0.001,           0.005,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.007,           0.000,          -0.001,           0.004,           0.001,           0.007,           0.015,           0.023,          -0.041,          -0.013,          -0.013,          -0.013,          -0.013,          -0.014,          -0.016,          -0.022,          -0.042,          -0.049,          -0.050,          -0.039,          -0.033,          -0.030,          -0.028,          -0.035,          -0.027,          -0.019,          -0.015
      78,          1.283333,          46.686,          70.906,           0.000,           0.001,           0.005,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.007,           0.000,          -0.001,           0.004,           0.001,           0.007,           0.015,           0.023,          -0.041,          -0.013,          -0.013,          -0.013,          -0.013,          -0.013,          -0.016,          -0.022,          -0.042,          -0.048,          -0.050,          -0.038,          -0.033,          -0.029,          -0.028,          -0.035,          -0.027,          -0.019,          -0.015
      79,          1.300000,          46.588,          70.881,           0.000,           0.001,           0.005,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.006,           0.014,           0.022,          -0.041,          -0.013,          -0.013,          -0.013,          -0.013,          -0.013,          -0.016,          -0.022,          -0.042,          -0.048,          -0.050,          -0.038,          -0.033,          -0.029,          -0.028,          -0.035,          -0.027,          -0.019,          -0.015
      80,          1.316667,          46.483,          70.853,           0.000,           0.001,           0.005,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.006,           0.014,           0.022,          -0.041,          -0.013,          -0.013,          -0.013,          -0.012,          -0.013,          -0.016,          -0.022,          -0.041,          -0.048,          -0.050,          -0.038,          -0.032,          -0.029,          -0.028,          -0.034,          -0.027,          -0.018,          -0.015
      81,          1.333333,          46.373,          70.819,           0.000,           0.001,           0.005,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.006,           0.013,           0.022,          -0.041,          -0.013,          -0.013,          -0.012,          -0.012,          -0.013,          -0.016,          -0.022,          -0.041,          -0.048,          -0.050,          -0.038,          -0.032,          -0.029,          -0.028,          -0.034,          -0.026,          -0.018,          -0.014
      82,          1.350000,          46.258,          70.780,           0.000,           0.001,           0.005,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.005,           0.013,           0.022,          -0.041,          -0.013,          -0.012,          -0.012,          -0.012,          -0.013,          -0.016,          -0.021,          -0.041,          -0.048,          -0.050,          -0.038,          -0.032,          -0.029,          -0.028,          -0.034,          -0.026,          -0.018,          -0.014
      83,          1.366667,          46.136,          70.732,           0.000,           0.001,           0.005,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.005,           0.013,           0.021,          -0.040,          -0.012,          -0.012,          -0.012,          -0.012,          -0.013,          -0.016,          -0.021,          -0.040,          -0.047,          -0.050,          -0.038,          -0.032,          -0.029,          -0.028,          -0.034,          -0.026,          -0.018,          -0.014
      84,          1.383333,          46.008,          70.674,           0.000,           0.001,           0.005,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.005,           0.013,           0.021,          -0.040,          -0.012,          -0.012,          -0.012,          -0.012,          -0.013,          -0.016,          -0.021,          -0.040,          -0.047,          -0.050,          -0.038,          -0.032,          -0.029,          -0.027,          -0.034,          -0.026,          -0.018,          -0.014
      85,          1.400000,          45.872,          70.604,           0.000,           0.001,           0.005,           0.008,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.005,           0.012,           0.021,          -0.040,          -0.012,          -0.012,          -0.012,          -0.012,          -0.013,          -0.016,          -0.021,          -0.040,          -0.047,          -0.050,          -0.037,          -0.032,          -0.029,          -0.027,          -0.033,          -0.026,          -0.018,          -0.014
      86,          1.416667,          45.728,          70.515,           0.000,           0.001,           0.005,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.004,           0.012,           0.021,          -0.040,          -0.012,          -0.012,          -0.012,          -0.012,          -0.013,          -0.015,          -0.021,          -0.040,          -0.047,          -0.050,          -0.037,          -0.032,          -0.028,          -0.027,          -0.033,          -0.026,          -0.018,          -0.014
      87,          1.433333,          45.574,          70.403,           0.000,           0.001,           0.005,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.013,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.004,           0.012,           0.021,          -0.040,          -0.012,          -0.012,          -0.012,          -0.012,          -0.013,          -0.015,          -0.021,          -0.040,          -0.047,          -0.050,          -0.037,          -0.031,          -0.028,          -0.027,          -0.033,          -0.025,          -0.018,          -0.014
      88,          1.450000,          45.414,          70.261,           0.000,           0.001,           0.005,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.012,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.004,           0.012,           0.020,          -0.040,          -0.012,          -0.012,          -0.012,          -0.012,          -0.013,          -0.015,          -0.021,          -0.039,          -0.046,          -0.050,          -0.037,          -0.031,          -0.028,          -0.027,          -0.033,          -0.025,          -0.018,          -0.014
      89,          1.466667,          45.244,          70.079,           0.000,           0.001,           0.004,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.012,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.004,           0.012,           0.020,          -0.039,          -0.012,          -0.012,          -0.012,          -0.012,          -0.013,          -0.015,          -0.021,          -0.039,          -0.046,          -0.050,          -0.037,          -0.031,          -0.028,          -0.027,          -0.033,          -0.025,          -0.017,          -0.014
      90,          1.483333,          45.059,          69.840,           0.000,           0.001,           0.004,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.012,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.004,           0.011,           0.020,          -0.039,          -0.012,          -0.012,          -0.012,          -0.012,          -0.013,          -0.015,          -0.021,          -0.039,          -0.046,          -0.049,          -0.037,          -0.031,          -0.028,          -0.027,          -0.032,          -0.025,          -0.017,          -0.014
      91,          1.500000,          44.861,          69.532,           0.000,           0.001,           0.004,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.012,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.004,           0.011,           0.020,          -0.039,          -0.012,          -0.012,          -0.012,          -0.012,          -0.013,          -0.015,          -0.020,          -0.039,          -0.046,          -0.049,          -0.036,          -0.031,          -0.028,          -0.027,          -0.032,          -0.025,          -0.017,          -0.014
      92,          1.516667,          44.644,          69.168,           0.000,           0.001,           0.004,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.012,          -0.006,           0.000,          -0.001,           0.004,           0.001,           0.004,           0.011,           0.020,          -0.039,          -0.012,          -0.012,          -0.012,          -0.012,          -0.012,          -0.015,          -0.020,          -0.038,          -0.045,          -0.049,          -0.036,          -0.031,          -0.027,          -0.026,          -0.032,          -0.025,          -0.017,          -0.014
      93,          1.533333,          44.405,          68.745,           0.000,           0.001,           0.004,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.012,          -0.005,           0.000,          -0.001,           0.004,           0.001,           0.004,           0.011,           0.019,          -0.038,          -0.012,          -0.012,          -0.012,          -0.012,          -0.012,          -0.015,          -0.020,          -0.038,          -0.045,          -0.049,          -0.036,          -0.030,          -0.027,          -0.026,          -0.032,          -0.024,          -0.017,          -0.013
      94,          1.550000,          44.131,          68.277,           0.000,           0.001,           0.004,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.012,          -0.005,           0.000,          -0.001,           0.004,           0.001,           0.003,           0.010,           0.019,          -0.038,          -0.012,          -0.012,          -0.012,          -0.012,          -0.012,          -0.015,          -0.020,          -0.038,          -0.045,          -0.048,          -0.035,          -0.030,          -0.027,          -0.026,          -0.031,          -0.024,          -0.017,          -0.013
      95,          1.566667,          43.805,          67.769,           0.000,           0.001,           0.004,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.012,          -0.005,           0.000,          -0.001,           0.003,           0.001,           0.003,           0.010,           0.019,          -0.038,          -0.012,          -0.012,          -0.012,          -0.011,          -0.012,          -0.014,          -0.020,          -0.037,          -0.044,          -0.048,          -0.035,          -0.030,          -0.027,          -0.026,          -0.031,          -0.024,          -0.017,          -0.013
      96,          1.583333,          43.415,          67.222,           0.000,           0.001,           0.004,           0.006,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,          -0.005,           0.000,          -0.001,           0.003,           0.001,           0.003,           0.010,           0.019,          -0.037,          -0.011,          -0.011,          -0.011,          -0.011,          -0.012,          -0.014,          -0.019,          -0.037,          -0.044,          -0.048,          -0.035,          -0.030,          -0.027,          -0.025,          -0.031,          -0.024,          -0.016,          -0.013
      97,          1.600000,          42.964,          66.643,           0.000,           0.001,           0.004,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.003,           0.010,           0.018,          -0.037,          -0.011,          -0.011,          -0.011,          -0.011,          -0.012,          -0.014,          -0.019,          -0.037,          -0.044,          -0.047,          -0.035,          -0.029,          -0.026,          -0.025,          -0.030,          -0.023,          -0.016,          -0.013
      98,          1.616667,          42.482,          66.036,           0.000,           0.001,           0.004,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.003,           0.010,           0.018,          -0.037,          -0.011,          -0.011,          -0.011,          -0.011,          -0.012,          -0.014,          -0.019,          -0.036,          -0.043,          -0.047,          -0.034,          -0.029,          -0.026,          -0.025,          -0.030,          -0.023,          -0.016,          -0.013
      99,          1.633333,          41.962,          65.410,           0.000,           0.001,           0.004,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.003,           0.009,           0.018,          -0.036,          -0.011,          -0.011,          -0.011,          -0.011,          -0.012,          -0.014,          -0.019,          -0.036,          -0.043,          -0.047,          -0.034,          -0.029,          -0.026,          -0.025,          -0.030,          -0.023,          -0.016,          -0.013
     100,          1.650000,          41.403,          64.761,           0.000,           0.001,           0.004,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.003,           0.009,           0.018,          -0.036,          -0.011,          -0.011,          -0.011,          -0.011,          -0.011,          -0.014,          -0.019,          -0.036,          -0.042,          -0.046,          -0.034,          -0.029,          -0.026,          -0.024,          -0.030,          -0.023,          -0.016,          -0.012
     101,          1.666667,          40.795,          64.091,           0.000,           0.001,           0.004,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.003,           0.009,           0.017,          -0.036,          -0.011,          -0.011,          -0.011,          -0.011,          -0.011,          -0.014,          -0.019,          -0.035,          -0.042,          -0.046,          -0.033,          -0.028,          -0.025,          -0.024,          -0.029,          -0.022,          -0.015,          -0.012
     102,          1.683333,          40.138,          63.402,           0.000,           0.001,           0.004,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.003,           0.009,           0.017,          -0.035,          -0.011,          -0.011,          -0.011,          -0.011,          -0.011,          -0.013,          -0.018,          -0.035,          -0.042,          -0.045,          -0.033,          -0.028,          -0.025,          -0.024,          -0.029,          -0.022,          -0.015,          -0.012
     103,          1.700000,          39.419,          62.692,           0.000,           0.001,           0.004,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.010,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.003,           0.009,           0.017,          -0.035,          -0.011,          -0.011,          -0.011,          -0.011,          -0.011,          -0.013,          -0.018,          -0.035,          -0.041,          -0.045,          -0.033,          -0.028,          -0.025,          -0.024,          -0.029,          -0.022,          -0.015,          -0.012
     104,          1.716667,          38.629,          61.958,           0.000,           0.001,           0.003,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.010,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.002,           0.009,           0.017,          -0.035,          -0.011,          -0.011,          -0.011,          -0.011,          -0.011,          -0.013,          -0.018,          -0.034,          -0.041,          -0.045,          -0.032,          -0.028,          -0.025,          -0.024,          -0.028,          -0.022,          -0.015,          -0.012
     105,          1.733333,          37.768,          61.191,           0.000,           0.001,           0.003,           0.006,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.010,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.002,           0.008,           0.016,          -0.034,          -0.010,          -0.010,          -0.010,          -0.010,          -0.011,          -0.013,          -0.018,          -0.034,          -0.041,          -0.044,          -0.032,          -0.027,          -0.024,          -0.023,          -0.028,          -0.021,          -0.015,          -0.012
     106,          1.750000,          36.829,          60.399,           0.000,           0.001,           0.003,           0.005,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.010,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.002,           0.008,           0.016,          -0.034,          -0.010,          -0.010,          -0.010,          -0.010,          -0.011,          -0.013,          -0.018,          -0.034,          -0.040,          -0.044,          -0.032,          -0.027,          -0.024,          -0.023,          -0.028,          -0.021,          -0.015,          -0.012
     107,          1.766667,          35.804,          59.582,           0.000,           0.000,           0.003,           0.005,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.010,          -0.005,           0.000,          -0.001,           0.003,           0.000,           0.002,           0.008,           0.016,          -0.034,          -0.010,          -0.010,          -0.010,          -0.010,          -0.010,          -0.013,          -0.017,          -0.033,          -0.040,          -0.043,          -0.031,          -0.027,          -0.024,          -0.023,          -0.027,          -0.021,          -0.014,          -0.011
     108,          1.783333,          34.728,          58.730,           0.000,           0.000,           0.003,           0.005,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.010,          -0.004,           0.000,          -0.001,           0.003,           0.000,           0.002,           0.008,           0.015,          -0.033,          -0.010,          -0.010,          -0.010,          -0.010,          -0.010,          -0.012,          -0.017,          -0.033,          -0.039,          -0.043,          -0.031,          -0.026,          -0.023,          -0.022,          -0.027,          -0.020,          -0.014,          -0.011
     109,          1.800000,          33.601,          57.827,           0.000,           0.000,           0.003,           0.005,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.009,          -0.004,           0.000,          -0.001,           0.003,           0.000,           0.002,           0.008,           0.015,          -0.032,          -0.010,          -0.010,          -0.010,          -0.010,          -0.010,          -0.012,          -0.017,          -0.032,          -0.038,          -0.042,          -0.030,          -0.026,          -0.023,          -0.022,          -0.026,          -0.020,          -0.014,          -0.011
     110,          1.816667,          32.404,          56.870,           0.000,           0.000,           0.003,           0.005,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.009,          -0.004,           0.000,          -0.001,           0.002,           0.000,           0.002,           0.007,           0.015,          -0.032,          -0.010,          -0.010,          -0.010,          -0.010,          -0.010,          -0.012,          -0.016,          -0.031,          -0.038,          -0.041,          -0.030,          -0.025,          -0.022,          -0.022,          -0.026,          -0.020,          -0.013,          -0.011
     111,          1.833333,          31.142,          55.843,           0.000,           0.000,           0.003,           0.005,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.009,          -0.004,           0.000,          -0.001,           0.002,           0.000,           0.002,           0.007,           0.014,          -0.031,          -0.009,          -0.009,          -0.009,          -0.009,          -0.010,          -0.012,          -0.016,          -0.031,          -0.037,          -0.040,          -0.029,          -0.025,          -0.022,          -0.021,          -0.025,          -0.019,          -0.013,          -0.010
