"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time(h)","F ds1 [EG14_002]","F ds2 [EG14_002]","F ds3 [EG14_002]","F ds4 [EG14_002]","F ds5 [EG14_002]","F ds_weir [EG14_002]","F FC01.01 [EG14_002]","F FC01.02 [EG14_002]","F FC01.03 [EG14_002]","F FC01.04 [EG14_002]","F FC01.05 [EG14_002]","F FC01.06 [EG14_002]","F FC01.07 [EG14_002]","F FC01.08 [EG14_002]","F FC01.09 [EG14_002]","F FC01.12 [EG14_002]","F FC01.13 [EG14_002]","F FC01.14 [EG14_002]","F FC01.15 [EG14_002]","F FC01.16 [EG14_002]","F FC01.17 [EG14_002]","F FC01.18 [EG14_002]","F FC01.19 [EG14_002]","F FC01.1_R [EG14_002]","F FC01.20 [EG14_002]","F FC01.21 [EG14_002]","F FC01.22 [EG14_002]","F FC01.23 [EG14_002]","F FC01.24 [EG14_002]","F FC01.25 [EG14_002]","F FC01.26 [EG14_002]","F FC01.27 [EG14_002]","F FC01.28A [EG14_002]","F FC01.28B [EG14_002]","F FC01.29 [EG14_002]","F FC01.2_R [EG14_002]","F FC01.30 [EG14_002]","F FC01.31 [EG14_002]","F FC01.32 [EG14_002]","F FC01.33 [EG14_002]","F FC01.34 [EG14_002]","F FC01.36 [EG14_002]","F FC01.37 [EG14_002]","F FC01.38 [EG14_002]","F FC01.39 [EG14_002]","F FC01.40 [EG14_002]","F FC02.01 [EG14_002]","F FC02.02 [EG14_002]","F FC02.03 [EG14_002]","F FC02.04 [EG14_002]","F FC02.05 [EG14_002]","F FC02.06 [EG14_002]","F FC_weir1 [EG14_002]","F RD_weir [EG14_002]"
     120,          1.983333,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     121,          2.000000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     122,          2.016667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     123,          2.033334,,,,,A,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     124,          2.050000,,,,,A,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     125,          2.066667,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     126,          2.083333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,N,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     127,          2.100000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     128,          2.116667,,,,,A,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     129,          2.133333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,N,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     130,          2.150000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     131,          2.166667,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     132,          2.183333,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     133,          2.200000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     134,          2.216667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     135,          2.233333,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     136,          2.250000,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     137,          2.266667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     138,          2.283334,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     139,          2.300000,,,,,,  L,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     140,          2.316667,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,,,E,E,,,,,,N,,E
     141,          2.333333,,,,,A,,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,A,,,N,E,E,,,,,,N,,E
