"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time(h)","V ds1 [EG14_002]","V ds2 [EG14_002]","V ds3 [EG14_002]","V ds4 [EG14_002]","V ds5 [EG14_002]","V ds_weir [EG14_002]","V FC01.01 [EG14_002]","V FC01.02 [EG14_002]","V FC01.03 [EG14_002]","V FC01.04 [EG14_002]","V FC01.05 [EG14_002]","V FC01.06 [EG14_002]","V FC01.07 [EG14_002]","V FC01.08 [EG14_002]","V FC01.09 [EG14_002]","V FC01.12 [EG14_002]","V FC01.13 [EG14_002]","V FC01.14 [EG14_002]","V FC01.15 [EG14_002]","V FC01.16 [EG14_002]","V FC01.17 [EG14_002]","V FC01.18 [EG14_002]","V FC01.19 [EG14_002]","V FC01.1_R [EG14_002]","V FC01.20 [EG14_002]","V FC01.21 [EG14_002]","V FC01.22 [EG14_002]","V FC01.23 [EG14_002]","V FC01.24 [EG14_002]","V FC01.25 [EG14_002]","V FC01.26 [EG14_002]","V FC01.27 [EG14_002]","V FC01.28A [EG14_002]","V FC01.28B [EG14_002]","V FC01.29 [EG14_002]","V FC01.2_R [EG14_002]","V FC01.30 [EG14_002]","V FC01.31 [EG14_002]","V FC01.32 [EG14_002]","V FC01.33 [EG14_002]","V FC01.34 [EG14_002]","V FC01.36 [EG14_002]","V FC01.37 [EG14_002]","V FC01.38 [EG14_002]","V FC01.39 [EG14_002]","V FC01.40 [EG14_002]","V FC02.01 [EG14_002]","V FC02.02 [EG14_002]","V FC02.03 [EG14_002]","V FC02.04 [EG14_002]","V FC02.05 [EG14_002]","V FC02.06 [EG14_002]","V FC_weir1 [EG14_002]","V RD_weir [EG14_002]"
      47,          0.766667,    1.293,    1.012,    0.840,    1.292,    0.242,    0.009,    1.200,    0.597,    0.613,    1.184,    1.007,    0.659,    0.450,    0.607,    0.981,    1.371,    1.276,    0.951,    0.976,    0.727,    0.694,    0.327,    0.305,    1.881,    0.636,    0.345,    0.403,    0.925,    1.031,    1.242,    1.116,    1.492,    1.235,    1.113,    1.064,    0.677,    0.809,    0.789,    0.781,    0.000,    0.444,    0.797,    0.484,    0.262,    0.000,    0.000,    0.079,    0.099,    0.155,    0.000,   -0.001,    0.629,    0.891,    0.000
      48,          0.783333,    1.290,    1.012,    0.848,    1.265,    0.225,    0.009,    1.197,    0.595,    0.611,    1.180,    1.005,    0.657,    0.448,    0.604,    0.979,    1.370,    1.274,    0.948,    0.971,    0.721,    0.689,    0.324,    0.303,    1.865,    0.632,    0.342,    0.399,    0.920,    1.026,    1.234,    1.107,    1.480,    1.225,    1.104,    1.056,    0.667,    0.803,    0.783,    0.775,    0.000,    0.436,    0.789,    0.480,    0.261,    0.000,    0.000,    0.079,    0.099,    0.157,    0.000,   -0.001,    0.624,    0.884,    0.000
      49,          0.800000,    1.286,    1.011,    0.854,    1.237,    0.210,    0.009,    1.193,    0.593,    0.609,    1.177,    1.002,    0.654,    0.445,    0.600,    0.976,    1.369,    1.272,    0.946,    0.967,    0.716,    0.684,    0.322,    0.300,    1.847,    0.627,    0.339,    0.396,    0.915,    1.020,    1.225,    1.098,    1.467,    1.214,    1.095,    1.047,    0.658,    0.796,    0.777,    0.769,    0.000,    0.426,    0.780,    0.476,    0.260,    0.000,    0.000,    0.079,    0.099,    0.160,    0.107,   -0.001,    0.618,    0.877,    0.000
      50,          0.816667,    1.281,    1.011,    0.860,    1.208,    0.196,    0.009,    1.188,    0.591,    0.607,    1.172,    1.000,    0.651,    0.442,    0.596,    0.972,    1.364,    1.262,    0.942,    0.961,    0.711,    0.678,    0.319,    0.298,    1.829,    0.622,    0.335,    0.393,    0.910,    1.013,    1.216,    1.087,    1.453,    1.202,    1.084,    1.037,    0.645,    0.789,    0.770,    0.763,    0.000,    0.417,    0.770,    0.472,    0.259,    0.000,    0.000,    0.080,    0.103,    0.177,    0.278,   -0.000,    0.613,    0.869,    0.000
      51,          0.833333,    1.275,    1.009,    0.865,    1.180,    0.183,    0.008,    1.182,    0.588,    0.603,    1.166,    0.995,    0.646,    0.438,    0.591,    0.967,    1.362,    1.254,    0.935,    0.954,    0.705,    0.673,    0.316,    0.295,    1.810,    0.618,    0.333,    0.390,    0.906,    1.005,    1.205,    1.076,    1.438,    1.189,    1.073,    1.027,    0.632,    0.781,    0.763,    0.756,    0.000,    0.407,    0.760,    0.467,    0.258,    0.000,    0.000,    0.083,    0.111,    0.206,    0.369,    0.001,    0.608,    0.861,    0.000
      52,          0.850000,    1.269,    1.006,    0.868,    1.152,    0.170,    0.008,    1.176,    0.584,    0.599,    1.159,    0.991,    0.641,    0.434,    0.586,    0.962,    1.359,    1.246,    0.927,    0.946,    0.698,    0.667,    0.313,    0.292,    1.790,    0.613,    0.330,    0.387,    0.902,    0.997,    1.194,    1.064,    1.422,    1.175,    1.061,    1.017,    0.618,    0.774,    0.756,    0.750,    0.000,    0.397,    0.750,    0.462,    0.257,    0.000,    0.000,    0.087,    0.120,    0.239,    0.433,    0.002,    0.602,    0.853,    0.000
      53,          0.866667,    1.261,    1.002,    0.871,    1.123,    0.160,    0.007,    1.169,    0.580,    0.595,    1.152,    0.986,    0.637,    0.430,    0.581,    0.958,    1.355,    1.239,    0.919,    0.938,    0.691,    0.661,    0.310,    0.290,    1.768,    0.609,    0.327,    0.384,    0.899,    0.987,    1.181,    1.051,    1.406,    1.161,    1.049,    1.006,    0.604,    0.765,    0.748,    0.742,    0.000,    0.386,    0.739,    0.457,    0.256,    0.000,    0.000,    0.092,    0.131,    0.273,    0.480,    0.003,    0.595,    0.844,    0.000
      54,          0.883333,    1.253,    0.998,    0.872,    1.094,    0.151,    0.007,    1.161,    0.576,    0.591,    1.144,    0.981,    0.632,    0.426,    0.575,    0.953,    1.351,    1.230,    0.911,    0.929,    0.684,    0.655,    0.307,    0.287,    1.735,    0.604,    0.324,    0.381,    0.894,    0.977,    1.169,    1.038,    1.389,    1.146,    1.036,    0.994,    0.590,    0.757,    0.740,    0.734,    0.000,    0.374,    0.726,    0.451,    0.255,    0.000,    0.000,    0.096,    0.141,    0.306,    0.516,    0.004,    0.589,    0.834,    0.000
      55,          0.900000,    1.245,    0.994,    0.872,    1.065,    0.142,    0.006,    1.153,    0.571,    0.586,    1.135,    0.975,    0.626,    0.422,    0.570,    0.947,    1.347,    1.220,    0.903,    0.920,    0.677,    0.648,    0.303,    0.284,    1.696,    0.598,    0.320,    0.377,    0.890,    0.966,    1.155,    1.024,    1.370,    1.130,    1.022,    0.981,    0.575,    0.747,    0.731,    0.726,    0.000,    0.362,    0.711,    0.445,    0.253,    0.000,    0.000,    0.101,    0.152,    0.336,    0.543,    0.004,    0.582,    0.824,    0.000
      56,          0.916667,    1.235,    0.989,    0.871,    1.037,    0.134,    0.006,    1.144,    0.567,    0.581,    1.126,    0.968,    0.620,    0.417,    0.564,    0.941,    1.341,    1.209,    0.894,    0.911,    0.669,    0.641,    0.300,    0.280,    1.650,    0.593,    0.317,    0.373,    0.884,    0.955,    1.140,    1.009,    1.351,    1.113,    1.008,    0.968,    0.566,    0.738,    0.723,    0.718,    0.000,    0.351,    0.696,    0.440,    0.252,    0.000,    0.000,    0.105,    0.163,    0.362,    0.563,    0.005,    0.575,    0.814,    0.000
      57,          0.933333,    1.226,    0.983,    0.869,    1.008,    0.126,    0.006,    1.134,    0.562,    0.576,    1.117,    0.962,    0.615,    0.413,    0.559,    0.935,    1.334,    1.199,    0.886,    0.902,    0.662,    0.634,    0.296,    0.277,    1.616,    0.587,    0.313,    0.369,    0.879,    0.944,    1.126,    0.994,    1.331,    1.097,    0.993,    0.956,    0.559,    0.728,    0.714,    0.710,    0.000,    0.339,    0.679,    0.432,    0.250,    0.000,    0.000,    0.109,    0.173,    0.386,    0.578,    0.006,    0.569,    0.804,    0.000
      58,          0.950000,    1.216,    0.978,    0.866,    0.980,    0.119,    0.006,    1.125,    0.557,    0.571,    1.108,    0.955,    0.609,    0.409,    0.553,    0.930,    1.328,    1.187,    0.877,    0.893,    0.654,    0.627,    0.292,    0.274,    1.579,    0.581,    0.309,    0.365,    0.873,    0.933,    1.111,    0.979,    1.312,    1.080,    0.979,    0.943,    0.553,    0.719,    0.706,    0.703,    0.000,    0.328,    0.664,    0.425,    0.248,    0.000,    0.000,    0.113,    0.182,    0.407,    0.589,    0.006,    0.563,    0.795,    0.000
      59,          0.966667,    1.206,    0.972,    0.862,    0.952,    0.113,    0.005,    1.115,    0.552,    0.566,    1.099,    0.948,    0.604,    0.404,    0.548,    0.924,    1.321,    1.175,    0.868,    0.883,    0.646,    0.619,    0.288,    0.270,    1.542,    0.575,    0.305,    0.361,    0.867,    0.922,    1.097,    0.964,    1.292,    1.063,    0.965,    0.931,    0.546,    0.711,    0.699,    0.696,    0.000,    0.318,    0.649,    0.419,    0.246,    0.000,    0.000,    0.116,    0.190,    0.424,    0.597,    0.006,    0.558,    0.785,    0.000
      60,          0.983333,    1.196,    0.965,    0.857,    0.920,    0.107,    0.005,    1.104,    0.546,    0.560,    1.089,    0.940,    0.598,    0.400,    0.543,    0.918,    1.314,    1.163,    0.858,    0.873,    0.637,    0.612,    0.284,    0.267,    1.505,    0.569,    0.301,    0.357,    0.861,    0.913,    1.083,    0.949,    1.273,    1.047,    0.951,    0.919,    0.539,    0.703,    0.692,    0.689,    0.000,    0.308,    0.634,    0.413,    0.244,    0.000,    0.000,    0.118,    0.198,    0.439,    0.602,    0.006,    0.552,    0.776,    0.000
      61,          1.000000,    1.185,    0.959,    0.851,    0.889,    0.101,    0.005,    1.093,    0.540,    0.555,    1.079,    0.932,    0.593,    0.396,    0.537,    0.913,    1.307,    1.150,    0.848,    0.863,    0.629,    0.604,    0.280,    0.263,    1.467,    0.563,    0.297,    0.353,    0.856,    0.903,    1.069,    0.935,    1.254,    1.031,    0.937,    0.907,    0.532,    0.694,    0.684,    0.681,    0.000,    0.297,    0.620,    0.406,    0.242,    0.000,    0.000,    0.120,    0.204,    0.452,    0.605,    0.007,    0.545,    0.767,    0.000
      62,          1.016667,    1.174,    0.953,    0.843,    0.858,    0.096,    0.004,    1.083,    0.535,    0.549,    1.068,    0.923,    0.587,    0.392,    0.532,    0.907,    1.300,    1.138,    0.838,    0.852,    0.620,    0.596,    0.276,    0.260,    1.428,    0.556,    0.293,    0.349,    0.850,    0.894,    1.055,    0.920,    1.235,    1.015,    0.924,    0.895,    0.526,    0.685,    0.676,    0.674,    0.000,    0.287,    0.605,    0.400,    0.240,    0.000,    0.000,    0.122,    0.210,    0.462,    0.606,    0.007,    0.539,    0.757,    0.000
      63,          1.033333,    1.163,    0.946,    0.835,    0.829,    0.091,    0.004,    1.071,    0.528,    0.543,    1.057,    0.913,    0.580,    0.387,    0.526,    0.901,    1.292,    1.124,    0.828,    0.841,    0.612,    0.588,    0.272,    0.256,    1.389,    0.550,    0.289,    0.345,    0.844,    0.886,    1.041,    0.905,    1.216,    0.999,    0.910,    0.883,    0.518,    0.676,    0.668,    0.666,    0.000,    0.277,    0.589,    0.393,    0.238,    0.000,    0.000,    0.123,    0.216,    0.471,    0.605,    0.007,    0.532,    0.747,    0.000
      64,          1.050000,    1.151,    0.938,    0.826,    0.801,    0.087,    0.004,    1.059,    0.522,    0.536,    1.045,    0.902,    0.573,    0.382,    0.521,    0.894,    1.285,    1.110,    0.817,    0.831,    0.603,    0.580,    0.268,    0.252,    1.349,    0.543,    0.285,    0.341,    0.838,    0.877,    1.027,    0.890,    1.196,    0.983,    0.895,    0.870,    0.511,    0.667,    0.659,    0.657,    0.000,    0.266,    0.574,    0.387,    0.236,    0.000,    0.000,    0.124,    0.221,    0.478,    0.603,    0.006,    0.525,    0.737,    0.000
      65,          1.066667,    1.139,    0.931,    0.817,    0.774,    0.083,    0.004,    1.047,    0.516,    0.530,    1.033,    0.892,    0.566,    0.377,    0.515,    0.888,    1.277,    1.096,    0.807,    0.819,    0.594,    0.572,    0.264,    0.248,    1.308,    0.537,    0.280,    0.336,    0.832,    0.868,    1.012,    0.875,    1.177,    0.966,    0.881,    0.857,    0.504,    0.657,    0.650,    0.649,    0.000,    0.255,    0.558,    0.380,    0.235,    0.000,    0.000,    0.124,    0.225,    0.484,    0.601,    0.006,    0.519,    0.726,    0.000
      66,          1.083333,    1.126,    0.923,    0.807,    0.748,    0.079,    0.004,    1.034,    0.509,    0.523,    1.021,    0.881,    0.558,    0.372,    0.509,    0.881,    1.269,    1.082,    0.795,    0.808,    0.585,    0.563,    0.260,    0.245,    1.266,    0.530,    0.276,    0.332,    0.826,    0.859,    0.997,    0.859,    1.156,    0.949,    0.866,    0.843,    0.497,    0.647,    0.641,    0.639,    0.000,    0.245,    0.542,    0.373,    0.233,    0.000,    0.000,    0.125,    0.229,    0.488,    0.597,    0.006,    0.511,    0.716,    0.000
      67,          1.100000,    1.114,    0.916,    0.796,    0.722,    0.075,    0.004,    1.022,    0.502,    0.517,    1.009,    0.871,    0.551,    0.367,    0.503,    0.874,    1.261,    1.068,    0.784,    0.796,    0.575,    0.555,    0.255,    0.241,    1.231,    0.523,    0.272,    0.327,    0.819,    0.850,    0.982,    0.844,    1.136,    0.932,    0.851,    0.830,    0.490,    0.638,    0.633,    0.632,    0.000,    0.235,    0.527,    0.366,    0.231,    0.000,    0.000,    0.125,    0.233,    0.493,    0.593,    0.006,    0.505,    0.706,    0.000
      68,          1.116667,    1.101,    0.908,    0.786,    0.696,    0.071,    0.003,    1.009,    0.496,    0.510,    0.997,    0.860,    0.544,    0.363,    0.497,    0.868,    1.253,    1.053,    0.773,    0.785,    0.566,    0.546,    0.251,    0.237,    1.199,    0.516,    0.267,    0.324,    0.814,    0.842,    0.968,    0.829,    1.117,    0.915,    0.837,    0.818,    0.483,    0.630,    0.626,    0.626,    0.000,    0.227,    0.513,    0.359,    0.229,    0.000,    0.000,    0.125,    0.237,    0.496,    0.589,    0.006,    0.501,    0.697,    0.000
      69,          1.133333,    1.088,    0.900,    0.775,    0.671,    0.068,    0.003,    0.997,    0.489,    0.504,    0.985,    0.849,    0.537,    0.358,    0.491,    0.862,    1.245,    1.039,    0.761,    0.773,    0.557,    0.537,    0.247,    0.233,    1.168,    0.510,    0.264,    0.320,    0.809,    0.834,    0.954,    0.814,    1.098,    0.900,    0.824,    0.807,    0.477,    0.623,    0.620,    0.620,    0.000,    0.220,    0.500,    0.353,    0.227,    0.000,    0.000,    0.125,    0.241,    0.499,    0.584,    0.006,    0.497,    0.690,    0.000
      70,          1.150000,    1.075,    0.893,    0.764,    0.647,    0.065,    0.003,    0.984,    0.482,    0.497,    0.973,    0.838,    0.530,    0.353,    0.486,    0.855,    1.236,    1.024,    0.750,    0.761,    0.548,    0.529,    0.243,    0.230,    1.139,    0.504,    0.260,    0.316,    0.805,    0.826,    0.940,    0.801,    1.081,    0.885,    0.812,    0.797,    0.470,    0.616,    0.614,    0.613,    0.000,    0.213,    0.488,    0.348,    0.225,    0.000,    0.000,    0.125,    0.245,    0.501,    0.579,    0.006,    0.493,    0.682,    0.000
      71,          1.166667,    1.062,    0.885,    0.752,    0.623,    0.062,    0.003,    0.972,    0.476,    0.491,    0.961,    0.827,    0.523,    0.349,    0.480,    0.849,    1.228,    1.010,    0.739,    0.750,    0.539,    0.521,    0.239,    0.227,    1.111,    0.498,    0.256,    0.313,    0.802,    0.819,    0.928,    0.788,    1.065,    0.872,    0.800,    0.787,    0.463,    0.609,    0.608,    0.607,    0.000,    0.206,    0.476,    0.342,    0.223,    0.000,    0.000,    0.125,    0.249,    0.502,    0.574,    0.006,    0.488,    0.674,    0.000
      72,          1.183333,    1.049,    0.877,    0.740,    0.600,    0.059,    0.003,    0.959,    0.469,    0.484,    0.949,    0.816,    0.516,    0.344,    0.475,    0.842,    1.219,    0.995,    0.728,    0.739,    0.530,    0.514,    0.236,    0.223,    1.083,    0.493,    0.253,    0.310,    0.799,    0.813,    0.915,    0.776,    1.049,    0.859,    0.789,    0.777,    0.457,    0.602,    0.602,    0.601,    0.000,    0.199,    0.465,    0.337,    0.221,    0.000,    0.000,    0.124,    0.252,    0.502,    0.569,    0.005,    0.484,    0.667,    0.000
      73,          1.200000,    1.036,    0.870,    0.728,    0.577,    0.056,    0.003,    0.946,    0.463,    0.478,    0.938,    0.806,    0.509,    0.339,    0.469,    0.836,    1.211,    0.981,    0.718,    0.727,    0.522,    0.506,    0.232,    0.220,    1.054,    0.488,    0.250,    0.308,    0.796,    0.806,    0.903,    0.765,    1.034,    0.846,    0.779,    0.768,    0.892,    0.595,    0.595,    0.594,    0.000,    0.193,    0.453,    0.331,    0.220,    0.000,    0.000,    0.123,    0.254,    0.501,    0.563,    0.005,    0.479,    0.660,    0.000
      74,          1.216667,    1.023,    0.862,    0.716,    0.555,    0.053,    0.003,    0.934,    0.456,    0.471,    0.926,    0.795,    0.502,    0.335,    0.464,    0.829,    1.202,    0.966,    0.707,    0.717,    0.514,    0.498,    0.228,    0.217,    1.025,    0.483,    0.246,    0.305,    0.793,    0.800,    0.892,    0.753,    1.020,    0.834,    0.768,    0.758,    0.885,    0.588,    0.589,    0.588,    0.000,    0.186,    0.442,    0.326,    0.218,    0.000,    0.000,    0.122,    0.256,    0.500,    0.558,    0.005,    0.473,    0.652,    0.000
      75,          1.233333,    1.010,    0.854,    0.703,    0.533,    0.051,    0.002,    0.922,    0.450,    0.465,    0.914,    0.784,    0.496,    0.330,    0.458,    0.823,    1.194,    0.952,    0.697,    0.706,    0.506,    0.491,    0.225,    0.214,    0.996,    0.478,    0.243,    0.303,    0.790,    0.793,    0.880,    0.742,    1.005,    0.821,    0.757,    0.748,    0.877,    0.581,    0.582,    0.581,    0.000,    0.179,    0.430,    0.321,    0.217,    0.000,    0.000,    0.121,    0.257,    0.498,    0.552,    0.005,    0.468,    0.644,    0.000
      76,          1.250000,    0.997,    0.847,    0.691,    0.513,    0.048,    0.002,    0.909,    0.443,    0.459,    0.902,    0.774,    0.489,    0.326,    0.453,    0.817,    1.185,    0.938,    0.687,    0.695,    0.498,    0.484,    0.222,    0.211,    0.967,    0.473,    0.240,    0.300,    0.787,    0.786,    0.868,    0.730,    0.990,    0.808,    0.746,    0.738,    0.870,    0.573,    0.575,    0.573,    0.000,    0.173,    0.419,    0.315,    0.215,    0.000,    0.000,    0.120,    0.259,    0.496,    0.548,    0.005,    0.463,    0.636,    0.000
      77,          1.266667,    0.984,    0.839,    0.678,    0.492,    0.046,    0.002,    0.897,    0.437,    0.452,    0.891,    0.763,    0.482,    0.321,    0.448,    0.810,    1.176,    0.924,    0.678,    0.685,    0.490,    0.477,    0.218,    0.209,    0.942,    0.468,    0.237,    0.298,    0.784,    0.778,    0.856,    0.719,    0.975,    0.796,    0.735,    0.728,    0.862,    0.566,    0.568,    0.567,    0.000,    0.167,    0.408,    0.310,    0.213,    0.000,    0.000,    0.119,    0.261,    0.494,    0.542,    0.005,    0.459,    0.630,    0.000
      78,          1.283333,    0.971,    0.832,    0.665,    0.473,    0.044,    0.002,    0.885,    0.431,    0.446,    0.880,    0.753,    0.476,    0.317,    0.443,    0.805,    1.167,    0.910,    0.668,    0.675,    0.482,    0.470,    0.215,    0.206,    0.922,    0.463,    0.235,    0.296,    0.782,    0.771,    0.845,    0.709,    0.961,    0.784,    0.724,    0.719,    0.855,    0.561,    0.564,    0.562,    0.000,    0.162,    0.398,    0.305,    0.212,    0.000,    0.000,    0.118,    0.263,    0.493,    0.538,    0.004,    0.456,    0.623,    0.000
      79,          1.300000,    0.958,    0.824,    0.651,    0.454,    0.042,    0.002,    0.873,    0.424,    0.440,    0.869,    0.743,    0.469,    0.313,    0.439,    0.799,    1.158,    0.897,    0.659,    0.665,    0.475,    0.463,    0.212,    0.204,    0.902,    0.460,    0.232,    0.294,    0.780,    0.764,    0.834,    0.699,    0.948,    0.772,    0.715,    0.710,    0.848,    0.555,    0.559,    0.557,    0.000,    0.158,    0.390,    0.301,    0.210,    0.000,    0.000,    0.118,    0.265,    0.491,    0.533,    0.004,    0.454,    0.618,    0.000
