"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time (h)","Q ds1 [EG14_002]","Q ds2 [EG14_002]","Q ds3 [EG14_002]","Q ds4 [EG14_002]","Q ds5 [EG14_002]","Q ds_weir [EG14_002]","Q FC01.01 [EG14_002]","Q FC01.02 [EG14_002]","Q FC01.03 [EG14_002]","Q FC01.04 [EG14_002]","Q FC01.05 [EG14_002]","Q FC01.06 [EG14_002]","Q FC01.07 [EG14_002]","Q FC01.08 [EG14_002]","Q FC01.09 [EG14_002]","Q FC01.12 [EG14_002]","Q FC01.13 [EG14_002]","Q FC01.14 [EG14_002]","Q FC01.15 [EG14_002]","Q FC01.16 [EG14_002]","Q FC01.17 [EG14_002]","Q FC01.18 [EG14_002]","Q FC01.19 [EG14_002]","Q FC01.1_R [EG14_002]","Q FC01.20 [EG14_002]","Q FC01.21 [EG14_002]","Q FC01.22 [EG14_002]","Q FC01.23 [EG14_002]","Q FC01.24 [EG14_002]","Q FC01.25 [EG14_002]","Q FC01.26 [EG14_002]","Q FC01.27 [EG14_002]","Q FC01.28A [EG14_002]","Q FC01.28B [EG14_002]","Q FC01.29 [EG14_002]","Q FC01.2_R [EG14_002]","Q FC01.30 [EG14_002]","Q FC01.31 [EG14_002]","Q FC01.32 [EG14_002]","Q FC01.33 [EG14_002]","Q FC01.34 [EG14_002]","Q FC01.36 [EG14_002]","Q FC01.37 [EG14_002]","Q FC01.38 [EG14_002]","Q FC01.39 [EG14_002]","Q FC01.40 [EG14_002]","Q FC02.01 [EG14_002]","Q FC02.02 [EG14_002]","Q FC02.03 [EG14_002]","Q FC02.04 [EG14_002]","Q FC02.05 [EG14_002]","Q FC02.06 [EG14_002]","Q FC_weir1 [EG14_002]","Q RD_weir [EG14_002]"
      44,          0.716667,          10.339,          10.353,          10.425,          10.981,           9.628,           0.401,          10.328,          10.312,          10.304,          10.294,          10.272,          10.234,          10.203,          10.177,          10.124,           9.868,           9.648,           9.378,           9.145,           8.891,           8.625,           8.370,           8.124,           3.510,           7.871,           7.605,           7.344,           7.113,           6.197,           5.979,           5.753,           5.535,           5.318,           5.088,           4.852,          10.093,           4.612,           4.376,           4.148,           0.000,           3.721,           2.657,           1.786,           0.903,           0.000,           0.000,           0.678,           0.432,           0.203,           0.000,          -0.045,           0.200,           3.939,           0.000
      45,          0.733333,          10.300,          10.321,          10.411,          11.027,           9.503,           0.422,          10.283,          10.260,          10.248,          10.233,          10.204,          10.156,          10.116,          10.085,          10.021,           9.761,           9.542,           9.265,           9.030,           8.776,           8.508,           8.252,           8.005,           3.442,           7.752,           7.484,           7.221,           6.992,           6.086,           5.871,           5.650,           5.434,           5.221,           4.995,           4.762,           9.987,           4.525,           4.292,           4.069,           0.000,           3.649,           2.607,           1.754,           0.887,           0.000,           0.000,           0.670,           0.426,           0.199,           0.000,          -0.039,           0.195,           3.865,           0.000
      46,          0.750000,          10.247,          10.274,          10.380,          11.031,           9.462,           0.433,          10.225,          10.193,          10.178,          10.159,          10.124,          10.068,          10.021,           9.982,           9.907,           9.646,           9.428,           9.142,           8.907,           8.652,           8.382,           8.127,           7.880,           3.375,           7.628,           7.358,           7.095,           6.869,           5.974,           5.763,           5.544,           5.333,           5.123,           4.901,           4.672,           9.870,           4.439,           4.211,           3.991,           0.000,           3.577,           2.557,           1.720,           0.870,           0.000,           0.000,           0.661,           0.419,           0.195,           0.000,          -0.037,           0.192,           3.790,           0.000
      47,          0.766667,          10.180,          10.213,          10.331,          10.990,           9.419,           0.445,          10.153,          10.115,          10.097,          10.074,          10.034,           9.969,           9.914,           9.871,           9.785,           9.520,           9.307,           9.011,           8.776,           8.522,           8.250,           7.994,           7.748,           3.297,           7.496,           7.228,           6.963,           6.739,           5.856,           5.648,           5.434,           5.228,           5.023,           4.804,           4.579,           9.744,           4.347,           4.120,           3.903,           0.000,           3.496,           2.502,           1.684,           0.852,           0.000,           0.000,           0.651,           0.410,           0.190,           0.000,          -0.036,           0.186,           3.707,           0.000
      48,          0.783333,          10.100,          10.139,          10.265,          10.915,           9.323,           0.445,          10.071,          10.027,          10.005,           9.978,           9.932,           9.859,           9.799,           9.750,           9.655,           9.390,           9.179,           8.872,           8.638,           8.381,           8.109,           7.851,           7.607,           3.212,           7.355,           7.087,           6.822,           6.601,           5.731,           5.528,           5.318,           5.116,           4.915,           4.699,           4.475,           9.610,           4.245,           4.020,           3.805,           0.000,           3.407,           2.441,           1.645,           0.834,           0.000,           0.000,           0.640,           0.400,           0.184,           0.000,          -0.029,           0.180,           3.613,           0.000
      49,          0.800000,          10.010,          10.053,          10.185,          10.815,           9.205,           0.468,           9.979,           9.930,           9.905,           9.873,           9.823,           9.742,           9.674,           9.622,           9.520,           9.256,           9.049,           8.726,           8.492,           8.234,           7.959,           7.703,           7.460,           3.124,           7.207,           6.937,           6.673,           6.455,           5.599,           5.400,           5.194,           4.995,           4.798,           4.584,           4.363,           9.472,           4.136,           3.913,           3.702,           0.000,           3.312,           2.377,           1.604,           0.813,           0.000,           0.000,           0.629,           0.391,           0.178,           0.001,          -0.027,           0.174,           3.516,           0.000
      50,          0.816667,           9.908,           9.956,          10.091,          10.692,           9.069,           0.494,           9.869,           9.819,           9.792,           9.757,           9.700,           9.612,           9.537,           9.477,           9.357,           9.069,           8.846,           8.562,           8.335,           8.078,           7.803,           7.548,           7.305,           3.032,           7.053,           6.782,           6.520,           6.306,           5.458,           5.264,           5.061,           4.867,           4.674,           4.464,           4.246,           9.294,           4.021,           3.802,           3.594,           0.000,           3.216,           2.310,           1.560,           0.792,           0.000,           0.000,           0.626,           0.394,           0.190,           0.023,          -0.010,           0.169,           3.413,           0.000
      51,          0.833333,           9.781,           9.838,           9.985,          10.553,           8.871,           0.499,           9.738,           9.684,           9.654,           9.617,           9.551,           9.449,           9.366,           9.297,           9.166,           8.878,           8.658,           8.382,           8.162,           7.912,           7.642,           7.388,           7.149,           2.938,           6.900,           6.634,           6.374,           6.165,           5.310,           5.121,           4.922,           4.733,           4.545,           4.339,           4.124,           9.099,           3.902,           3.687,           3.483,           0.000,           3.116,           2.241,           1.514,           0.770,           0.000,           0.000,           0.638,           0.412,           0.214,           0.056,           0.018,           0.163,           3.308,           0.000
      52,          0.850000,           9.639,           9.703,           9.860,          10.402,           8.666,           0.507,           9.592,           9.535,           9.501,           9.460,           9.389,           9.280,           9.187,           9.114,           8.976,           8.690,           8.470,           8.202,           7.987,           7.739,           7.473,           7.226,           6.990,           2.840,           6.745,           6.484,           6.227,           6.023,           5.156,           4.973,           4.779,           4.594,           4.411,           4.209,           3.998,           8.905,           3.781,           3.570,           3.372,           0.000,           3.014,           2.169,           1.468,           0.746,           0.000,           0.000,           0.656,           0.434,           0.244,           0.094,           0.045,           0.156,           3.202,           0.000
      53,          0.866667,           9.483,           9.553,           9.719,          10.233,           8.490,           0.501,           9.435,           9.376,           9.340,           9.295,           9.221,           9.104,           9.008,           8.930,           8.783,           8.488,           8.279,           8.019,           7.810,           7.566,           7.303,           7.059,           6.828,           2.740,           6.587,           6.329,           6.076,           5.878,           4.997,           4.819,           4.630,           4.451,           4.273,           4.076,           3.869,           8.699,           3.654,           3.447,           3.253,           0.000,           2.907,           2.095,           1.419,           0.723,           0.000,           0.000,           0.674,           0.459,           0.275,           0.133,           0.075,           0.150,           3.089,           0.000
      54,          0.883333,           9.317,           9.392,           9.565,          10.049,           8.308,           0.503,           9.267,           9.206,           9.168,           9.119,           9.043,           8.917,           8.812,           8.728,           8.577,           8.287,           8.091,           7.833,           7.629,           7.391,           7.130,           6.890,           6.664,           2.630,           6.427,           6.172,           5.923,           5.728,           4.834,           4.661,           4.477,           4.303,           4.131,           3.938,           3.735,           8.494,           3.525,           3.321,           3.131,           0.000,           2.792,           2.020,           1.369,           0.698,           0.000,           0.000,           0.692,           0.482,           0.305,           0.169,           0.103,           0.143,           2.972,           0.000
      55,          0.900000,           9.139,           9.218,           9.400,           9.856,           8.111,           0.491,           9.088,           9.026,           8.986,           8.933,           8.856,           8.723,           8.613,           8.525,           8.363,           8.089,           7.899,           7.644,           7.444,           7.211,           6.953,           6.717,           6.494,           2.525,           6.261,           6.009,           5.762,           5.572,           4.667,           4.500,           4.321,           4.152,           3.984,           3.796,           3.597,           8.280,           3.389,           3.190,           3.005,           0.000,           2.680,           1.941,           1.318,           0.673,           0.000,           0.000,           0.708,           0.502,           0.331,           0.202,           0.125,           0.137,           2.852,           0.000
      56,          0.916667,           8.952,           9.037,           9.225,           9.652,           7.917,           0.500,           8.899,           8.839,           8.795,           8.740,           8.658,           8.521,           8.407,           8.315,           8.152,           7.888,           7.703,           7.453,           7.258,           7.028,           6.773,           6.539,           6.320,           2.417,           6.090,           5.840,           5.595,           5.410,           4.497,           4.335,           4.161,           3.996,           3.834,           3.650,           3.456,           8.075,           3.254,           3.061,           2.884,           0.000,           2.572,           1.867,           1.269,           0.647,           0.000,           0.000,           0.719,           0.517,           0.353,           0.229,           0.149,           0.131,           2.738,           0.000
      57,          0.933333,           8.760,           8.846,           9.040,           9.445,           7.722,           0.483,           8.705,           8.645,           8.601,           8.543,           8.461,           8.322,           8.206,           8.110,           7.946,           7.686,           7.505,           7.259,           7.068,           6.841,           6.588,           6.358,           6.142,           2.321,           5.915,           5.667,           5.426,           5.244,           4.327,           4.171,           4.001,           3.843,           3.686,           3.508,           3.320,           7.867,           3.124,           2.935,           2.763,           0.000,           2.464,           1.787,           1.215,           0.621,           0.000,           0.000,           0.727,           0.530,           0.370,           0.251,           0.165,           0.125,           2.622,           0.000
      58,          0.950000,           8.565,           8.654,           8.849,           9.233,           7.527,           0.488,           8.509,           8.449,           8.404,           8.346,           8.263,           8.120,           7.999,           7.902,           7.738,           7.479,           7.304,           7.065,           6.878,           6.654,           6.405,           6.177,           5.964,           2.230,           5.739,           5.494,           5.255,           5.079,           4.162,           4.010,           3.847,           3.693,           3.542,           3.369,           3.187,           7.661,           2.998,           2.818,           2.653,           0.000,           2.366,           1.717,           1.167,           0.596,           0.000,           0.000,           0.732,           0.537,           0.383,           0.268,           0.173,           0.121,           2.518,           0.000
      59,          0.966667,           8.366,           8.457,           8.656,           9.018,           7.333,           0.484,           8.309,           8.251,           8.206,           8.147,           8.062,           7.918,           7.794,           7.694,           7.527,           7.271,           7.100,           6.869,           6.686,           6.465,           6.220,           5.995,           5.785,           2.142,           5.563,           5.321,           5.085,           4.911,           4.001,           3.855,           3.696,           3.549,           3.403,           3.237,           3.062,           7.447,           2.880,           2.707,           2.549,           0.000,           2.273,           1.650,           1.121,           0.573,           0.000,           0.000,           0.729,           0.540,           0.391,           0.281,           0.185,           0.116,           2.420,           0.000
      60,          0.983333,           8.166,           8.258,           8.459,           8.768,           7.129,           0.486,           8.108,           8.050,           8.004,           7.946,           7.861,           7.714,           7.590,           7.488,           7.317,           7.062,           6.895,           6.673,           6.494,           6.277,           6.034,           5.813,           5.606,           2.056,           5.388,           5.148,           4.915,           4.746,           3.845,           3.704,           3.552,           3.410,           3.270,           3.110,           2.942,           7.232,           2.767,           2.600,           2.448,           0.000,           2.182,           1.585,           1.077,           0.550,           0.000,           0.000,           0.724,           0.539,           0.396,           0.290,           0.191,           0.111,           2.324,           0.000
      61,          1.000000,           7.965,           8.058,           8.261,           8.531,           6.903,           0.474,           7.907,           7.850,           7.803,           7.744,           7.659,           7.511,           7.383,           7.278,           7.106,           6.852,           6.689,           6.477,           6.302,           6.089,           5.849,           5.630,           5.427,           1.972,           5.213,           4.975,           4.746,           4.581,           3.695,           3.560,           3.414,           3.277,           3.143,           2.989,           2.826,           7.016,           2.657,           2.496,           2.349,           0.000,           2.092,           1.521,           1.034,           0.527,           0.000,           0.000,           0.714,           0.534,           0.396,           0.294,           0.196,           0.106,           2.230,           0.000
      62,          1.016667,           7.763,           7.857,           8.060,           8.304,           6.708,           0.455,           7.704,           7.648,           7.601,           7.540,           7.455,           7.306,           7.176,           7.068,           6.893,           6.640,           6.483,           6.279,           6.110,           5.900,           5.664,           5.448,           5.249,           1.887,           5.038,           4.805,           4.578,           4.417,           3.550,           3.419,           3.278,           3.147,           3.018,           2.869,           2.712,           6.805,           2.549,           2.392,           2.249,           0.000,           2.003,           1.457,           0.991,           0.505,           0.000,           0.000,           0.701,           0.526,           0.394,           0.296,           0.197,           0.101,           2.135,           0.000
      63,          1.033333,           7.558,           7.654,           7.862,           8.085,           6.526,           0.459,           7.497,           7.439,           7.390,           7.327,           7.237,           7.091,           6.960,           6.853,           6.679,           6.428,           6.276,           6.084,           5.918,           5.712,           5.478,           5.267,           5.071,           1.803,           4.864,           4.634,           4.411,           4.254,           3.407,           3.281,           3.146,           3.020,           2.895,           2.751,           2.599,           6.587,           2.440,           2.288,           2.151,           0.000,           1.915,           1.394,           0.949,           0.484,           0.000,           0.000,           0.686,           0.516,           0.388,           0.295,           0.197,           0.096,           2.041,           0.000
      64,          1.050000,           7.347,           7.446,           7.659,           7.872,           6.327,           0.455,           7.284,           7.227,           7.176,           7.112,           7.023,           6.878,           6.748,           6.640,           6.466,           6.216,           6.070,           5.888,           5.727,           5.524,           5.294,           5.087,           4.894,           1.721,           4.689,           4.464,           4.243,           4.091,           3.266,           3.145,           3.015,           2.893,           2.774,           2.634,           2.487,           6.363,           2.333,           2.186,           2.053,           0.000,           1.827,           1.332,           0.908,           0.463,           0.000,           0.000,           0.667,           0.503,           0.381,           0.292,           0.195,           0.091,           1.948,           0.000
      65,          1.066667,           7.137,           7.237,           7.453,           7.659,           6.137,           0.439,           7.072,           7.015,           6.964,           6.899,           6.810,           6.662,           6.532,           6.424,           6.250,           6.007,           5.866,           5.692,           5.535,           5.337,           5.110,           4.906,           4.717,           1.639,           4.516,           4.293,           4.075,           3.927,           3.127,           3.011,           2.885,           2.768,           2.654,           2.519,           2.376,           6.149,           2.226,           2.084,           1.956,           0.000,           1.740,           1.271,           0.866,           0.442,           0.000,           0.000,           0.647,           0.488,           0.371,           0.287,           0.194,           0.087,           1.857,           0.000
      66,          1.083333,           6.925,           7.025,           7.244,           7.446,           5.959,           0.443,           6.861,           6.802,           6.751,           6.686,           6.596,           6.451,           6.319,           6.210,           6.039,           5.801,           5.665,           5.497,           5.345,           5.150,           4.927,           4.725,           4.539,           1.557,           4.343,           4.122,           3.908,           3.763,           2.988,           2.878,           2.757,           2.645,           2.535,           2.405,           2.266,           5.937,           2.121,           1.983,           1.859,           0.000,           1.653,           1.209,           0.826,           0.421,           0.000,           0.000,           0.625,           0.471,           0.360,           0.281,           0.189,           0.082,           1.765,           0.000
      67,          1.100000,           6.716,           6.815,           7.037,           7.231,           5.774,           0.436,           6.650,           6.592,           6.541,           6.475,           6.386,           6.240,           6.109,           6.000,           5.833,           5.600,           5.470,           5.306,           5.158,           4.966,           4.746,           4.548,           4.366,           1.488,           4.173,           3.955,           3.745,           3.604,           2.858,           2.751,           2.635,           2.527,           2.420,           2.294,           2.160,           5.734,           2.021,           1.890,           1.774,           0.000,           1.579,           1.154,           0.788,           0.402,           0.000,           0.000,           0.603,           0.454,           0.350,           0.274,           0.185,           0.078,           1.685,           0.000
      68,          1.116667,           6.507,           6.607,           6.829,           7.017,           5.584,           0.406,           6.442,           6.385,           6.334,           6.268,           6.179,           6.036,           5.906,           5.798,           5.634,           5.407,           5.281,           5.119,           4.975,           4.786,           4.570,           4.377,           4.197,           1.428,           4.008,           3.797,           3.593,           3.455,           2.734,           2.632,           2.519,           2.415,           2.312,           2.191,           2.064,           5.536,           1.933,           1.810,           1.701,           0.000,           1.515,           1.106,           0.754,           0.384,           0.000,           0.000,           0.584,           0.440,           0.341,           0.267,           0.181,           0.076,           1.615,           0.000
      69,          1.133333,           6.303,           6.403,           6.626,           6.803,           5.405,           0.406,           6.238,           6.181,           6.130,           6.065,           5.977,           5.836,           5.707,           5.601,           5.440,           5.217,           5.096,           4.938,           4.797,           4.612,           4.400,           4.211,           4.037,           1.373,           3.854,           3.647,           3.447,           3.314,           2.618,           2.519,           2.411,           2.311,           2.213,           2.099,           1.978,           5.346,           1.855,           1.739,           1.635,           0.000,           1.456,           1.062,           0.723,           0.368,           0.000,           0.000,           0.564,           0.426,           0.332,           0.260,           0.176,           0.073,           1.553,           0.000
      70,          1.150000,           6.102,           6.201,           6.423,           6.590,           5.228,           0.398,           6.039,           5.982,           5.932,           5.867,           5.782,           5.643,           5.516,           5.410,           5.252,           5.033,           4.915,           4.761,           4.623,           4.444,           4.239,           4.055,           3.884,           1.322,           3.703,           3.503,           3.309,           3.181,           2.509,           2.415,           2.313,           2.217,           2.123,           2.015,           1.900,           5.156,           1.783,           1.672,           1.573,           0.000,           1.402,           1.021,           0.694,           0.353,           0.000,           0.000,           0.544,           0.412,           0.322,           0.253,           0.171,           0.071,           1.493,           0.000
      71,          1.166667,           5.907,           6.003,           6.223,           6.380,           5.051,           0.404,           5.844,           5.788,           5.739,           5.675,           5.590,           5.454,           5.328,           5.223,           5.068,           4.855,           4.742,           4.591,           4.458,           4.283,           4.081,           3.902,           3.736,           1.272,           3.562,           3.368,           3.179,           3.055,           2.410,           2.320,           2.222,           2.131,           2.041,           1.937,           1.828,           4.975,           1.716,           1.610,           1.515,           0.000,           1.350,           0.983,           0.668,           0.339,           0.000,           0.000,           0.523,           0.398,           0.312,           0.245,           0.166,           0.068,           1.438,           0.000
      72,          1.183333,           5.717,           5.811,           6.030,           6.172,           4.878,           0.390,           5.654,           5.599,           5.550,           5.487,           5.403,           5.270,           5.147,           5.043,           4.889,           4.681,           4.572,           4.426,           4.297,           4.127,           3.932,           3.759,           3.597,           1.225,           3.427,           3.239,           3.057,           2.937,           2.318,           2.232,           2.138,           2.050,           1.964,           1.864,           1.760,           4.798,           1.652,           1.550,           1.459,           0.000,           1.299,           0.946,           0.643,           0.325,           0.000,           0.000,           0.504,           0.384,           0.302,           0.237,           0.160,           0.066,           1.385,           0.000
      73,          1.200000,           5.530,           5.624,           5.840,           5.970,           4.710,           0.361,           5.469,           5.414,           5.365,           5.304,           5.221,           5.090,           4.969,           4.868,           4.716,           4.513,           4.410,           4.268,           4.142,           3.977,           3.788,           3.620,           3.463,           1.177,           3.298,           3.116,           2.940,           2.824,           2.230,           2.148,           2.058,           1.974,           1.891,           1.796,           1.695,           4.625,           1.590,           1.491,           1.403,           0.000,           1.249,           0.910,           0.618,           0.313,           0.000,           0.000,           0.483,           0.369,           0.292,           0.229,           0.155,           0.063,           1.332,           0.000
      74,          1.216667,           5.349,           5.439,           5.654,           5.771,           4.548,           0.369,           5.288,           5.234,           5.186,           5.126,           5.044,           4.914,           4.794,           4.695,           4.548,           4.353,           4.253,           4.114,           3.993,           3.834,           3.650,           3.486,           3.335,           1.130,           3.176,           2.999,           2.828,           2.717,           2.147,           2.069,           1.982,           1.901,           1.821,           1.728,           1.631,           4.464,           1.529,           1.434,           1.348,           0.000,           1.200,           0.874,           0.594,           0.301,           0.000,           0.000,           0.463,           0.355,           0.281,           0.222,           0.150,           0.060,           1.280,           0.000
      75,          1.233333,           5.171,           5.260,           5.471,           5.577,           4.387,           0.328,           5.112,           5.059,           5.012,           4.952,           4.873,           4.747,           4.628,           4.530,           4.385,           4.197,           4.101,           3.968,           3.851,           3.695,           3.519,           3.359,           3.212,           1.084,           3.056,           2.886,           2.720,           2.613,           2.067,           1.992,           1.907,           1.829,           1.752,           1.662,           1.568,           4.303,           1.469,           1.376,           1.294,           0.000,           1.151,           0.839,           0.570,           0.289,           0.000,           0.000,           0.445,           0.341,           0.271,           0.214,           0.145,           0.057,           1.228,           0.000
      76,          1.250000,           5.000,           5.087,           5.293,           5.388,           4.223,           0.331,           4.941,           4.889,           4.843,           4.784,           4.706,           4.581,           4.466,           4.369,           4.228,           4.047,           3.955,           3.826,           3.713,           3.563,           3.389,           3.235,           3.092,           1.039,           2.942,           2.776,           2.615,           2.512,           1.987,           1.915,           1.833,           1.758,           1.684,           1.597,           1.506,           4.150,           1.410,           1.320,           1.239,           0.000,           1.102,           0.805,           0.547,           0.276,           0.000,           0.000,           0.428,           0.328,           0.262,           0.208,           0.141,           0.055,           1.177,           0.000
      77,          1.266667,           4.833,           4.918,           5.118,           5.202,           4.084,           0.311,           4.776,           4.724,           4.679,           4.621,           4.544,           4.423,           4.310,           4.215,           4.079,           3.905,           3.817,           3.691,           3.580,           3.434,           3.267,           3.117,           2.978,           1.001,           2.832,           2.671,           2.515,           2.416,           1.913,           1.844,           1.765,           1.692,           1.620,           1.535,           1.446,           4.003,           1.354,           1.268,           1.192,           0.000,           1.061,           0.774,           0.526,           0.265,           0.000,           0.000,           0.410,           0.316,           0.254,           0.201,           0.136,           0.053,           1.132,           0.000
      78,          1.283333,           4.671,           4.754,           4.951,           5.023,           3.938,           0.307,           4.615,           4.565,           4.521,           4.464,           4.389,           4.270,           4.161,           4.069,           3.937,           3.769,           3.685,           3.562,           3.455,           3.313,           3.150,           3.005,           2.870,           0.969,           2.728,           2.574,           2.424,           2.328,           1.844,           1.777,           1.700,           1.629,           1.559,           1.477,           1.392,           3.864,           1.305,           1.224,           1.152,           0.000,           1.028,           0.747,           0.507,           0.256,           0.000,           0.000,           0.396,           0.307,           0.247,           0.195,           0.132,           0.052,           1.094,           0.000
      79,          1.300000,           4.516,           4.596,           4.787,           4.850,           3.785,           0.286,           4.461,           4.412,           4.368,           4.313,           4.240,           4.126,           4.019,           3.930,           3.802,           3.640,           3.558,           3.439,           3.335,           3.198,           3.040,           2.900,           2.770,           0.941,           2.633,           2.484,           2.339,           2.247,           1.779,           1.714,           1.639,           1.571,           1.503,           1.425,           1.344,           3.731,           1.262,           1.186,           1.118,           0.000,           0.997,           0.724,           0.490,           0.247,           0.000,           0.000,           0.384,           0.299,           0.241,           0.190,           0.129,           0.051,           1.062,           0.000
      80,          1.316667,           4.366,           4.444,           4.628,           4.681,           3.665,           0.279,           4.313,           4.265,           4.223,           4.169,           4.098,           3.987,           3.884,           3.798,           3.674,           3.519,           3.438,           3.322,           3.222,           3.089,           2.937,           2.802,           2.675,           0.916,           2.543,           2.399,           2.260,           2.171,           1.719,           1.655,           1.584,           1.518,           1.453,           1.379,           1.303,           3.608,           1.225,           1.153,           1.087,           0.000,           0.971,           0.703,           0.476,           0.239,           0.000,           0.000,           0.372,           0.291,           0.235,           0.184,           0.125,           0.050,           1.032,           0.000
      81,          1.333333,           4.222,           4.297,           4.477,           4.520,           3.524,           0.274,           4.170,           4.125,           4.084,           4.032,           3.963,           3.854,           3.754,           3.671,           3.552,           3.402,           3.325,           3.212,           3.114,           2.987,           2.839,           2.708,           2.586,           0.892,           2.458,           2.320,           2.186,           2.100,           1.664,           1.603,           1.535,           1.471,           1.409,           1.338,           1.265,           3.489,           1.191,           1.121,           1.058,           0.000,           0.945,           0.684,           0.462,           0.232,           0.000,           0.000,           0.360,           0.283,           0.229,           0.179,           0.122,           0.049,           1.005,           0.000
      82,          1.350000,           4.085,           4.156,           4.329,           4.363,           3.400,           0.259,           4.034,           3.990,           3.950,           3.900,           3.833,           3.728,           3.632,           3.551,           3.436,           3.292,           3.217,           3.108,           3.013,           2.889,           2.748,           2.621,           2.502,           0.869,           2.378,           2.247,           2.118,           2.036,           1.615,           1.556,           1.490,           1.429,           1.369,           1.301,           1.231,           3.373,           1.160,           1.093,           1.031,           0.000,           0.921,           0.666,           0.450,           0.226,           0.000,           0.000,           0.349,           0.276,           0.223,           0.174,           0.118,           0.048,           0.980,           0.000
      83,          1.366667,           3.952,           4.022,           4.188,           4.213,           3.290,           0.283,           3.904,           3.861,           3.822,           3.774,           3.710,           3.607,           3.514,           3.436,           3.325,           3.187,           3.114,           3.009,           2.917,           2.798,           2.661,           2.538,           2.424,           0.847,           2.305,           2.178,           2.055,           1.977,           1.570,           1.513,           1.449,           1.390,           1.332,           1.267,           1.199,           3.267,           1.130,           1.065,           1.006,           0.000,           0.898,           0.649,           0.438,           0.220,           0.000,           0.000,           0.338,           0.268,           0.216,           0.169,           0.114,           0.046,           0.955,           0.000
      84,          1.383333,           3.826,           3.894,           4.052,           4.071,           3.151,           0.240,           3.779,           3.737,           3.700,           3.653,           3.591,           3.493,           3.402,           3.327,           3.220,           3.087,           3.018,           2.915,           2.826,           2.711,           2.580,           2.461,           2.350,           0.826,           2.236,           2.114,           1.996,           1.922,           1.528,           1.473,           1.412,           1.354,           1.298,           1.235,           1.169,           3.166,           1.103,           1.039,           0.981,           0.000,           0.875,           0.632,           0.427,           0.214,           0.000,           0.000,           0.328,           0.261,           0.211,           0.165,           0.112,           0.045,           0.931,           0.000
      85,          1.400000,           3.706,           3.770,           3.922,           3.931,           3.055,           0.231,           3.660,           3.620,           3.584,           3.538,           3.479,           3.383,           3.295,           3.221,           3.119,           2.994,           2.926,           2.827,           2.741,           2.629,           2.503,           2.388,           2.281,           0.804,           2.171,           2.055,           1.942,           1.870,           1.489,           1.435,           1.376,           1.321,           1.266,           1.204,           1.140,           3.068,           1.075,           1.013,           0.956,           0.000,           0.853,           0.616,           0.417,           0.208,           0.000,           0.000,           0.318,           0.255,           0.207,           0.162,           0.110,           0.044,           0.908,           0.000
      86,          1.416667,           3.590,           3.653,           3.798,           3.802,           2.983,           0.248,           3.546,           3.507,           3.472,           3.428,           3.370,           3.279,           3.194,           3.123,           3.025,           2.904,           2.839,           2.743,           2.660,           2.552,           2.431,           2.320,           2.216,           0.784,           2.111,           2.000,           1.891,           1.822,           1.451,           1.400,           1.342,           1.288,           1.234,           1.174,           1.111,           2.977,           1.048,           0.987,           0.932,           0.000,           0.831,           0.601,           0.406,           0.203,           0.000,           0.000,           0.310,           0.249,           0.202,           0.159,           0.107,           0.043,           0.885,           0.000
      87,          1.433333,           3.480,           3.541,           3.678,           3.681,           2.832,           0.217,           3.437,           3.400,           3.366,           3.324,           3.268,           3.180,           3.097,           3.029,           2.935,           2.820,           2.757,           2.665,           2.584,           2.480,           2.362,           2.257,           2.157,           0.768,           2.054,           1.949,           1.844,           1.778,           1.417,           1.366,           1.310,           1.257,           1.205,           1.145,           1.084,           2.890,           1.022,           0.963,           0.910,           0.000,           0.814,           0.586,           0.395,           0.198,           0.000,           0.000,           0.302,           0.244,           0.198,           0.155,           0.106,           0.042,           0.864,           0.000
      88,          1.450000,           3.375,           3.434,           3.565,           3.556,           2.743,           0.219,           3.334,           3.298,           3.265,           3.224,           3.170,           3.086,           3.008,           2.942,           2.852,           2.742,           2.680,           2.591,           2.512,           2.412,           2.299,           2.197,           2.101,           0.753,           2.002,           1.900,           1.800,           1.736,           1.385,           1.335,           1.280,           1.228,           1.177,           1.119,           1.059,           2.810,           1.000,           0.943,           0.892,           0.000,           0.798,           0.574,           0.387,           0.193,           0.000,           0.000,           0.296,           0.239,           0.195,           0.152,           0.105,           0.042,           0.847,           0.000
      89,          1.466667,           3.275,           3.331,           3.455,           3.441,           2.693,           0.178,           3.236,           3.201,           3.170,           3.130,           3.078,           2.997,           2.922,           2.860,           2.774,           2.668,           2.608,           2.522,           2.445,           2.349,           2.240,           2.142,           2.049,           0.741,           1.954,           1.856,           1.761,           1.699,           1.355,           1.306,           1.252,           1.201,           1.150,           1.094,           1.037,           2.734,           0.981,           0.927,           0.878,           0.000,           0.785,           0.564,           0.379,           0.189,           0.000,           0.000,           0.290,           0.236,           0.191,           0.149,           0.102,           0.041,           0.834,           0.000
