"EG05_015","Location","GW flow layer 1","GW flow layer 1","GW flow layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_015.tcf","Time","Loc1_L","Loc3_L","Loc2_L","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P"
,        2.583333,          0.0000,          0.0000,          0.0000,         38.8179, 0.8949E-02,         35.9805, 0.9102E-02,         42.2648, 0.8972E-02
,        2.600000,          0.0000,          0.0000,          0.0000,         38.8179, 0.8968E-02,         35.9805, 0.9121E-02,         42.2649, 0.8991E-02
,        2.616667,          0.0000,          0.0000,          0.0000,         38.8179, 0.8987E-02,         35.9805, 0.9140E-02,         42.2649, 0.9014E-02
,        2.633333,          0.0000,          0.0000,          0.0000,         38.8179, 0.9007E-02,         35.9805, 0.9163E-02,         42.2649, 0.9033E-02
,        2.650000,          0.0000,          0.0000,          0.0000,         38.8179, 0.9029E-02,         35.9805, 0.9182E-02,         42.2649, 0.9052E-02
,        2.666667,          0.0000,          0.0000,          0.0000,         38.8180, 0.9048E-02,         35.9806, 0.9201E-02,         42.2649, 0.9071E-02
,        2.683333,          0.0000,          0.0000,          0.0000,         38.8180, 0.9068E-02,         35.9806, 0.9220E-02,         42.2650, 0.9094E-02
,        2.700000,          0.0000,          0.0000,          0.0000,         38.8180, 0.9087E-02,         35.9806, 0.9239E-02,         42.2650, 0.9113E-02
,        2.716667,          0.0000,          0.0000,          0.0000,         38.8180, 0.9109E-02,         35.9806, 0.9262E-02,         42.2650, 0.9132E-02
,        2.733333,          0.0000,          0.0000,          0.0000,         38.8180, 0.9129E-02,         35.9806, 0.9281E-02,         42.2650, 0.9151E-02
,        2.750000,          0.0000,          0.0000,          0.0000,         38.8181, 0.9148E-02,         35.9807, 0.9300E-02,         42.2650, 0.9174E-02
,        2.766667,          0.0000,          0.0000,          0.0000,         38.8181, 0.9167E-02,         35.9807, 0.9319E-02,         42.2651, 0.9193E-02
,        2.783333,          0.0000,          0.0000,          0.0000,         38.8181, 0.9186E-02,         35.9807, 0.9342E-02,         42.2651, 0.9212E-02
,        2.800000,          0.0000,          0.0000,          0.0000,         38.8181, 0.9209E-02,         35.9807, 0.9361E-02,         42.2651, 0.9232E-02
,        2.816667,          0.0000,          0.0000,          0.0000,         38.8181, 0.9228E-02,         35.9807, 0.9380E-02,         42.2651, 0.9254E-02
,        2.833333,          0.0000,          0.0000,          0.0000,         38.8182, 0.9247E-02,         35.9808, 0.9399E-02,         42.2651, 0.9274E-02
,        2.850000,          0.0000,          0.0000,          0.0000,         38.8182, 0.9266E-02,         35.9808, 0.9422E-02,         42.2652, 0.9293E-02
,        2.866667,          0.0000,          0.0000,          0.0000,         38.8182, 0.9289E-02,         35.9808, 0.9441E-02,         42.2652, 0.9312E-02
,        2.883333,          0.0000,          0.0000,          0.0000,         38.8182, 0.9308E-02,         35.9808, 0.9460E-02,         42.2652, 0.9331E-02
,        2.900000,          0.0000,          0.0000,          0.0000,         38.8182, 0.9327E-02,         35.9808, 0.9480E-02,         42.2652, 0.9354E-02
,        2.916667,          0.0000,          0.0000,          0.0000,         38.8183, 0.9346E-02,         35.9809, 0.9502E-02,         42.2652, 0.9373E-02
,        2.933333,          0.0000,          0.0000,          0.0000,         38.8183, 0.9369E-02,         35.9809, 0.9521E-02,         42.2653, 0.9392E-02
,        2.950000,          0.0000,          0.0000,          0.0000,         38.8183, 0.9388E-02,         35.9809, 0.9541E-02,         42.2653, 0.9411E-02
,        2.966667,          0.0000,          0.0000,          0.0000,         38.8183, 0.9407E-02,         35.9809, 0.9560E-02,         42.2653, 0.9434E-02
,        2.983333,          0.0000,          0.0000,          0.0000,         38.8183, 0.9426E-02,         35.9809, 0.9579E-02,         42.2653, 0.9453E-02
,        3.000000,          0.0000,          0.0000,          0.0000,         38.8184, 0.9449E-02,         35.9810, 0.9602E-02,         42.2653, 0.9472E-02

