"EG11_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_008.tcf]","Time (h)","H FC01.1_R.1 [EG11_008]","H FC01.1_R.2 [EG11_008]","H FC01.2_R.1 [EG11_008]","H FC01.2_R.2 [EG11_008]","H FC04.1_C.1 [EG11_008]","H FC04.1_C.2 [EG11_008]","H W999.1 [EG11_008]","H W999.2 [EG11_008]"
     122,          2.016667,     47.1431,     45.9398,     42.3952,     40.2514,     43.3490,     42.7490,     42.5960,     42.5960
     123,          2.033334,     47.1161,     45.9195,     42.3671,     40.2465,     43.3490,     42.7490,     42.5960,     42.5960
     124,          2.050000,     47.0899,     45.9003,     42.3378,     40.2414,     43.3490,     42.7490,     42.5960,     42.5960
     125,          2.066667,     47.0633,     45.8814,     42.3071,     40.2359,     43.3490,     42.7490,     42.5960,     42.5960
     126,          2.083333,     47.0362,     45.8622,     42.2756,     40.2303,     43.3490,     42.7490,     42.5960,     42.5960
     127,          2.100000,     47.0086,     45.8427,     42.2427,     40.2242,     43.3490,     42.7490,     42.5960,     42.5960
     128,          2.116667,     46.9797,     45.8224,     42.2086,     40.2179,     43.3490,     42.7490,     42.5960,     42.5960
     129,          2.133333,     46.9491,     45.8010,     42.1735,     40.2113,     43.3490,     42.7490,     42.5960,     42.5960
     130,          2.150000,     46.9166,     45.7782,     42.1370,     40.2043,     43.3490,     42.7490,     42.5960,     42.5960
     131,          2.166667,     46.8828,     45.7538,     42.0992,     40.1970,     43.3490,     42.7490,     42.5960,     42.5960
     132,          2.183333,     46.8500,     45.7269,     42.0601,     40.1894,     43.3490,     42.7490,     42.5960,     42.5960
     133,          2.200000,     46.8157,     45.7015,     42.0192,     40.1813,     43.3490,     42.7490,     42.5960,     42.5960
     134,          2.216667,     46.7874,     45.6779,     41.9765,     40.1727,     43.3490,     42.7490,     42.5960,     42.5960
     135,          2.233333,     46.7640,     45.6562,     41.9315,     40.1636,     43.3490,     42.7490,     42.5960,     42.5960
     136,          2.250000,     46.7440,     45.6375,     41.8844,     40.1539,     43.3490,     42.7490,     42.5960,     42.5960
     137,          2.266667,     46.7264,     45.6205,     41.8342,     40.1434,     43.3490,     42.7490,     42.5960,     42.5960
     138,          2.283334,     46.7108,     45.6053,     41.7815,     40.1322,     43.3490,     42.7490,     42.5960,     42.5960
     139,          2.300000,     46.6944,     45.5909,     41.7257,     40.1201,     43.3490,     42.7490,     42.5960,     42.5960
     140,          2.316667,     46.6773,     45.5764,     41.6675,     40.1070,     43.3490,     42.7490,     42.5960,     42.5960
     141,          2.333333,     46.6611,     45.5625,     41.6065,     40.0929,     43.3490,     42.7490,     42.5960,     42.5960
     142,          2.350000,     46.6429,     45.5478,     41.5415,     40.0775,     43.3490,     42.7490,     42.5960,     42.5960
     143,          2.366667,     46.6277,     45.5341,     41.4725,     40.0608,     43.3490,     42.7490,     42.5960,     42.5960
     144,          2.383333,     46.6100,     45.5189,     41.3990,     40.0424,     43.3490,     42.7490,     42.5960,     42.5960
     145,          2.400000,     46.5943,     45.5038,     41.3204,     40.0224,     43.3490,     42.7490,     42.5960,     42.5960
     146,          2.416667,     46.5791,     45.4880,     41.2359,     40.0004,     43.3490,     42.7490,     42.5960,     42.5960
     147,          2.433333,     46.5651,     45.4743,     41.1438,     39.9758,     43.3490,     42.7490,     42.5960,     42.5960
     148,          2.450000,     46.5530,     45.4623,     41.0422,     39.9482,     43.3490,     42.7490,     42.5960,     42.5960
     149,          2.466667,     46.5407,     45.4505,     40.9292,     39.9165,     43.3490,     42.7490,     42.5960,     42.5960
     150,          2.483333,     46.5252,     45.4375,     40.8072,     39.8805,     43.3490,     42.7490,     42.5960,     42.5960
     151,          2.500000,     46.5081,     45.4229,     40.6782,     39.8397,     43.3490,     42.7490,     42.5960,     42.5960
     152,          2.516667,     46.4904,     45.4075,     40.5426,     39.7936,     43.3490,     42.7490,     42.5960,     42.5960
     153,          2.533334,     46.4723,     45.3917,     40.3993,     39.7412,     43.3490,     42.7490,     42.5960,     42.5960
     154,          2.550000,     46.4559,     45.3762,     40.2491,     39.6818,     43.3490,     42.7490,     42.5960,     42.5960
     155,          2.566667,     46.4385,     45.3608,     40.0928,     39.6147,     43.3490,     42.7490,     42.5960,     42.5960
     156,          2.583333,     46.4193,     45.3442,     39.9320,     39.5395,     43.3490,     42.7490,     42.5960,     42.5960
     157,          2.600000,     46.3984,     45.3263,     39.7671,     39.4555,     43.3490,     42.7490,     42.5960,     42.5960
     158,          2.616667,     46.3793,     45.3086,     39.6023,     39.3630,     43.3490,     42.7490,     42.5960,     42.5960
     159,          2.633333,     46.3621,     45.2917,     39.4569,     39.2685,     43.3490,     42.7490,     42.5960,     42.5960
     160,          2.650000,     46.3476,     45.2759,     39.3470,     39.1848,     43.3490,     42.7490,     42.5960,     42.5960
     161,          2.666667,     46.3309,     45.2609,     39.2602,     39.1158,     43.3490,     42.7490,     42.5960,     42.5960
     162,          2.683333,     46.3150,     45.2458,     39.1898,     39.0576,     43.3490,     42.7490,     42.5960,     42.5960
     163,          2.700000,     46.2997,     45.2307,     39.1284,     39.0071,     43.3490,     42.7490,     42.5960,     42.5960
