"EG11_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_009.tcf]","Time (h)","H FC01.1_R.1 [EG11_009]","H FC01.1_R.2 [EG11_009]","H FC01.2_R.1 [EG11_009]","H FC01.2_R.2 [EG11_009]","H FC04.1_C.1 [EG11_009]","H FC04.1_C.2 [EG11_009]","H OC999.8 [EG11_009]","H OC999.9 [EG11_009]"
      94,          1.550000,     49.3983,     46.7790,     42.4932,     40.6338,     43.3490,     42.7772,     42.3961,     42.5838
      95,          1.566667,     49.3553,     46.7539,     42.4693,     40.6296,     43.3490,     42.7597,     42.3986,     42.5599
      96,          1.583333,     49.3043,     46.7405,     42.4438,     40.6251,     43.3490,     42.7490,     42.4011,     42.5343
      97,          1.600000,     49.2459,     46.7241,     42.4168,     40.6203,     43.3490,     42.7490,     42.4036,     42.5073
      98,          1.616667,     49.1842,     46.7114,     42.3887,     40.6152,     43.3490,     42.7490,     42.4060,     42.4791
      99,          1.633333,     49.1184,     46.6986,     42.3598,     40.6098,     43.3490,     42.7490,     42.4085,     42.4500
     100,          1.650000,     49.0486,     46.6848,     42.3299,     40.6043,     43.3490,     42.7490,     42.4109,     42.4201
     101,          1.666667,     48.9736,     46.6643,     42.2993,     40.5985,     43.3490,     42.7490,     42.4132,     42.3894
     102,          1.683333,     48.8940,     46.6499,     42.2679,     40.5925,     43.3490,     42.7490,     42.4156,     42.3578
     103,          1.700000,     48.8082,     46.6308,     42.2356,     40.5863,     43.3490,     42.7490,     42.4180,     42.3254
     104,          1.716667,     48.7157,     46.6097,     42.2025,     40.5798,     43.3490,     42.7490,     42.4203,     42.2921
     105,          1.733333,     48.6173,     46.5870,     42.1683,     40.5731,     43.3490,     42.7490,     42.4226,     42.2577
     106,          1.750000,     48.5122,     46.5621,     42.1331,     40.5660,     43.3490,     42.7490,     42.4249,     42.2223
     107,          1.766667,     48.4007,     46.5341,     42.0963,     40.5586,     43.3490,     42.7490,     42.4272,     42.1853
     108,          1.783333,     48.2869,     46.5030,     42.0579,     40.5508,     43.3490,     42.7490,     42.4295,     42.1467
     109,          1.800000,     48.1715,     46.4710,     42.0179,     40.5425,     43.3490,     42.7490,     42.4317,     42.1064
     110,          1.816667,     48.0531,     46.4364,     41.9760,     40.5337,     43.3490,     42.7490,     42.4339,     42.0642
     111,          1.833333,     47.9329,     46.3989,     41.9321,     40.5243,     43.3490,     42.7490,     42.4361,     42.0199
     112,          1.850000,     47.8117,     46.3584,     41.8855,     40.5142,     43.3490,     42.7490,     42.4383,     41.9729
     113,          1.866667,     47.6916,     46.3148,     41.8360,     40.5033,     43.3490,     42.7490,     42.4405,     41.9230
     114,          1.883333,     47.5810,     46.2631,     41.7832,     40.4915,     43.3490,     42.7490,     42.4427,     41.8695
     115,          1.900000,     47.4901,     46.2067,     41.7265,     40.4785,     43.3490,     42.7490,     42.4448,     41.8120
