iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
22100,       4746.491,0.175937,0.175439,0.236786,0.541763,0.299988,99.2396
22200,       4764.083,0.176457,0.176066,0.237244,0.543213,0.299988,99.2418
22300,       4781.689,0.176997,0.176066,0.237717,0.544708,0.300003,99.2432
22400,       4799.296,0.177538,0.176066,0.238174,0.546219,0.299988,99.2435
22500,       4817.042,0.178099,0.177515,0.238647,0.547791,0.299988,99.2455
22600,       4834.793,0.178671,0.177515,0.239136,0.549393,0.299988,99.2465
22700,       4852.545,0.179254,0.177515,0.239624,0.551025,0.299988,99.2463
22800,       4870.404,0.179858,0.179698,0.240128,0.552719,0.299988,99.2471
22900,       4888.373,0.180463,0.179698,0.240631,0.554413,0.299988,99.2489
23000,       4906.343,0.18107,0.179698,0.241119,0.556122,0.299988,99.2495
23100,       4924.351,0.181689,0.181269,0.241623,0.557861,0.299988,99.2496
23200,       4942.517,0.182318,0.181956,0.242111,0.559631,0.299988,99.2517
23300,       4960.713,0.182941,0.181956,0.242599,0.561371,0.299988,99.253
23400,       4978.908,0.183482,0.181956,0.242966,0.562866,0.299988,99.2532
23500,       4997.248,0.184015,0.183486,0.243317,0.564331,0.299988,99.2553
23600,       5015.596,0.18455,0.183486,0.243652,0.565796,0.299988,99.2564
23700,       5033.945,0.185086,0.183486,0.244003,0.567261,0.299988,99.2565
23800,       5052.408,0.185671,0.185186,0.2444,0.568878,0.300003,99.2577
23900,       5070.926,0.186277,0.185186,0.244812,0.570557,0.299988,99.2589
24000,       5089.445,0.186885,0.185186,0.245239,0.572235,0.299988,99.2588
24100,       5108.038,0.187504,0.186916,0.245667,0.573959,0.299988,99.2591
24200,       5126.787,0.188164,0.187643,0.24614,0.57579,0.300003,99.2611
24300,       5145.552,0.188816,0.187643,0.246597,0.577591,0.299988,99.2622
24400,       5164.354,0.1895,0.189274,0.247086,0.579498,0.299988,99.2627
24500,       5183.281,0.190196,0.189274,0.247574,0.581436,0.299988,99.2643
24600,       5202.208,0.190923,0.189274,0.248108,0.583481,0.300003,99.2645
